,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,AES,2018-08-07,2 days ago,Electric Utilities,Chief Risk Officer,Harrisburg, PA
1,AES,,,Electric Utilities,Senior Internal Auditor,Harrisburg, PA
2,AES,,,Electric Utilities,Cyber Security Lead - Connected Mobility,Rochester Hills, MI
3,AES,,,Electric Utilities,Fire Alarm Technician,Lakewood, CO
4,AES,2018-07-21,19 days ago,Electric Utilities,Geo-Fencing Kern County AES Center,Bakersfield, CA
5,AES,2018-08-01,8 days ago,Electric Utilities,2018/2019 3rd Grade (AES),Riverside County, CA
6,AES,2018-07-10,30+ days ago,Electric Utilities,Texas Works Advisor I (Virtual Interview Center),Grand Prairie, TX
7,AES,2018-08-08,1 day ago,Electric Utilities,Receptionist,Fargo, ND
8,AES,2018-07-10,30+ days ago,Electric Utilities,Meter Reader - Sidney,Sidney, OH
9,AES,2018-07-10,30+ days ago,Electric Utilities,Meter Reader - Sidney,Sidney, OH
10,AES,2018-08-03,6 days ago,Electric Utilities,Administrative Assistant - AES,Irvine, CA
11,AES,2018-08-04,5 hours ago,Electric Utilities,Part Time Meter Reader ($10/hour) Greenville,Greenville, OH
12,AES,2018-07-31,9 days ago,Electric Utilities,Executive Assistant/Personal Assistant,Indianapolis, IN
13,AES,2018-07-26,14 hours ago,Electric Utilities,Air Export Agent,Chicago, IL
14,AES,,,Electric Utilities,Sept 2018 Underwriting Professional Development Program-Glendale,Glendale, CA
15,AES,,,Electric Utilities,Customs Compliance Specialist,Manteca, CA
16,AES,,,Electric Utilities,Shipping and Receiving Clerk,East Setauket, NY
17,AES,,,Electric Utilities,Treasury Adjustment Specialist,Harrisburg, PA
18,AES,2018-08-03,6 days ago,Electric Utilities,Entry level Import- Export Clerk,San Diego, CA
19,AES,2018-07-20,20 hours ago,Electric Utilities,Customer Service Representative,El Paso, TX
20,AES,2018-08-03,6 days ago,Electric Utilities,Chemist,Hanford, CA
21,AES,2018-08-02,7 days ago,Electric Utilities,Elections Clerk (Administrative Clerk I) Extra-Help/Part-Time,Stanislaus County, CA
22,AES,2018-07-21,19 hours ago,Electric Utilities,Resource Officer,Scranton, PA
23,AES,2018-07-31,9 days ago,Electric Utilities,Executive Assistant,Dayton, OH
24,AES,2018-08-08,1 day ago,Electric Utilities,Guarantor Processing Clerk,Harrisburg, PA
25,AES,2018-08-05,4 hours ago,Electric Utilities,Call Center Agent,Frankenmuth, MI
26,AES,2018-07-10,30+ days ago,Electric Utilities,Emergency Call Taker,Stanislaus County, CA
27,AES,2018-08-02,7 days ago,Electric Utilities,2018/2019 Special Education RSP (AES/PES),Riverside County, CA
28,AES,,,Electric Utilities,Truck Driver Class A,Clinton, OK
29,AES,,,Electric Utilities,Chemist,Hanford, CA
30,AES,,,Electric Utilities,BI UPDP,Centennial, CO
31,AES,,,Electric Utilities,Associate Account Manager,Madison, WI
