,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Advance Auto Parts,,,Specialty Stores,Auto Parts Delivery Driver,Sun Prairie, WI
1,Advance Auto Parts,,,Specialty Stores,Auto Parts Counter Sales-Part Time,Madison, WI
2,Advance Auto Parts,,,Specialty Stores,Parts Professional,Boulder, CO
3,Advance Auto Parts,,,Specialty Stores,Automotive Parts Specialist,Fremont, OH
4,Advance Auto Parts,2018-07-17,23 hours ago,Specialty Stores,NOW HIRING-SALES & DRIVERS - ADVANCE AUTO PARTS,Ephrata, PA
5,Advance Auto Parts,2018-08-07,2 days ago,Specialty Stores,"Salesperson in Tacoma, WA at Advance Auto Parts",Tacoma, WA
6,Advance Auto Parts,2018-08-02,7 days ago,Specialty Stores,Auto Parts Delivery Driver,Stoughton, WI
7,Advance Auto Parts,2018-08-05,4 days ago,Specialty Stores,Auto Parts Delivery Driver,North Hollywood, CA
8,Advance Auto Parts,2018-07-17,23 hours ago,Specialty Stores,NOW HIRING - Assistant General Manager for E-town Advance Auto Parts,Elizabethtown, PA
9,Advance Auto Parts,2018-07-10,30+ days ago,Specialty Stores,Auto Parts Counterperson/Parts Pro,Greenfield, IN
10,Advance Auto Parts,2018-07-10,30+ days ago,Specialty Stores,Auto Parts Delivery Driver,San Diego, CA
11,Advance Auto Parts,2018-08-07,2 days ago,Specialty Stores,Counter Sales/Deliver Driver - Auto Parts,Hurricane, UT
12,Advance Auto Parts,2018-07-10,30+ days ago,Specialty Stores,Auto Parts Driver,Folsom, CA
13,Advance Auto Parts,2018-07-31,9 days ago,Specialty Stores,Auto Parts Sales,Salem, OR
14,Advance Auto Parts,,,Specialty Stores,Auto Parts Counter Person-Part Time,Stoughton, WI
15,Advance Auto Parts,,,Specialty Stores,Auto Parts Salesperson-Part Time,Sun Prairie, WI
16,Advance Auto Parts,,,Specialty Stores,SALES REPRESENTATIVE - AUTOMOTIVE,Omaha, NE
17,Advance Auto Parts,,,Specialty Stores,Automotive Technician,Lynnwood, WA
18,Advance Auto Parts,2018-08-02,7 days ago,Specialty Stores,Auto Parts Counter Person-Part Time,Stoughton, WI
19,Advance Auto Parts,2018-07-28,12 days ago,Specialty Stores,Automotive Parts Delivery Driver,Warren, OH
20,Advance Auto Parts,2018-07-25,15 days ago,Specialty Stores,Parts Professional,Boulder, CO
21,Advance Auto Parts,2018-08-03,6 days ago,Specialty Stores,Parts Delivery Driver,Vincennes, IN
