,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Aetna,,,Managed Health Care,Lead Enterprise Architect - Analytics,Burlington, MA
1,Aetna,2018-08-08,1 day ago,Managed Health Care,Sr Application Developer-Java,Alpharetta, GA
2,Aetna,,,Managed Health Care,Senior Architect - Lead Design Architect,Burlington, MA
3,Aetna,,,Managed Health Care,Lead Data Analytics Architect,Burlington, MA
4,Aetna,2018-08-06,3 hours ago,Managed Health Care,Customer Service Rep,Baton Rouge, LA
5,Aetna,2018-08-07,2 days ago,Managed Health Care,Claim Benefit Specialist,Arlington, TX
6,Aetna,2018-07-31,9 days ago,Managed Health Care,Engagement Specialist,Jacksonville, FL
7,Aetna,2018-08-08,1 day ago,Managed Health Care,Case Management Coord,Chicago, IL
8,Aetna,2018-08-05,4 hours ago,Managed Health Care,Sr Claim Benefit Spec,Tampa, FL
9,Aetna,2018-07-18,22 days ago,Managed Health Care,"Supvr, Customer Service",Bismarck, ND
10,Aetna,2018-07-10,30+ days ago,Managed Health Care,Health Concierge,Bismarck, ND
11,Aetna,2018-08-02,7 days ago,Managed Health Care,Answer Team Consultant,Fresno, CA
12,Aetna,2018-07-26,14 days ago,Managed Health Care,Customer Service Supervisor,Atlanta, GA
13,Aetna,2018-07-27,13 days ago,Managed Health Care,Peer Support Specialist,Princeton, NJ
14,Aetna,2018-08-07,2 days ago,Managed Health Care,Java Engineer,Burlington, MA
15,Aetna,2018-07-28,12 hours ago,Managed Health Care,Sr. Data Operations Specialist - Informatica,Alpharetta, GA
16,Aetna,2018-07-18,22 days ago,Managed Health Care,Bilingual(Spanish) - Customer Service Representative,Fresno, CA
17,Aetna,2018-08-08,1 day ago,Managed Health Care,Analyst,Chicago, IL
18,Aetna,2018-08-07,2 days ago,Managed Health Care,"Supvr, Service Operations",San Antonio, TX
19,Aetna,2018-08-08,1 day ago,Managed Health Care,Trainer,Township of Moon, PA
20,Aetna,2018-07-23,17 hours ago,Managed Health Care,Project Coordinator,Tampa, FL
21,Aetna,2018-07-19,21 days ago,Managed Health Care,Bilingual (Creole) Customer Service Representative,Sunrise, FL
22,Aetna,2018-08-01,8 days ago,Managed Health Care,Community Health Educator,Bradenton, FL
23,Aetna,2018-07-11,29 days ago,Managed Health Care,Customer Service Representative - Bilingual,Houston, TX
24,Aetna,2018-07-31,9 days ago,Managed Health Care,Eligibility Consultant - Paper,Newark, DE
25,Aetna,2018-07-23,17 hours ago,Managed Health Care,Care Management Associate,San Antonio, TX
26,Aetna,2018-07-13,27 days ago,Managed Health Care,Customer Service Rep (NIGHT or OVERNIGHT SHIFT),Sandy, UT
27,Aetna,2018-07-23,17 hours ago,Managed Health Care,Network Relations Cnslt,Tampa, FL
28,Aetna,2018-07-21,19 days ago,Managed Health Care,Eligibility Cnslt - Paper,Harrisburg, PA
29,Aetna,2018-08-01,8 days ago,Managed Health Care,Health Coach - Wellness,Fresno, CA
30,Aetna,2018-08-01,8 days ago,Managed Health Care,Provider Phone Representative,Columbus, OH
31,Aetna,2018-07-10,30+ days ago,Managed Health Care,"Supervisor, Customer Service",Plymouth, MN
32,Aetna,2018-07-26,14 days ago,Managed Health Care,Associate Eligibility Consultnat,Township of Moon, PA
33,Aetna,2018-07-12,28 days ago,Managed Health Care,Clinical Customer Service Rep,New Albany, OH
34,Aetna,2018-07-23,17 hours ago,Managed Health Care,"Supervisor, Testing",Bristol, VA
35,Aetna,2018-07-14,26 days ago,Managed Health Care,Project Specialist,Chicago, IL
36,Aetna,2018-07-20,20 days ago,Managed Health Care,Inb/Outb Queue Assoc,New Albany, OH
