,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Aflac,,,Life & Health Insurance,Aflac Associate,Los Angeles, CA
1,Aflac,,,Life & Health Insurance,Aflac Benefit Consultant,Stevensville, MI
2,Aflac,,,Life & Health Insurance,Aflac Sales Associate,Pittsboro, NC
3,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Aflac Associate,Hays, KS
4,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Aflac Associate - Will Train!,Hibbing, MN
5,Aflac,2018-07-27,13 days ago,Life & Health Insurance,Aflac Position,Houston, TX
6,Aflac,2018-08-01,8 days ago,Life & Health Insurance,Human Resource (Internship)-Aflac 2018,Laurel, MD
7,Aflac,2018-07-18,22 days ago,Life & Health Insurance,Aflac Human Resources Intership (Fall),Laurel, MD
8,Aflac,2018-07-21,19 days ago,Life & Health Insurance,Account Representative,Bakersfield, CA
9,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Agente de Seguros,San Juan, PR
10,Aflac,2018-08-03,6 hours ago,Life & Health Insurance,Account Assoicate 1 - Entry Level,New York, NY
11,Aflac,2018-07-23,17 hours ago,Life & Health Insurance,Ejecutivo de Cuentas,San Juan, PR
12,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Buisness to Buisness Representative,Crown Point, IN
13,Aflac,,,Life & Health Insurance,Aflac Associate,Tempe, AZ
14,Aflac,,,Life & Health Insurance,AFLAC Associate,Midland, TX
15,Aflac,2018-08-06,3 days ago,Life & Health Insurance,Aflac Associate,Marshall, MO
16,Aflac,,,Life & Health Insurance,Licensed Insurance Agent,Bingham Farms, MI
17,Aflac,2018-08-02,7 days ago,Life & Health Insurance,Associate and Management Opportunities,Harrisonburg, VA
18,Aflac,2018-07-31,9 days ago,Life & Health Insurance,Administrative Assistant,Richmond, VA
19,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Sales Associate,Guaynabo, PR
20,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Recruiting Coordinator,Chattanooga, TN
21,Aflac,2018-07-18,22 days ago,Life & Health Insurance,HR Aflac fall 2018 internship,Laurel, MD
22,Aflac,2018-08-08,1 day ago,Life & Health Insurance,"Associate Partnerships Manager, Aflac Group Insurance",Columbia, SC
23,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Representante de Ventas,Bayamón, PR
24,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Executive Associate,Louisville, KY
25,Aflac,2018-07-28,12 days ago,Life & Health Insurance,Associate,London, KY
26,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Manager in Training (MIT),Morehead City, NC
27,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Recruiting Coordinator,Chattanooga, TN
28,Aflac,,,Life & Health Insurance,Employee Benefits Specialist,Baton Rouge, LA
29,Aflac,,,Life & Health Insurance,B2B Telemarketing Appointment Setting!,Houston, TX
30,Aflac,,,Life & Health Insurance,Benefits Advisor Professional,Burlington, NC
31,Aflac,,,Life & Health Insurance,Insurance Representative,Silver Spring, MD
32,Aflac,2018-08-02,7 days ago,Life & Health Insurance,Regional Administrator,Oklahoma City, OK
33,Aflac,2018-07-29,11 hours ago,Life & Health Insurance,"Regional Account Coordinator, Aflac Group Insurance",Columbia, SC
34,Aflac,2018-07-27,13 hours ago,Life & Health Insurance,Insurance Agent,Minot, ND
35,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Customer Service Associate,Milford, DE
36,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Entry Level Associate,Westfield, IN
37,Aflac,2018-07-12,28 days ago,Life & Health Insurance,Aflac Sales Intern,Portland, OR
38,Aflac,2018-07-20,20 days ago,Life & Health Insurance,Human Resources Fall Intern 2018,Laurel, MD
39,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Small Business Solutions Specialist,Durham, NC
40,Aflac,2018-08-05,4 days ago,Life & Health Insurance,Manager in Training,Spring Valley, NV
41,Aflac,2018-08-01,8 days ago,Life & Health Insurance,Employee Account Rep,Portland, OR
42,Aflac,,,Life & Health Insurance,"Account Representative - Visalia, CA",Visalia, CA
43,Aflac,,,Life & Health Insurance,Account Opener,Twin Falls, ID
44,Aflac,,,Life & Health Insurance,Regional Administrator,Oklahoma City, OK
45,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Agente de ventas,San Juan, PR
46,Aflac,2018-07-27,13 days ago,Life & Health Insurance,B2B Telemarketing Appointment Setting!,Houston, TX
47,Aflac,2018-07-21,19 days ago,Life & Health Insurance,Sales Advisor,Maysville, NC
48,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,"Group Representative - South Florida, Aflac Group Insurance",,
49,Aflac,2018-08-06,3 days ago,Life & Health Insurance,Benefits Consultant,Berea, KY
50,Aflac,2018-07-24,16 hours ago,Life & Health Insurance,District Sales Coordinator,Cedar Rapids, IA
51,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Licensed Life & Health agents,Marion, IL
52,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Entry Level Account Executive,Silver Spring, MD
53,Aflac,2018-07-19,21 days ago,Life & Health Insurance,Sales Internship,Iowa City, IA
54,Aflac,2018-07-19,21 days ago,Life & Health Insurance,Market Coordinator,West Chester, OH
55,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Insurance Advisor,Jacksonville, NC
56,Aflac,2018-07-13,27 days ago,Life & Health Insurance,Sales Representative,Kingman, AZ
57,Aflac,2018-08-04,5 days ago,Life & Health Insurance,Sales Representative,Spartanburg, SC
58,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Sales Associate Representative,Monroe, LA
59,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Entry Level Account Manager,Silver Spring, MD
60,Aflac,2018-08-02,7 days ago,Life & Health Insurance,"Classroom Trainer, Renton, WA",Renton, WA
61,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Account Opener,Twin Falls, ID
62,Aflac,2018-08-02,7 days ago,Life & Health Insurance,Manager Trainee,Bluefield, VA
63,Aflac,2018-08-02,7 days ago,Life & Health Insurance,Senior Aflac Ventures Associate,Wilmington, DE
64,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Sales Agent,Johnson, VT
65,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Customer Service Specialist,Cincinnati, OH
66,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,District Coordinator,Saint Paul, MN
67,Aflac,2018-08-08,1 day ago,Life & Health Insurance,Outside Sales,Saint Augustine, FL
68,Aflac,2018-08-01,8 days ago,Life & Health Insurance,Employee/ Business Analyst,Portland, OR
69,Aflac,2018-07-18,22 days ago,Life & Health Insurance,Aflac Sales Intership (fall),Laurel, MD
70,Aflac,2018-07-21,19 days ago,Life & Health Insurance,Entry Level Insurance Agent,Racine, WI
71,Aflac,2018-07-24,16 days ago,Life & Health Insurance,Personal Assistant to CEO,New York, NY
72,Aflac,2018-08-08,1 day ago,Life & Health Insurance,We are not seeking sales people...,Lexington, KY
73,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Business Development Representative,Shelbyville, KY
74,Aflac,2018-07-10,30+ days ago,Life & Health Insurance,Aflac Agent,Macomb, MI
75,Aflac,2018-08-01,8 days ago,Life & Health Insurance,Fall Human Resources Internship,Silver Spring, MD
