,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Agilent Technologies,,,Electronics,Assembly Technician,Hayward, CA
1,Agilent Technologies,,,Electronics,Software Engineer- JIRA & SBM Solutions Specialist,Santa Clara, CA
2,Agilent Technologies,,,Electronics,"Field Service Engineer, Automation & Genomics - Bay Area",Santa Clara, CA
3,Agilent Technologies,2018-07-31,9 days ago,Electronics,Lab Assistant,Carpinteria, CA
4,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Clinical Administrative Assistant - Entry Level,Carpinteria, CA
5,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Biochemist Manufacturing Associate,Carpinteria, CA
6,Agilent Technologies,2018-08-03,6 days ago,Electronics,Scientist - Discovery Technologies,Thousand Oaks, CA
7,Agilent Technologies,2018-08-05,4 days ago,Electronics,Production Operator,Folsom, CA
8,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Customer Service Representative,Carpinteria, CA
9,Agilent Technologies,2018-08-02,7 days ago,Electronics,Finance Representative,,
10,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Assembly Technician,Hayward, CA
11,Agilent Technologies,2018-07-17,23 days ago,Electronics,Chemical Imaging Intern,Santa Clara, CA
12,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Assembler Technician,Hayward, CA
13,Agilent Technologies,,,Electronics,Senior Software Engineer- Cloud Expert,Santa Clara, CA
14,Agilent Technologies,,,Electronics,GCMS Chemist,Mansfield, MA
15,Agilent Technologies,2018-07-27,13 days ago,Electronics,Laboratory Analyst,Harrisburg, PA
16,Agilent Technologies,2018-07-31,9 days ago,Electronics,Sales Data Analyst Intern,Santa Clara, CA
17,Agilent Technologies,2018-07-10,30 days ago,Electronics,Lab Technician,Port Saint Lucie-River Park, FL
18,Agilent Technologies,2018-07-27,13 days ago,Electronics,Treasury Intern,Santa Clara, CA
19,Agilent Technologies,2018-07-10,30+ days ago,Electronics,Central Territory Scheduler,Wilmington, DE
20,Agilent Technologies,2018-07-28,12 days ago,Electronics,RF System Integration Engineer – Cellular Technologies,Santa Clara Valley, CA
