,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Alaska Air Group,,,Airline,Ground Service Agent SEA,Seattle, WA
1,Alaska Air Group,,,Airline,"Pilot for Horizon Air, an Alaska Air Group company",,
2,Alaska Air Group,,,Airline,Chiller Mechanic,Fort Meade, MD
3,Alaska Air Group,2018-08-01,8 days ago,Airline,Customer Service Agent - Part time,San Francisco, CA
4,Alaska Air Group,2018-08-08,1 day ago,Airline,Reservations Agent - Call Center and Work from Home Program,Seattle, WA
5,Alaska Air Group,2018-08-08,1 day ago,Airline,"Director, Cargo Logistics – Ravn Alaska Airport Operations",Anchorage, AK
6,Alaska Air Group,2018-08-08,1 day ago,Airline,Crew Scheduler – Ravn Alaska Flight Operations,Anchorage, AK
7,Alaska Air Group,2018-08-05,4 days ago,Airline,Horizon Flight Attendant,Portland, OR
8,Alaska Air Group,2018-08-05,4 days ago,Airline,Ramp / Customer Services Agent,Walla Walla, WA
9,Alaska Air Group,2018-07-10,30+ days ago,Airline,Customer Service Agent,Bethel, AK
10,Alaska Air Group,2018-07-22,18 days ago,Airline,Cargo CSA - Air Freight,Seattle, WA
11,Alaska Air Group,2018-08-07,2 hours ago,Airline,Chemist I,Fairbanks, AK
12,Alaska Air Group,2018-08-07,2 days ago,Airline,Transportation Security Officer (TSO),Cordova, AK
13,Alaska Air Group,,,Airline,Pilot for Horizon Air,Seattle, WA
14,Alaska Air Group,2018-08-08,1 day ago,Airline,Ground Service Agent PG1,Portland, OR
15,Alaska Air Group,2018-08-08,1 day ago,Airline,Ground Service Agent PG1,Portland, OR
16,Alaska Air Group,2018-07-31,9 days ago,Airline,Ground Service Agent SEA,Seattle, WA
17,Alaska Air Group,2018-08-08,1 day ago,Airline,"Manager, Air QC and Ticketing",Los Angeles, CA
18,Alaska Air Group,2018-08-01,8 days ago,Airline,Reservation Agent,Anchorage, AK
19,Alaska Air Group,2018-07-10,30+ days ago,Airline,Ramp Service Agent – Ravn Alaska Airport Operations,Anchorage, AK
20,Alaska Air Group,2018-07-20,20 days ago,Airline,Cargo Ramp Agent,Seattle, WA
21,Alaska Air Group,2018-07-10,30+ days ago,Airline,General Maintenance Worker (Various Shifts),Seattle, WA
22,Alaska Air Group,2018-07-25,15 days ago,Airline,Records Clerk,Anchorage, AK
23,Alaska Air Group,2018-08-08,1 day ago,Airline,Recruitment Coordinator,Anchorage, AK
24,Alaska Air Group,2018-07-29,11 days ago,Airline,"Unit Coordinator - ED, Alaska (Part-Time)",Ketchikan, AK
25,Alaska Air Group,2018-07-21,19 days ago,Airline,Ramp Service,Ketchikan, AK
26,Alaska Air Group,2018-07-14,26 days ago,Airline,Seasonal Youth Counselor - Pride of America,,
27,Alaska Air Group,2018-07-28,12 days ago,Airline,On-Call Concierge - SEA Lounge,Seattle, WA
28,Alaska Air Group,2018-07-10,30+ days ago,Airline,Ramp Service Agent,Aniak, AK
29,Alaska Air Group,2018-07-26,14 days ago,Airline,Contract Service Lead,Lihue, HI
30,Alaska Air Group,2018-07-27,13 days ago,Airline,Airport Manager,Barrow, AK
31,Alaska Air Group,2018-07-10,30 days ago,Airline,Executive Assistant,Anchorage, AK
32,Alaska Air Group,2018-08-07,2 days ago,Airline,Chemist II,Bedford Park, IL
33,Alaska Air Group,2018-07-25,15 days ago,Airline,General Ledger Accountant,Anchorage, AK
34,Alaska Air Group,2018-07-10,30+ days ago,Airline,Cargo Agent,Barrow, AK
35,Alaska Air Group,2018-08-07,2 hours ago,Airline,Rental Technician,Tukwila, WA
36,Alaska Air Group,2018-07-31,9 days ago,Airline,Aircraft Technician,Portland, OR
37,Alaska Air Group,2018-07-27,13 days ago,Airline,Quality Assurance Manager – Ravn Alaska Maintenance,Anchorage, AK
38,Alaska Air Group,2018-07-25,15 days ago,Airline,Lead Ramp Service Agent – Ravn Alaska Airport Operations,Anchorage, AK
39,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program - University of Alaska - Anchorage,Portland, OR
40,Alaska Air Group,2018-08-05,4 days ago,Airline,Senior Administrative Assistant,Seattle, WA
41,Alaska Air Group,2018-07-25,15 days ago,Airline,Manager of Flight Investigations,Anchorage, AK
42,Alaska Air Group,2018-07-31,9 days ago,Airline,RTP- Pilot for Horizon Air,Seattle, WA
43,Alaska Air Group,2018-07-10,30+ days ago,Airline,Apprentice Level Transmision Technician,Kent, WA
44,Alaska Air Group,2018-08-05,4 days ago,Airline,Environmental Svc Attendant I,Ketchikan, AK
45,Alaska Air Group,2018-07-10,30+ days ago,Airline,General Accounting Clerk,Anchorage, AK
46,Alaska Air Group,2018-07-18,22 hours ago,Airline,Landscaping/Grounds Shop - UAA Maint Service Workr III (MSW3),Anchorage, AK
47,Alaska Air Group,2018-07-27,13 days ago,Airline,Pile Drive (Gulf Coast Houston),Houston, TX
48,Alaska Air Group,2018-07-27,13 days ago,Airline,"Director, Flight Operations Training – Ravn Alaska Flight Operations",Anchorage, AK
49,Alaska Air Group,2018-07-10,30+ days ago,Airline,Instrument Technician – Ravn Alaska Maintenance,Anchorage, AK
50,Alaska Air Group,2018-07-31,9 days ago,Airline,"Painter - Big Lake, AK",Big Lake, AK
51,Alaska Air Group,2018-07-10,30+ days ago,Airline,Inspection Supervisor – Ravn Alaska Maintenance,Anchorage, AK
52,Alaska Air Group,2018-08-01,8 days ago,Airline,Manager Station Administration,Seattle, WA
53,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program - Gallatin College MSU,Portland, OR
54,Alaska Air Group,2018-07-31,9 days ago,Airline,Engineer II,Burlingame, CA
55,Alaska Air Group,2018-07-31,9 days ago,Airline,Maintenance Controller,Seattle, WA
56,Alaska Air Group,2018-07-27,13 days ago,Airline,Crane Operator,Tampa, FL
57,Alaska Air Group,2018-07-25,15 days ago,Airline,Cargo and Mail Sales Director,Anchorage, AK
58,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot for Horizon Air,Seattle, WA
59,Alaska Air Group,2018-07-10,30+ days ago,Airline,PACAF Scheduler -,,
60,Alaska Air Group,2018-08-01,8 days ago,Airline,Aircraft Maintenance Technician – Ravn Alaska Maintenance,Anchorage, AK
61,Alaska Air Group,2018-08-07,2 days ago,Airline,"PILOT Air Crew Training Instructor - LCT - Fort Wainwright, Alaska",Fort Wainwright, AK
62,Alaska Air Group,2018-07-10,30 days ago,Airline,"Manager, Flight Investigations",Anchorage, AK
63,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program-Rocky Mountain College,Portland, OR
64,Alaska Air Group,2018-07-10,30+ days ago,Airline,Operational Control Agents,Anchorage, AK
65,Alaska Air Group,2018-07-10,30+ days ago,Airline,Apprentice Engine Tech,Kent, WA
66,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program - Galvin Flying,Portland, OR
67,Alaska Air Group,2018-07-10,30+ days ago,Airline,Inspection Supervisor,Anchorage, AK
68,Alaska Air Group,2018-07-25,15 days ago,Airline,"Petroleum, Oil and Lubricants (POL) Lead",Midway Island, VA
69,Alaska Air Group,2018-07-18,22 days ago,Airline,Program Manager,Pearl Harbor, HI
70,Alaska Air Group,2018-07-10,30+ days ago,Airline,PACAF PEX Administrative Support -,Pearl Harbor, HI
71,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program - SAA International,Portland, OR
72,Alaska Air Group,2018-07-10,30+ days ago,Airline,Flight Control Agent,Anchorage, AK
73,Alaska Air Group,2018-07-10,30+ days ago,Airline,Steward (2018/2019) - South Pole,Denver, CO
74,Alaska Air Group,2018-08-03,6 days ago,Airline,Avionics Mechanic 1,Eielson AFB, AK
75,Alaska Air Group,2018-08-03,6 days ago,Airline,Director of Marketing and Sales (for Industrial Distribution company),Martinez, CA
76,Alaska Air Group,2018-08-04,5 days ago,Airline,Corporate Sales Manager,Chicago, IL
77,Alaska Air Group,2018-07-10,30+ days ago,Airline,Propulsion Mechanic 2,Eielson AFB, AK
78,Alaska Air Group,2018-07-10,30+ days ago,Airline,Journey Lev Chassis Tech,Anchorage, AK
79,Alaska Air Group,2018-07-10,30+ days ago,Airline,Administrative Coordinator/Kitchen Clerk (2018/2019) - McMurdo,Denver, CO
80,Alaska Air Group,2018-07-10,30+ days ago,Airline,Ground Service Equipment (GSE) Mechanic,Anchorage, AK
81,Alaska Air Group,2018-07-10,30+ days ago,Airline,Environmental Compliance Coordinator,Clackamas, OR
82,Alaska Air Group,2018-07-10,30+ days ago,Airline,Winter Rooms Coordinator (Winter 2019) - McMurdo,Denver, CO
83,Alaska Air Group,2018-08-08,1 day ago,Airline,Mechanic Crane,Seattle, WA
84,Alaska Air Group,2018-07-18,22 days ago,Airline,"Project Manager, II",Anchorage, AK
85,Alaska Air Group,2018-07-10,30+ days ago,Airline,Aviation Safety Inspector (Operations) (Rotorcraft-Helicopter),,
86,Alaska Air Group,2018-07-31,9 days ago,Airline,Pilot Development Program - Hillsboro Aero Academy,Portland, OR
87,Alaska Air Group,2018-07-10,30+ days ago,Airline,Hairstylist (2018/2019) - McMurdo,Denver, CO
88,Alaska Air Group,2018-07-10,30+ days ago,Airline,"Dining Attendant, Lead (2018/2019) - McMurdo",Denver, CO
89,Alaska Air Group,2018-07-10,30+ days ago,Airline,Steward Coordinator (2018/2019) - South Pole,Denver, CO
90,Alaska Air Group,2018-07-10,30+ days ago,Airline,Steward Coordinator - Food Services (2018/2019) - McMurdo,Denver, CO
