,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Alexion Pharmaceuticals,2018-08-04,5 days ago,Biotechs,Drug Safety Intake Associate III,Boston, MA
1,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Development Associate I, Upstream Development",New Haven, CT
2,Alexion Pharmaceuticals,2018-08-03,6 days ago,Biotechs,"Research Scientist I, Preclinical Pharmacology",New Haven, CT
3,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Development Associate I, Downstream Process Development",New Haven, CT
4,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Exec Dir, Patient Advocacy",Boston, MA
5,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Analyst, Order-to-Cash",New Haven, CT
6,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,Global Pharmacovigilance Analyst,Boston, MA
7,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Vice President, Head of Employee Experience",New Haven, CT
8,Alexion Pharmaceuticals,2018-08-07,2 days ago,Biotechs,"Assoc Dir, ERP & Tech Lead",New Haven, CT
9,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Associate Director, Attraction, Talent Discovery & Competitive Intelligence",Boston, MA
10,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,Case Manager Field -Central,Des Moines, IA
11,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,Head of Corporate Communications and Investor Relations,Monrovia, CA
12,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,Safety Data Management Specialist III,Boston, MA
13,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Development Scientist I, Bioanalytical Development",New Haven, CT
14,Alexion Pharmaceuticals,2018-08-06,3 hours ago,Biotechs,Product Quality Lead,New Haven, CT
15,Alexion Pharmaceuticals,2018-07-10,30 days ago,Biotechs,"Assoc Dir, Launch Planning",Boston, MA
16,Alexion Pharmaceuticals,2018-08-07,2 days ago,Biotechs,"Development Scientist II, Pharmaceutical Development",New Haven, CT
17,Alexion Pharmaceuticals,2018-07-31,9 hours ago,Biotechs,"Director, US Marketing Neurology",Boston, MA
18,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Development Associate IV, Bioanalytical Development",New Haven, CT
19,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Director, Compliance Monitoring",Boston, MA
20,Alexion Pharmaceuticals,2018-07-26,14 days ago,Biotechs,Case Manager,New Haven, CT
21,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Director, Product Characterization",New Haven, CT
22,Alexion Pharmaceuticals,2018-08-06,3 hours ago,Biotechs,Product Quality Lead - Devices,New Haven, CT
23,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Director, PV Quality and Compliance",Boston, MA
24,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Director, Biostatistics",Boston, MA
25,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Manager, LAR",New Haven, CT
26,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Director, Competitive Intelligence & Analytics",Boston, MA
27,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Director, Scientific Communications",Boston, MA
28,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Medical Affairs",Boston, MA
29,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Director, Head of Talent Strategy & Design",Boston, MA
30,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Senior Director, Global Benefits",Boston, MA
31,Alexion Pharmaceuticals,2018-07-20,20 days ago,Biotechs,"Executive Director, Global Strategic Sourcing",Boston, MA
32,Alexion Pharmaceuticals,2018-08-02,7 days ago,Biotechs,"Sr Manager, Business Development Search & Evaluation",Boston, MA
33,Alexion Pharmaceuticals,2018-07-18,22 days ago,Biotechs,"Professional Sales Representative (Pediatric Account Manager)- Seattle, WA",Seattle, WA
34,Alexion Pharmaceuticals,2018-07-13,27 days ago,Biotechs,"Director, Regulatory Quality, Compliance & Communications",Boston, MA
35,Alexion Pharmaceuticals,2018-07-31,9 days ago,Biotechs,"Sr Manager, Incentive Compensation",Boston, MA
36,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Director, Head of Leadership Strategy & Design",Boston, MA
37,Alexion Pharmaceuticals,2018-08-04,5 days ago,Biotechs,"Exec Dir, Global Medical Sciences",Boston, MA
38,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Marketing, Global, Neurology",Boston, MA
39,Alexion Pharmaceuticals,2018-07-27,13 days ago,Biotechs,"Sr Manager, Safety Scientist",Boston, MA
40,Alexion Pharmaceuticals,2018-08-06,3 days ago,Biotechs,"Senior Manager, Medical Writing",Boston, MA
41,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Key Account Mgmt, Capitol, PNH/aHUS",,
42,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Associate Director, Treasury",Boston, MA
43,Alexion Pharmaceuticals,2018-08-04,5 days ago,Biotechs,"Sr Director, Global Marketing, LAL-D and Wilsons Disease",Boston, MA
44,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Associate Director, Biostatistics",Boston, MA
45,Alexion Pharmaceuticals,2018-07-11,29 days ago,Biotechs,"Director, GMI & Medical Review",Boston, MA
46,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Key Account Mgmt, Midwest, PNH/aHUS",,
47,Alexion Pharmaceuticals,2018-08-02,7 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH- S Boston, MA",,
48,Alexion Pharmaceuticals,2018-07-10,30 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH Peoria, ILL",,
49,Alexion Pharmaceuticals,2018-07-26,14 days ago,Biotechs,"Director, Global R&D Project Manager",Boston, MA
50,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Key Account Mgmt, Southwest,PNH/aHUS",,
51,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Associate Director, Statistical Programming",Boston, MA
52,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,Principal Statistical Programmer,San Diego, CA
53,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,Principal Clinical Data Manager,Boston, MA
54,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Senior Financial Analyst, Corporate FP&A",Boston, MA
55,Alexion Pharmaceuticals,2018-07-10,30 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH Knoxville, TN",,
56,Alexion Pharmaceuticals,2018-08-01,8 days ago,Biotechs,National Program Director,Philadelphia, PA
57,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Development Scientist I, Downstream Process Development",New Haven, CT
58,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Assoc Dir, Key Account Mgmt, Mid Atlantic, PNH/aHUS",,
59,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Associate Director, Security Business Solutions",New Haven, CT
60,Alexion Pharmaceuticals,2018-07-17,23 days ago,Biotechs,"Assoc Dir, Global Medical Sciences",Boston, MA
61,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Sr Director, Global Marketing, Neurology",Boston, MA
62,Alexion Pharmaceuticals,2018-07-17,23 days ago,Biotechs,Sales Executive with SalesForce / CRM experience,New York, NY
63,Alexion Pharmaceuticals,2018-07-12,28 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH- Minneapolis, MN",,
64,Alexion Pharmaceuticals,2018-07-12,28 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH Tacoma, WA",,
65,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Regional Account Manager, US aHUS/PNH- San Antonio, TX",,
66,Alexion Pharmaceuticals,2018-08-02,7 days ago,Biotechs,"Regional Account Manager, US Neurology, Austin, TX",,
67,Alexion Pharmaceuticals,2018-08-08,1 day ago,Biotechs,"Director, Medical Sciences",Boston, MA
68,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Regional Account Manager, US aHUS/PNH- Las Vegas, NV",,
69,Alexion Pharmaceuticals,2018-07-12,28 days ago,Biotechs,"Regional Account Manager, Neurology - Syracuse, NY",,
70,Alexion Pharmaceuticals,2018-07-28,12 days ago,Biotechs,"Senior Manager, Head of Talent Acquisition Programs & Operations",Boston, MA
71,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Regional Account Manager, US aHUS/PNH- E Houston, TX",,
72,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Sr. Director, Global Medical Sciences",Boston, MA
73,Alexion Pharmaceuticals,2018-08-02,7 days ago,Biotechs,Medical Director,Boston, MA
74,Alexion Pharmaceuticals,2018-07-10,30 days ago,Biotechs,"Regional Account Manager, US aHUS/PNH Atlanta South, GA",,
75,Alexion Pharmaceuticals,2018-07-10,30+ days ago,Biotechs,"Sr Director, GMA TA Lead",Boston, MA
76,Alexion Pharmaceuticals,2018-07-20,20 days ago,Biotechs,"Sr Manager, Business Systems Global",Boston, MA
77,Alexion Pharmaceuticals,2018-07-24,16 days ago,Biotechs,"Medical Director, Risk Management",Boston, MA
