,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Alliance Data Systems,2018-08-02,7 hours ago,Business & Personal Services,130 INFORMATION TECHNOLOGY - Chief Information Officer,Alameda, CA
1,Alliance Data Systems,,,Business & Personal Services,Engineer I - Big Data,Phoenix, AZ
2,Alliance Data Systems,2018-07-26,14 hours ago,Business & Personal Services,Database Intern,Dallas, TX
3,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,DATA ENTRY OPERATOR,Seattle, WA
4,Alliance Data Systems,2018-07-31,9 days ago,Business & Personal Services,Data Systems Specialist,Columbus, OH
5,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Data Entry Clerk,St. Louis, MO
6,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Systems Specialist-Scheduler/Data Entry,Columbus, IN
7,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,161 NETWORK DATA VALIDATION - Provider Data Clerk,Alameda, CA
8,Alliance Data Systems,2018-07-26,14 hours ago,Business & Personal Services,Database Intern,Dallas, TX
9,Alliance Data Systems,2018-08-02,7 hours ago,Business & Personal Services,Data Entry Clerk (Full Time- Midnights),Hammond, IN
10,Alliance Data Systems,2018-07-28,12 days ago,Business & Personal Services,"Assistant, Urban A&R",New York, NY
11,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,161 NETWORK DATA VALIDATION - Provider Data Coordinator I,Alameda, CA
12,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Data Entry Pharmacy Technician- Work at Home (Phoenix Area),Chandler, AZ
13,Alliance Data Systems,,,Business & Personal Services,Data Programmer,Irving, TX
14,Alliance Data Systems,,,Business & Personal Services,Systems Architect I,New York, NY
15,Alliance Data Systems,,,Business & Personal Services,"Senior Financial Systems Analyst, BPC",Auburn Hills, MI
16,Alliance Data Systems,,,Business & Personal Services,Automated Quality Analyst II,Columbus, OH
17,Alliance Data Systems,2018-07-26,14 hours ago,Business & Personal Services,Clerical Specialist II,Duarte, CA
18,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,"Data Entry Technician - Chandler, AZ",Phoenix, AZ
19,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,125 CLAIMS - Claims Processor I,Alameda, CA
20,Alliance Data Systems,2018-07-28,12 days ago,Business & Personal Services,Orlando Data Center Technician,Orlando, FL
21,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,New Accounts Associate - Entry Level,Kansas City, KS
22,Alliance Data Systems,2018-07-13,27 days ago,Business & Personal Services,Quality Data Analyst,Lafayette, IN
23,Alliance Data Systems,2018-08-02,7 days ago,Business & Personal Services,Voter Registration Data Specialist,,
24,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Electronic Health Records Systems Administrator,Statesville, NC
25,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Sr Analyst Systems & Data Privacy,Columbus, OH
26,Alliance Data Systems,2018-08-02,7 hours ago,Business & Personal Services,130 INFORMATION TECHNOLOGY - Chief Information Officer,Alameda, CA
27,Alliance Data Systems,2018-08-07,2 days ago,Business & Personal Services,AMS Strategic Program Manager,Houston, TX
28,Alliance Data Systems,,,Business & Personal Services,Director of User Experience,Atlanta, GA
29,Alliance Data Systems,,,Business & Personal Services,"Director, Data Engineering - Customer Experience, Enterprise Data Office",Hartford, CT
30,Alliance Data Systems,,,Business & Personal Services,IT Project Manager/Senior Developer,Santa Cruz, CA
31,Alliance Data Systems,2018-08-07,2 days ago,Business & Personal Services,Data Privacy Officer,Nashville, TN
32,Alliance Data Systems,2018-07-30,10 hours ago,Business & Personal Services,Operations Admin I - III (Senior),Hewitt, TX
33,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Housing Resoure Specialist,Owatonna, MN
34,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Get With The Guidelines-Resuscitation Data Abstractor Remote,Fort Washington, PA
35,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,"Data Scientist - People Analytics - Organizational Solutions, New Ventures",Waltham, MA
36,Alliance Data Systems,2018-07-24,16 days ago,Business & Personal Services,Forensic Data Analytics,New York, NY
37,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Customer Service Representative- up to 17.00/hour,Westminster, CO
38,Alliance Data Systems,2018-07-28,12 days ago,Business & Personal Services,"Coordinator, Chatham Health Alliance",Pittsboro, NC
39,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Facilities Coordinator,Santa Barbara, CA
40,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Collections Associate - Up to $17.70/hour AND Flexible Scheduling!,Salt Lake City, UT
41,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Digital Specialist,Saint Paul, MN
42,Alliance Data Systems,,,Business & Personal Services,Program Assistant,Saint Paul, MN
43,Alliance Data Systems,,,Business & Personal Services,"Senior Analyst, Enterprise Business Analysis",Columbus, OH
44,Alliance Data Systems,,,Business & Personal Services,"Senior Engineer, Connected Devices and Digital Health",Lexington, MA
45,Alliance Data Systems,,,Business & Personal Services,Adult ESL Teacher - Contract Assignment,San Rafael, CA
46,Alliance Data Systems,,,Business & Personal Services,Case Manager- Inpatient,Everett, MA
47,Alliance Data Systems,2018-08-01,8 days ago,Business & Personal Services,Laboratory Technician (Yuba City),Yuba City, CA
48,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Systems Engineer I,Scotts Valley, CA
49,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Collections - Up to $17.70 bonus AND Flexible Schedules!,Salt Lake City, UT
50,Alliance Data Systems,2018-08-03,6 days ago,Business & Personal Services,Alliance Sourcing Specialist,Fargo, ND
51,Alliance Data Systems,2018-08-03,6 days ago,Business & Personal Services,Alliance Sourcing Specialist,Fargo, ND
52,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Call Center Technician,Sheffield, AL
53,Alliance Data Systems,2018-07-10,30 days ago,Business & Personal Services,Director of Imaging Systems,Santa Barbara, CA
54,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Data Scientist,Portland, OR
55,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Patient Service Representative Call Center,Greenwood, IN
56,Alliance Data Systems,2018-08-02,7 days ago,Business & Personal Services,Open positions at the National Immigrant Justice Center:,Chicago, IL
57,Alliance Data Systems,,,Business & Personal Services,"Draper, UT Collections - Up to $17.70 Bonuses/Flex Schedules!",Salt Lake City, UT
58,Alliance Data Systems,,,Business & Personal Services,Mule DevOps Engineer,Columbus, OH
59,Alliance Data Systems,,,Business & Personal Services,"Senior Manager, Software Quality Assurance",Cambridge, MA
60,Alliance Data Systems,,,Business & Personal Services,IT Administrative Specialist,Washington, DC
61,Alliance Data Systems,,,Business & Personal Services,Senior Manager - Information Security,Irwindale, CA
62,Alliance Data Systems,2018-07-31,9 hours ago,Business & Personal Services,Patient Service Representative,Munster, IN
63,Alliance Data Systems,2018-07-26,14 days ago,Business & Personal Services,Clinical Quality Data Analyst,Rensselaer, IN
64,Alliance Data Systems,2018-07-20,20 days ago,Business & Personal Services,Associate Supply Chain Analyst- Network Alliance Team,San Antonio, TX
65,Alliance Data Systems,2018-07-18,22 days ago,Business & Personal Services,Customer Care Call Center,Orlando, FL
66,Alliance Data Systems,2018-07-27,13 days ago,Business & Personal Services,Production Control Administrator,Titusville, FL
67,Alliance Data Systems,2018-08-01,8 days ago,Business & Personal Services,Data Analyst - Population Health,Albany, NY
68,Alliance Data Systems,2018-07-20,20 days ago,Business & Personal Services,Data and Technology Associate,Redmond, WA
69,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,"Sales Analyst, International Sales & Systems",Manhattan Beach, CA
70,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Call Center Representative - Up to $16.60/hr. Plus Incentives,Akron, OH
71,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,DOEHRS-Industrial Hygiene Data Entry Technician,,
72,Alliance Data Systems,,,Business & Personal Services,Grant Coordinator,Jackson, MI
73,Alliance Data Systems,,,Business & Personal Services,"Sr Manager, Process Agility",Columbus, OH
74,Alliance Data Systems,,,Business & Personal Services,Senior Scrum Master,Dresher, PA
75,Alliance Data Systems,,,Business & Personal Services,Youth Instructor,Seattle, WA
76,Alliance Data Systems,,,Business & Personal Services,"Youth Program Middle School Math Tutor (part time, 10 mo/yr)",San Rafael, CA
77,Alliance Data Systems,2018-07-30,10 days ago,Business & Personal Services,"Operations Specialist, Claim",Saint Paul, MN
78,Alliance Data Systems,2018-08-07,2 days ago,Business & Personal Services,Documentation Technical Writer,Shawnee, KS
79,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Receptionist,Oakland, CA
80,Alliance Data Systems,2018-07-21,19 days ago,Business & Personal Services,130 INFORMATION TECHNOLOGY - Service Desk Coordinator,Alameda, CA
81,Alliance Data Systems,2018-08-03,6 days ago,Business & Personal Services,Information & Assistance Specialist,Saint Petersburg, FL
82,Alliance Data Systems,2018-07-11,29 days ago,Business & Personal Services,CONTACT CENTER REPRESENTATIVE 1,Seattle, WA
83,Alliance Data Systems,2018-07-25,15 hours ago,Business & Personal Services,Collections Specialist,Hammond, IN
84,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Customer Service/Data Entry Full-Time,Orlando, FL
85,Alliance Data Systems,2018-07-25,15 hours ago,Business & Personal Services,Denial Collections Specialist,Hammond, IN
86,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Patient Services Rep I,Walnut Creek, CA
87,Alliance Data Systems,,,Business & Personal Services,Customer Service/Data Entry Part-Time,Orlando, FL
88,Alliance Data Systems,,,Business & Personal Services,Sales Director,San Rafael, CA
89,Alliance Data Systems,,,Business & Personal Services,Adoption & Transport Services Coordinator,Laconia, NH
90,Alliance Data Systems,,,Business & Personal Services,Director Accounts,Dedham, MA
91,Alliance Data Systems,,,Business & Personal Services,Housing Analyst,New York, NY
92,Alliance Data Systems,2018-07-10,30 days ago,Business & Personal Services,IT Data Warehousing Analyst (HAP) Health Alliance Plan,Southfield, MI
93,Alliance Data Systems,2018-07-31,9 days ago,Business & Personal Services,"Data Analyst, Video",New York, NY
94,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Broker LifeCycle Specialist,Minneapolis, MN
95,Alliance Data Systems,2018-08-02,7 days ago,Business & Personal Services,"Data and Evaluation Associate, Equity & Excellence Initiatives",New York, NY
96,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Facilities Coordinator,Santa Barbara, CA
97,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Facilities Coordinator,Santa Barbara, CA
98,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Data Scientist,Chicago, IL
99,Alliance Data Systems,2018-08-06,3 days ago,Business & Personal Services,Immunizations Staff Assistant,Indianapolis, IN
100,Alliance Data Systems,2018-08-03,6 days ago,Business & Personal Services,Insurance Healthcare Representative,Newark, DE
101,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,General Warehouse Night Houston RFC,Houston, TX
102,Alliance Data Systems,,,Business & Personal Services,Production Supervisor- Menasha,Menasha, WI
103,Alliance Data Systems,,,Business & Personal Services,Utilization Management Specialist,Charlestown, MA
104,Alliance Data Systems,,,Business & Personal Services,Channel Relationship Manager,Minneapolis, MN
105,Alliance Data Systems,,,Business & Personal Services,DV Housing Coordinator,Seattle, WA
106,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Collections Representative - Up to $17.70/hr Bonuses!,Salt Lake City, UT
107,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,"Data Analyst, Global Product Analytics",San Francisco, CA
108,Alliance Data Systems,2018-07-21,19 hours ago,Business & Personal Services,Customer Service Representative- Evening & Weekends Shifts!,Denver, CO
109,Alliance Data Systems,2018-07-12,28 days ago,Business & Personal Services,160 PROVIDER RELATION - Provider Relations Rep I,Alameda, CA
110,Alliance Data Systems,2018-08-04,5 days ago,Business & Personal Services,Data Consultant I,Durham, NC
111,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Provider Data Specialist,San Leandro, CA
112,Alliance Data Systems,2018-07-20,20 days ago,Business & Personal Services,Scribe,Dyer, IN
113,Alliance Data Systems,2018-07-21,19 days ago,Business & Personal Services,Systems Support Specialist,Los Angeles, CA
114,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,Materials Technician II,Michigan City, IN
115,Alliance Data Systems,2018-08-08,1 day ago,Business & Personal Services,"MDLink Communications Spec/MCC (FT) Johnson City, TN",,
116,Alliance Data Systems,,,Business & Personal Services,Solution Consultant,New York, NY
117,Alliance Data Systems,2018-07-23,17 hours ago,Business & Personal Services,Medical Techician,Orange, CA
118,Alliance Data Systems,2018-07-28,12 days ago,Business & Personal Services,Artificial Intelligence Specialist,Chicago, IL
119,Alliance Data Systems,2018-07-18,22 days ago,Business & Personal Services,National Director of Data And Research,Phoenix, AZ
120,Alliance Data Systems,2018-07-13,27 days ago,Business & Personal Services,Data Scientist in Food Animal Biology and Production Systems,Minneapolis-Saint Paul, MN
121,Alliance Data Systems,2018-07-28,12 days ago,Business & Personal Services,Patient Navigator,Chicago, IL
122,Alliance Data Systems,2018-07-10,30+ days ago,Business & Personal Services,Data Entry Specialist,Albany, NY
123,Alliance Data Systems,2018-07-23,17 days ago,Business & Personal Services,Development Assistant,Costa Mesa, CA
124,Alliance Data Systems,2018-07-17,23 days ago,Business & Personal Services,Information Technology Intern – Internship,Bedford, IN
