,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Alliant Energy,,,Electric Utilities,Electric Standards Engineer,Cedar Rapids, IA
1,Alliant Energy,,,Electric Utilities,Sr Mgr Customer Operations,Ottumwa, IA
2,Alliant Energy,,,Electric Utilities,Manager Tax,Madison, WI
3,Alliant Energy,2018-08-02,7 days ago,Electric Utilities,Temporary Meter Reader,Osceola, IA
4,Alliant Energy,2018-07-20,20 hours ago,Electric Utilities,Construction Associate (clerical),DeWitt, IA
5,Alliant Energy,2018-07-20,20 hours ago,Electric Utilities,Electrician Journey/Apprentice,Fond du Lac, WI
6,Alliant Energy,2018-08-04,5 days ago,Electric Utilities,Service Representative-Combination J/A,Buffalo Center, IA
7,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Help Wanted,Madison, WI
8,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Guest Service Agent,Madison, WI
9,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Sr Turbine Specialist,Cedar Rapids, IA
10,Alliant Energy,2018-08-06,3 days ago,Electric Utilities,Manager Contracts,Madison, WI
11,Alliant Energy,2018-08-07,2 days ago,Electric Utilities,Electrical Metering Engineer,Madison, WI
12,Alliant Energy,2018-07-27,13 days ago,Electric Utilities,Full Time Service Agent,Madison, WI
13,Alliant Energy,,,Electric Utilities,Senior IT Auditor (may be filled at a higher level),Madison, WI
14,Alliant Energy,,,Electric Utilities,Electrical Projects Engineer,Madison, WI
15,Alliant Energy,2018-08-03,6 days ago,Electric Utilities,"Accountant, Royalties",Reno, NV
16,Alliant Energy,2018-08-03,6 days ago,Electric Utilities,Manager Customer Operations (Electric),Dubuque, IA
17,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Turbine Engineer III,Cedar Rapids, IA
18,Alliant Energy,2018-08-02,7 days ago,Electric Utilities,Line Mechanic- Journeyman,Washington, IA
19,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Maintenance Tech-Mechanical-Welding,Pardeeville, WI
20,Alliant Energy,2018-07-21,19 days ago,Electric Utilities,Environmental & Safety Specialist (I or Senior),Beloit, WI
21,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Electric Standards Engineer,Cedar Rapids, IA
22,Alliant Energy,2018-07-12,28 days ago,Electric Utilities,Corrosion Control Technologist,,
23,Alliant Energy,2018-08-02,7 days ago,Electric Utilities,Financial Analyst (may be filled at II or Senior level),Cedar Rapids, IA
24,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Corporate Development Financial Analyst,Anoka, MN
25,Alliant Energy,2018-07-11,29 days ago,Electric Utilities,Electrical Projects Engineer,Madison, WI
26,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Territory Manager (IA/NE Territory),Omaha, NE
27,Alliant Energy,2018-07-18,22 days ago,Electric Utilities,Sr Mgr Customer Operations,Ottumwa, IA
28,Alliant Energy,2018-07-20,20 days ago,Electric Utilities,Accounting Royalties-Temporary,Reno, NV
29,Alliant Energy,2018-07-29,11 hours ago,Electric Utilities,Assistant Account Manager - Commercial P&C Insurance,Boston, MA
30,Alliant Energy,2018-07-20,20 days ago,Electric Utilities,Sr. Accountant Royalties,Reno, NV
31,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Manager Distribution Engineering,Cedar Rapids, IA
32,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Manager Tax,Madison, WI
33,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,IT Analyst II,Madison, WI
34,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Senior IT Auditor (may be filled at a higher level),Madison, WI
35,Alliant Energy,2018-07-25,15 days ago,Electric Utilities,"Sr. Residential Loan Officer, Outside Sales",Chicago, IL
36,Alliant Energy,2018-07-28,12 days ago,Electric Utilities,Mechanic,,
37,Alliant Energy,2018-07-18,22 days ago,Electric Utilities,Sr Mgr Customer Operations,Ottumwa, IA
38,Alliant Energy,2018-07-20,20 days ago,Electric Utilities,Accounting Royalties-Temporary,Reno, NV
39,Alliant Energy,2018-07-29,11 hours ago,Electric Utilities,Assistant Account Manager - Commercial P&C Insurance,Boston, MA
40,Alliant Energy,2018-07-20,20 days ago,Electric Utilities,Sr. Accountant Royalties,Reno, NV
41,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Manager Distribution Engineering,Cedar Rapids, IA
42,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Manager Tax,Madison, WI
43,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,IT Analyst II,Madison, WI
44,Alliant Energy,2018-07-10,30+ days ago,Electric Utilities,Senior IT Auditor (may be filled at a higher level),Madison, WI
45,Alliant Energy,2018-07-25,15 days ago,Electric Utilities,"Sr. Residential Loan Officer, Outside Sales",Chicago, IL
46,Alliant Energy,2018-07-28,12 days ago,Electric Utilities,Mechanic,,
