,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Allstate,,,Diversified Insurance,Allstate Agency Staff Opportunity,,
1,Allstate,,,Diversified Insurance,Inside Liability Adjuster (Veterans and Military Spouses Wanted),Chandler, AZ
2,Allstate,,,Diversified Insurance,Bilingual (English/Spanish) Allstate Agency Sales Professional,Deerfield, IL
3,Allstate,2018-08-08,1 day ago,Diversified Insurance,Allstate Customer Service,Las Vegas, NV
4,Allstate,2018-08-04,5 days ago,Diversified Insurance,Transportation Coordinator/Driver for Allstate Executive Protection Team,Northbrook, IL
5,Allstate,2018-07-16,24 days ago,Diversified Insurance,Unlicensed Customer Service Assoc.,Charlotte, NC
6,Allstate,2018-08-06,3 days ago,Diversified Insurance,Customer Service Associate,Charlotte, NC
7,Allstate,2018-08-05,4 days ago,Diversified Insurance,Contact Center Associate,Lincoln, NE
8,Allstate,2018-08-06,3 days ago,Diversified Insurance,Sr. Customer Service Representative,Charlotte, NC
9,Allstate,2018-07-20,20 hours ago,Diversified Insurance,Claims Service Specialist,Charlotte, NC
10,Allstate,2018-08-08,1 day ago,Diversified Insurance,Customer Service Representative,Riverside, CA
11,Allstate,2018-07-15,25 days ago,Diversified Insurance,Entry Level Inside Liability Adjuster,Suffern, NY
12,Allstate,2018-08-02,7 days ago,Diversified Insurance,Allstate Agency Staff Opportunity,Carpinteria, CA
13,Allstate,,,Diversified Insurance,Innovation Strategy Manager - Allstate Digital Ventures,Northbrook, IL
14,Allstate,,,Diversified Insurance,Property and Casualty Insurance Sales Representative,Sunnyvale, CA
15,Allstate,,,Diversified Insurance,Insurance Sales Representative,Provo, UT
16,Allstate,,,Diversified Insurance,Senior Data Modeler,Irving, TX
17,Allstate,2018-08-08,1 day ago,Diversified Insurance,Allstate Sales Producer,Las Vegas, NV
18,Allstate,2018-07-10,30+ days ago,Diversified Insurance,Inside Liability Adjuster,Overland Park, KS
19,Allstate,2018-07-20,20 hours ago,Diversified Insurance,Underwriting Customer Service Associate,Hudson, OH
20,Allstate,2018-07-10,30+ days ago,Diversified Insurance,Claims Adjuster,Mesa, AZ
21,Allstate,2018-08-04,5 days ago,Diversified Insurance,Allstate Mgmt Consulting-Sr Cons I,Northbrook, IL
22,Allstate,2018-08-08,1 day ago,Diversified Insurance,Receptionist/Administrative Assistant,Pearland, TX
23,Allstate,2018-08-04,5 days ago,Diversified Insurance,Subrogation Claims Service Specialist,Roanoke, VA
24,Allstate,2018-07-20,20 hours ago,Diversified Insurance,Claims-Adj Auto Tec-Cons I 1,Township of Wall, NJ
25,Allstate,2018-07-19,21 days ago,Diversified Insurance,Claims Examiner,Jacksonville, FL
26,Allstate,2018-08-04,5 days ago,Diversified Insurance,Payout Annuity Associate,Lincoln, NE
27,Allstate,,,Diversified Insurance,ATSV-Test Engineer-Cons I,Irving, TX
28,Allstate,,,Diversified Insurance,Technical Support Lead,Irving, TX
29,Allstate,,,Diversified Insurance,HR-TA Recruiting-Dir,Northbrook, IL
30,Allstate,,,Diversified Insurance,Licensed Insurance Sales Producer,Overland Park, KS
31,Allstate,2018-07-20,20 hours ago,Diversified Insurance,ATSV-Test Engineer-Sr Cons I,Irving, TX
32,Allstate,2018-08-08,1 day ago,Diversified Insurance,Legal Admnistrative Assistant-Orlando,Orlando, FL
33,Allstate,2018-07-16,24 days ago,Diversified Insurance,CCC-Life Contact Center-Assoc III,Charlotte, NC
34,Allstate,2018-08-05,4 days ago,Diversified Insurance,"Editor, Agent Digital Content",Charlotte, NC
35,Allstate,2018-07-23,17 days ago,Diversified Insurance,Agency Ownership Springboard HERE.,Casa Grande, AZ
36,Allstate,2018-08-08,1 hour ago,Diversified Insurance,Entry level customer Service Specialist,Pittsburgh, PA
37,Allstate,2018-08-04,5 days ago,Diversified Insurance,Entry Level Inside Property Claims Adjuster,Tempe, AZ
38,Allstate,2018-08-03,6 days ago,Diversified Insurance,Agent,Vails Gate, NY
39,Allstate,2018-08-05,4 days ago,Diversified Insurance,Innovation Strategy Manager - Allstate Digital Ventures,Northbrook, IL
40,Allstate,2018-07-19,21 days ago,Diversified Insurance,Education/Training Analyst,Irving, TX
41,Allstate,2018-07-14,26 days ago,Diversified Insurance,Entry Level Inside Liability Determination Adjuster,Bothell, WA
42,Allstate,,,Diversified Insurance,Entry Level Inside Property Adjuster,Columbia, MD
43,Allstate,,,Diversified Insurance,Field Auto Adjuster,Midland, TX
44,Allstate,,,Diversified Insurance,Arity - Cloud Architect,Chicago, IL
45,Allstate,2018-07-15,25 days ago,Diversified Insurance,Entry Level Inside Property Adjuster,Woodridge, IL
46,Allstate,,,Diversified Insurance,Allstate Business Insurance Product State Management Director,Chandler, AZ
47,Allstate,,,Diversified Insurance,IBM Websphere/ Infosphere Analyst,Irving, TX
48,Allstate,2018-07-10,30+ days ago,Diversified Insurance,Entry Level Inside Auto Liability Adjuster,Clarksburg, MD
49,Allstate,2018-07-31,9 days ago,Diversified Insurance,Home Insurance Specialist,Town 'n' Country, FL
50,Allstate,2018-08-03,6 days ago,Diversified Insurance,Allstate Sales Professional (Base Salary + Commission),Grand Rapids, MI
51,Allstate,2018-07-30,10 days ago,Diversified Insurance,Entry Level Inside PIP Adjuster,Brooklyn, NY
52,Allstate,2018-07-20,20 hours ago,Diversified Insurance,Human Resources Customer Care Specialist,Irving, TX
53,Allstate,2018-07-29,11 days ago,Diversified Insurance,Sales Representative,Cincinnati, OH
54,Allstate,2018-07-23,17 days ago,Diversified Insurance,Telemarketer - Allstate Agency Team Member,Orlando, FL
55,Allstate,2018-07-28,12 days ago,Diversified Insurance,Entry Level Field Property Adjuster,Minneapolis, MN
56,Allstate,2018-07-31,9 days ago,Diversified Insurance,Junior Group Underwriter,Jacksonville, FL
57,Allstate,,,Diversified Insurance,Software Engineer-Java,Irving, TX
58,Allstate,,,Diversified Insurance,Licensed Insurance Sales Producer,Overland Park, KS
59,Allstate,2018-08-06,3 days ago,Diversified Insurance,Training Consultant,Irving, TX
60,Allstate,2018-08-06,3 days ago,Diversified Insurance,Executive Administrative Assistant,Northbrook, IL
61,Allstate,,,Diversified Insurance,Arity-Application Developer-Lead Cons,Chicago, IL
62,Allstate,2018-08-04,5 days ago,Diversified Insurance,Field Auto Adjuster,Raleigh, NC
63,Allstate,2018-07-28,12 days ago,Diversified Insurance,Property Claims Service Specialist,Uniondale, NY
64,Allstate,2018-07-19,21 days ago,Diversified Insurance,CE-Strategic Int-Cons II,Northbrook, IL
65,Allstate,2018-07-24,16 days ago,Diversified Insurance,Insurance Customer Service Representative,Tampa, FL
66,Allstate,2018-08-03,6 hours ago,Diversified Insurance,Allstate Agency Sales Rep,Toledo, OH
67,Allstate,2018-07-10,30+ days ago,Diversified Insurance,Allstate Benefits Group Premium Administration Sr Associate,Jacksonville, FL
68,Allstate,2018-08-04,5 days ago,Diversified Insurance,Unrepresented Casualty Adjuster,Roanoke, VA
69,Allstate,2018-07-20,20 hours ago,Diversified Insurance,ARE-CAD-Anlst II,Charlotte, NC
70,Allstate,2018-08-02,7 days ago,Diversified Insurance,Allstate Insurance Sales Representative,Houston, TX
71,Allstate,2018-08-06,3 days ago,Diversified Insurance,Multimedia Director-Allstate Benefits,Jacksonville, FL
72,Allstate,2018-08-08,1 day ago,Diversified Insurance,ATSV- Security Test Engineer,Charlotte, NC
73,Allstate,,,Diversified Insurance,Arity-Data Scientist-Cons II,Chicago, IL
74,Allstate,,,Diversified Insurance,Contact Center Associate,Lincoln, NE
75,Allstate,,,Diversified Insurance,Network Services Engineer,Charlotte, NC
76,Allstate,2018-07-23,17 days ago,Diversified Insurance,New Account Associate,Lincoln, NE
77,Allstate,2018-08-05,4 days ago,Diversified Insurance,"Legal Administrative Assistant, Chantilly VA",Chantilly, VA
78,Allstate,2018-07-26,14 days ago,Diversified Insurance,Allstate Agency Sales Rep (base & commission),Fort Wayne, IN
79,Allstate,2018-08-02,7 days ago,Diversified Insurance,Work from Home Allstate Sales Producer,Tulsa, OK
80,Allstate,2018-08-06,3 days ago,Diversified Insurance,Entry Level Inside Auto Total Loss Claims Adjuster,Bothell, WA
81,Allstate,2018-08-07,2 days ago,Diversified Insurance,Telemarketer/Admin Assistant - Allstate Agency Team Member,Fort Lauderdale, FL
82,Allstate,2018-07-28,12 days ago,Diversified Insurance,SAP Analyst 1,Irving, TX
83,Allstate,2018-07-15,25 days ago,Diversified Insurance,Virtual Learning Producer,Diamond Bar, CA
84,Allstate,2018-08-07,2 days ago,Diversified Insurance,Insurance Customer Relations Specialist,Algonquin, IL
85,Allstate,2018-07-23,17 days ago,Diversified Insurance,Inside Represented Casualty Adjuster,Suffern, NY
86,Allstate,,,Diversified Insurance,Direct Claims Consultant,Northbrook, IL
87,Allstate,,,Diversified Insurance,Territory Product Manager,Hauppauge, NY
88,Allstate,,,Diversified Insurance,Contract Analyst II - Product Operations,Chandler, AZ
89,Allstate,2018-07-21,19 days ago,Diversified Insurance,Encp-Operations-Sr Cons II,Northbrook, IL
90,Allstate,2018-08-06,3 days ago,Diversified Insurance,Rental Auto Adjuster,Chandler, AZ
91,Allstate,2018-07-23,17 days ago,Diversified Insurance,Business Insurance Specialist,Charlotte, NC
92,Allstate,2018-07-16,24 days ago,Diversified Insurance,Encompass Field Auto Adjuster,Philadelphia, PA
93,Allstate,2018-08-04,5 days ago,Diversified Insurance,Financial Controls Analyst - PF,Northbrook, IL
94,Allstate,2018-08-06,3 days ago,Diversified Insurance,Junior Quality Control Automation Analyst,Irving, TX
95,Allstate,2018-07-30,10 days ago,Diversified Insurance,Licensed Insurance Agent,Yuba City, CA
96,Allstate,2018-08-06,3 days ago,Diversified Insurance,Dir. External Affairs & Consumer Stakeholder & Engagement,Northbrook, IL
97,Allstate,2018-08-04,5 days ago,Diversified Insurance,Technical Solutions Consultant-Allstate Benefits,Jacksonville, FL
98,Allstate,2018-07-10,30+ days ago,Diversified Insurance,Customer Experience Rep,Naples, FL
99,Allstate,,,Diversified Insurance,Application Developer Sr Consultant,Irving, TX
100,Allstate,,,Diversified Insurance,Experienced Field Property Adjuster,Fredericksburg, VA
101,Allstate,,,Diversified Insurance,Technical Project Manager,Jacksonville, FL
102,Allstate,,,Diversified Insurance,UBI Product Intelligence Sr Consultant II,Northbrook, IL
103,Allstate,,,Diversified Insurance,Financial Specialist,New York, NY
