,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Altria Group,2018-08-02,7 hours ago,Tobacco,Associate Manager Political Outreach,Washington, DC
1,Altria Group,,,Tobacco,Flavorist,Richmond, VA
2,Altria Group,,,Tobacco,"Territory Sales Manager - Emporia, KS",Emporia, KS
3,Altria Group,,,Tobacco,Manager Policy Analysis & Legislative Research,Washington, DC
4,Altria Group,2018-07-21,19 days ago,Tobacco,Altria -Lab Computing Anaylst Project Backup,,
5,Altria Group,2018-07-27,13 days ago,Tobacco,Group Sales and Subscriptions Assistant,Richmond, VA
6,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
7,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
8,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
9,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
10,Altria Group,2018-07-10,30+ days ago,Tobacco,Budget & Forecast Analyst,Woodinville, WA
11,Altria Group,2018-07-10,30+ days ago,Tobacco,Anesthesiologist- Cardiac,Richmond, VA
12,Altria Group,,,Tobacco,Senior Scientist - Analytical Chemistry,Richmond, VA
13,Altria Group,,,Tobacco,Applied Statistician/Population Modeler,Richmond, VA
14,Altria Group,,,Tobacco,SAS Programmer,Richmond, VA
15,Altria Group,,,Tobacco,Flavorist,Richmond, VA
16,Altria Group,,,Tobacco,Senior Scientist - Analytical Chemistry,Richmond, VA
17,Altria Group,2018-07-21,19 days ago,Tobacco,Altria -Lab Computing Anaylst Project Backup,,
18,Altria Group,2018-07-27,13 days ago,Tobacco,Group Sales and Subscriptions Assistant,Richmond, VA
19,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
20,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
21,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
22,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
23,Altria Group,2018-07-10,30+ days ago,Tobacco,Budget & Forecast Analyst,Woodinville, WA
24,Altria Group,2018-07-10,30+ days ago,Tobacco,Anesthesiologist- Cardiac,Richmond, VA
25,Altria Group,2018-08-02,7 hours ago,Tobacco,Associate Manager Political Outreach,Washington, DC
26,Altria Group,,,Tobacco,"Territory Sales Manager - Emporia, KS",Emporia, KS
27,Altria Group,,,Tobacco,Manager Policy Analysis & Legislative Research,Washington, DC
28,Altria Group,2018-07-21,19 days ago,Tobacco,Altria -Lab Computing Anaylst Project Backup,,
29,Altria Group,2018-07-27,13 days ago,Tobacco,Group Sales and Subscriptions Assistant,Richmond, VA
30,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
31,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
32,Altria Group,2018-07-18,22 days ago,Tobacco,Strategy Director,Chicago, IL
33,Altria Group,2018-07-18,22 days ago,Tobacco,Senior Strategist,Chicago, IL
34,Altria Group,2018-07-10,30+ days ago,Tobacco,Budget & Forecast Analyst,Woodinville, WA
35,Altria Group,2018-07-10,30+ days ago,Tobacco,Anesthesiologist- Cardiac,Richmond, VA
36,Altria Group,2018-08-02,7 hours ago,Tobacco,Associate Manager Political Outreach,Washington, DC
37,Altria Group,,,Tobacco,Flavorist,Richmond, VA
38,Altria Group,,,Tobacco,Senior Scientist - Analytical Chemistry,Richmond, VA
