,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Amdocs,,,Software & Programming,Accounting Manager,Englewood, CO
1,Amdocs,,,Software & Programming,Senior Software Developer,Philadelphia, PA
2,Amdocs,,,Software & Programming,Sr. Web Operations Strategist,Chicago, IL
3,Amdocs,2018-07-18,22 days ago,Software & Programming,Amdocs Project Manager,Overland Park, KS
4,Amdocs,2018-07-22,18 hours ago,Software & Programming,Support Consultant / Analyst - AMDOCS | OSS/BSS,Philadelphia, PA
5,Amdocs,2018-08-08,1 day ago,Software & Programming,Project Manager with Amdocs,Overland Park, KS
6,Amdocs,2018-07-10,30+ days ago,Software & Programming,QA Tester,Philadelphia, PA
7,Amdocs,2018-08-08,1 day ago,Software & Programming,OSS/BSS Architect,Philadelphia, PA
8,Amdocs,2018-08-08,1 day ago,Software & Programming,Finance Ops Analyst,Philadelphia, PA
9,Amdocs,2018-07-10,30+ days ago,Software & Programming,"Affluent Service Professional, Greater Los Angeles",Monterey Park, CA
10,Amdocs,2018-08-08,1 day ago,Software & Programming,Project Manager,Overland Park, KS
11,Amdocs,2018-08-01,8 hours ago,Software & Programming,CPQ & Product Model Architect,San Francisco, CA
12,Amdocs,2018-08-03,6 days ago,Software & Programming,Mobile Production Support (Triage),Philadelphia, PA
13,Amdocs,,,Software & Programming,Web Operations Strategist,Chicago, IL
14,Amdocs,2018-08-04,5 hours ago,Software & Programming,Network solution engineer,Philadelphia, PA
15,Amdocs,2018-07-28,12 days ago,Software & Programming,Deployment Manager,Chicago, IL
16,Amdocs,2018-08-08,1 hour ago,Software & Programming,Systems Integrator III,Overland Park, KS
17,Amdocs,2018-07-14,26 days ago,Software & Programming,Sr. Program/Project Manager,Overland Park, KS
18,Amdocs,2018-07-10,30+ days ago,Software & Programming,OSS Expert,Philadelphia, PA
19,Amdocs,2018-07-21,19 days ago,Software & Programming,Technical Writer,Seattle, WA
20,Amdocs,2018-07-10,30+ days ago,Software & Programming,Business Analyst,Seattle, WA
21,Amdocs,2018-07-20,20 days ago,Software & Programming,Storage Systems Admin,Dallas, TX
22,Amdocs,2018-07-10,30+ days ago,Software & Programming,Consultant - US,Broomfield, CO
23,Amdocs,2018-08-08,1 day ago,Software & Programming,Program Manager,Overland Park, KS
24,Amdocs,2018-07-10,30+ days ago,Software & Programming,OSP Engineer,Dallas, TX
25,Amdocs,2018-07-10,30+ days ago,Software & Programming,PMI Lead,St. Louis, MO
26,Amdocs,2018-07-20,20 days ago,Software & Programming,AIX Systems Admin,Dallas, TX
27,Amdocs,2018-07-10,30+ days ago,Software & Programming,Director of Engineering,Denver, CO
28,Amdocs,2018-07-21,19 days ago,Software & Programming,Windows Technologies Team Lead,Chesterfield, MO
29,Amdocs,2018-07-19,21 days ago,Software & Programming,Head of Engineering,Denver, CO
30,Amdocs,2018-07-25,15 days ago,Software & Programming,"Engineer 3, OSS/BSS Operations",Philadelphia, PA
31,Amdocs,2018-07-10,30+ days ago,Software & Programming,Commercial Transactions Counsel,,
32,Amdocs,2018-07-10,30 days ago,Software & Programming,Software Engineer,Kansas City, KS
33,Amdocs,2018-07-10,30+ days ago,Software & Programming,Business Consulting Partner,Los Angeles, CA
34,Amdocs,2018-07-10,30+ days ago,Software & Programming,Regional Field Marketing Professional - Telco Market Segment,Dallas, TX
35,Amdocs,2018-07-11,29 days ago,Software & Programming,IT Manager,Englewood, CO
36,Amdocs,2018-08-01,8 days ago,Software & Programming,"Senior Manager, MVNO",Denver, CO
37,Amdocs,2018-07-10,30+ days ago,Software & Programming,Accounting Manager,Englewood, CO
38,Amdocs,2018-07-12,28 days ago,Software & Programming,Solution Integration & Implementation Manager,Philadelphia, PA
39,Amdocs,2018-07-21,19 days ago,Software & Programming,Solution Designer,Bellevue, WA
40,Amdocs,2018-07-10,30+ days ago,Software & Programming,Web Operations Strategist,Chicago, IL
41,Amdocs,2018-07-10,30+ days ago,Software & Programming,Technical Project Manager,Philadelphia, PA
42,Amdocs,2018-08-08,1 day ago,Software & Programming,Project Manager,Overland Park, KS
43,Amdocs,2018-07-10,30+ days ago,Software & Programming,Vindicia Sales Director - West Coast,,
44,Amdocs,2018-07-10,30+ days ago,Software & Programming,Hadoop Admin,Dallas, TX
45,Amdocs,2018-07-10,30+ days ago,Software & Programming,Manager of Compensation and Benefits,St. Louis, MO
46,Amdocs,2018-07-26,14 days ago,Software & Programming,Technology Engineer,Atlanta, GA
47,Amdocs,2018-07-12,28 days ago,Software & Programming,Data Warehouse Architect,,
48,Amdocs,2018-07-25,15 days ago,Software & Programming,Senior Analyst/Developer,Englewood, CO
49,Amdocs,2018-07-25,15 days ago,Software & Programming,"Alliances, Channel & Partner Sales Director",Alpharetta, GA
50,Amdocs,2018-07-19,21 days ago,Software & Programming,Software Engineering Team Lead,Kansas City, KS
51,Amdocs,2018-07-10,30+ days ago,Software & Programming,Technical Project Manager,Seattle, WA
52,Amdocs,2018-08-08,1 day ago,Software & Programming,OSS/BSS Architect,Philadelphia, PA
53,Amdocs,2018-07-10,30+ days ago,Software & Programming,Programmer Analyst III,Beverly, MA
54,Amdocs,2018-07-10,30+ days ago,Software & Programming,Network OSS Solution Designer - SDWAN,Bishops, NJ
55,Amdocs,2018-08-03,6 days ago,Software & Programming,Software Engineering Specialist,Richardson, TX
56,Amdocs,2018-07-10,30+ days ago,Software & Programming,Lead Software Support,St. Louis, MO
57,Amdocs,2018-07-10,30+ days ago,Software & Programming,Senior Project Manager,,
58,Amdocs,2018-07-13,27 days ago,Software & Programming,Information Security Specialist/Manager,Champaign, IL
59,Amdocs,2018-07-10,30+ days ago,Software & Programming,Sr. Web Operations Strategist,Chicago, IL
60,Amdocs,2018-07-10,30+ days ago,Software & Programming,Technical Architect,,
61,Amdocs,2018-07-18,22 days ago,Software & Programming,Technical Product Owner,Herndon, VA
62,Amdocs,2018-08-01,8 days ago,Software & Programming,Senior Product Manager –PRM,Cupertino, CA
63,Amdocs,2018-07-11,29 days ago,Software & Programming,Principal RF Engineer,Herndon, VA
64,Amdocs,2018-07-10,30+ days ago,Software & Programming,Solution Architect,Irving, TX
