,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Ameren,2018-08-08,1 day ago,Electric Utilities,Operations Support Rep,Belleville, IL
1,Ameren,2018-07-10,30+ days ago,Electric Utilities,Communications Tech 1st 6 Mos,Macomb, IL
2,Ameren,2018-07-19,21 days ago,Electric Utilities,"Lineman **$20,000 Sign On Bonus",Alton, IL
3,Ameren,2018-07-10,30+ days ago,Electric Utilities,Journey Line Worker,Excelsior Springs, MO
4,Ameren,2018-07-10,30+ days ago,Electric Utilities,Shift Suprvisor I,Labadie, MO
5,Ameren,2018-08-05,4 days ago,Electric Utilities,"Lineman Journeyman **$10,000 Sign On Bonus",Bloomington, IL
6,Ameren,2018-07-28,12 days ago,Electric Utilities,Supervisor Electric Operations,Galesburg, IL
7,Ameren,2018-07-10,30+ days ago,Electric Utilities,Radiation Protection Tech Support Associate,Fulton, MO
8,Ameren,2018-07-14,26 days ago,Electric Utilities,"Jrnyman Line/Troubleman $10,000 Bonus",Peoria, IL
9,Ameren,2018-08-01,8 days ago,Electric Utilities,Inv. Specialist/Assit. Buyer,St. Louis, MO
10,Ameren,2018-07-10,30+ days ago,Electric Utilities,Communications Technician,Moberly, MO
11,Ameren,2018-08-05,4 days ago,Electric Utilities,Lineman,St. Louis, MO
12,Ameren,2018-08-02,7 days ago,Electric Utilities,Journeyman Lineman,Macomb, IL
13,Ameren,2018-08-03,6 days ago,Electric Utilities,Engineer,Collinsville, IL
14,Ameren,2018-07-10,30+ days ago,Electric Utilities,Garage Technician,Bloomington, IL
15,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior Stenographer - Fleet Services,St. Louis, MO
16,Ameren,2018-07-10,30+ days ago,Electric Utilities,Communications Executive,St. Louis, MO
17,Ameren,2018-07-27,13 days ago,Electric Utilities,Supply Chain Analyst,St. Louis, MO
18,Ameren,2018-07-28,12 days ago,Electric Utilities,Sr Training Supervisor,,
19,Ameren,2018-08-08,1 day ago,Electric Utilities,Auditor I,St. Louis, MO
20,Ameren,2018-07-10,30+ days ago,Electric Utilities,Line Troubleman,St. Louis, MO
21,Ameren,2018-07-10,30+ days ago,Electric Utilities,Shift Supervisor I,Festus, MO
22,Ameren,2018-07-10,30+ days ago,Electric Utilities,Electrical Repairman,Labadie, MO
23,Ameren,2018-07-10,30+ days ago,Electric Utilities,Lineman Journeyman,Sparta, IL
24,Ameren,2018-07-10,30+ days ago,Electric Utilities,Leadership and Organization Effectiveness Consultant,St. Louis, MO
25,Ameren,2018-08-07,2 days ago,Electric Utilities,HR Analytics Consultant - Workforce Planning,St. Louis, MO
26,Ameren,2018-07-10,30+ days ago,Electric Utilities,Information Manager I,St. Louis, MO
27,Ameren,2018-07-21,19 days ago,Electric Utilities,Applications Development Specialist (RPA),St. Louis, MO
28,Ameren,2018-07-10,30+ days ago,Electric Utilities,Gas Compliance Engineer,Pawnee, IL
29,Ameren,2018-07-10,30+ days ago,Electric Utilities,Lineman **Transmission,Maryland Heights, MO
30,Ameren,2018-08-03,6 days ago,Electric Utilities,Electrical Engineer,Peoria, IL
31,Ameren,2018-07-14,26 days ago,Electric Utilities,Recruiter (IT),St. Louis, MO
32,Ameren,2018-07-10,30+ days ago,Electric Utilities,Line Foreman Over 3 Men,Mattoon, IL
33,Ameren,2018-07-10,30+ days ago,Electric Utilities,Gas / Pipeline Engineer,Decatur, IL
34,Ameren,2018-08-03,6 days ago,Electric Utilities,Civil/Structural Designer I,St. Louis, MO
35,Ameren,2018-07-10,30+ days ago,Electric Utilities,Continuous Improvement Engagement Manager,St. Louis, MO
36,Ameren,2018-07-10,30+ days ago,Electric Utilities,Risk Management Analyst,St. Louis, MO
37,Ameren,2018-07-13,27 days ago,Electric Utilities,Gas Engineer,Decatur, IL
38,Ameren,2018-07-10,30+ days ago,Electric Utilities,Energy Services Consultant,St. Louis, MO
39,Ameren,2018-07-10,30+ days ago,Electric Utilities,Engineer- Decatur or Peoria,,
40,Ameren,2018-07-10,30+ days ago,Electric Utilities,Training Supervisor - Operations,Sunset Hills, MO
41,Ameren,2018-07-12,28 days ago,Electric Utilities,Applications Development Specialist II,St. Louis, MO
42,Ameren,2018-07-10,30+ days ago,Electric Utilities,Data Scientist,Urbana, IL
43,Ameren,2018-07-10,30+ days ago,Electric Utilities,Journeyman Lineman (MULTIPLE LOCATIONS),St. Louis, MO
44,Ameren,2018-07-31,9 days ago,Electric Utilities,Supervisor Valuation,St. Louis, MO
45,Ameren,2018-07-10,30+ days ago,Electric Utilities,HR Analytics Consultant,St. Louis, MO
46,Ameren,2018-08-01,8 days ago,Electric Utilities,Infrastructure Specialist I (Metering Application Services),St. Louis, MO
47,Ameren,2018-07-10,30+ days ago,Electric Utilities,"IT Programmer Analyst * (Entry Level/Jr/Senior developers)(C# .Net, JAVA, Oracle, PlSql, Mule//ESB,",St. Louis, MO
48,Ameren,2018-07-31,9 days ago,Electric Utilities,Infrastructure Specialist (Middleware),St. Louis, MO
49,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Manager, HR Technology & Data Insights",St. Louis, MO
50,Ameren,2018-07-19,21 days ago,Electric Utilities,Digital Insights Manager,St. Louis, MO
51,Ameren,2018-07-20,20 days ago,Electric Utilities,"Supervisor, Distribution Services",St. Louis, MO
52,Ameren,2018-07-10,30+ days ago,Electric Utilities,Engineer (Connection Agreements),St. Louis, MO
53,Ameren,2018-07-27,13 days ago,Electric Utilities,Transmission Construction Engineer,,
54,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Manager, Technology Communications",St. Louis, MO
55,Ameren,2018-07-26,14 days ago,Electric Utilities,Supv Planning/Maintenance - Certified Repairman,Labadie, MO
56,Ameren,2018-07-10,30+ days ago,Electric Utilities,Building Service Mechanic,St. Louis, MO
57,Ameren,2018-07-10,30+ days ago,Electric Utilities,Electrification Energy Efficiency Solutions Manager,St. Louis, MO
58,Ameren,2018-07-20,20 days ago,Electric Utilities,Turbine Engineer (Electrical),St. Louis, MO
59,Ameren,2018-07-14,26 days ago,Electric Utilities,Network Engineer,St. Louis, MO
60,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Manager, Data Governance",St. Louis, MO
61,Ameren,2018-07-18,22 days ago,Electric Utilities,Engineer (Underground),St. Louis, MO
62,Ameren,2018-07-11,29 days ago,Electric Utilities,Applications Dev Spec III,St. Louis, MO
63,Ameren,2018-07-18,22 days ago,Electric Utilities,IT Auditor II,St. Louis, MO
64,Ameren,2018-07-10,30+ days ago,Electric Utilities,Contract Administrator (IT & Professional Services),St. Louis, MO
65,Ameren,2018-08-06,3 days ago,Electric Utilities,System Protection Engineer,St. Louis, MO
66,Ameren,2018-07-13,27 days ago,Electric Utilities,Enterprise Integration Developer,St. Louis, MO
67,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Operations Supervisor, Transmission",St. Louis, MO
68,Ameren,2018-07-10,30+ days ago,Electric Utilities,Training Supervisor - Maintenance,Sunset Hills, MO
69,Ameren,2018-07-10,30+ days ago,Electric Utilities,Distribution Planning Engineer,St. Louis, MO
70,Ameren,2018-07-10,30+ days ago,Electric Utilities,Data Analytics Consultant,St. Louis, MO
71,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Manager, Dam Safety & Hydro Licensing",Sunset Hills, MO
72,Ameren,2018-07-10,30+ days ago,Electric Utilities,Distributed Energy Resource Solutions Manager,St. Louis, MO
73,Ameren,2018-07-10,30+ days ago,Electric Utilities,Supervisor IT Infrastructure,St. Louis, MO
74,Ameren,2018-07-10,30+ days ago,Electric Utilities,Transmission Planning Engineer,St. Louis, MO
75,Ameren,2018-07-10,30+ days ago,Electric Utilities,Asset Management & Sensors Solutions Manager,St. Louis, MO
76,Ameren,2018-07-10,30+ days ago,Electric Utilities,Applications Development Specialist (GIS),Sunset Hills, MO
77,Ameren,2018-07-25,15 days ago,Electric Utilities,Business Analyst III(Finance),St. Louis, MO
78,Ameren,2018-07-10,30+ days ago,Electric Utilities,Substation Design Engineer,St. Louis, MO
79,Ameren,2018-07-10,30+ days ago,Electric Utilities,Occupational Health Nurse,St. Louis, MO
80,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Infrastructure Specialist (Cloud, virtualization)",St. Louis, MO
81,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior IT Auditor,St. Louis, MO
82,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior Java Developer,St. Louis, MO
83,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior Financial Specialist (Corporate Financial Reporting),St. Louis, MO
84,Ameren,2018-07-10,30+ days ago,Electric Utilities,Cloud Engineering Specialist,St. Louis, MO
85,Ameren,2018-07-10,30+ days ago,Electric Utilities,Asset Management & Sensors Solutions Manager,St. Louis, MO
86,Ameren,2018-07-10,30+ days ago,Electric Utilities,Applications Development Specialist (GIS),Sunset Hills, MO
87,Ameren,2018-07-25,15 days ago,Electric Utilities,Business Analyst III(Finance),St. Louis, MO
88,Ameren,2018-07-10,30+ days ago,Electric Utilities,Substation Design Engineer,St. Louis, MO
89,Ameren,2018-07-10,30+ days ago,Electric Utilities,Occupational Health Nurse,St. Louis, MO
90,Ameren,2018-07-10,30+ days ago,Electric Utilities,"Infrastructure Specialist (Cloud, virtualization)",St. Louis, MO
91,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior IT Auditor,St. Louis, MO
92,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior Java Developer,St. Louis, MO
93,Ameren,2018-07-10,30+ days ago,Electric Utilities,Senior Financial Specialist (Corporate Financial Reporting),St. Louis, MO
94,Ameren,2018-07-10,30+ days ago,Electric Utilities,Cloud Engineering Specialist,St. Louis, MO
