,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,American Airlines Group,2018-07-24,16 hours ago,Airline,Customer Service Agent (Part Time) MHT-CSAPT-20180808,Manchester, NH
1,American Airlines Group,2018-07-22,18 hours ago,Airline,Customer Service Agent MHT-CSAFT-20180808,Manchester, NH
2,American Airlines Group,,,Airline,"Manager, Customer Research",Fort Worth, TX
3,American Airlines Group,2018-07-29,11 hours ago,Airline,Agent – Station Agent (Airport Customer Service & Ramp),Bentonville, AR
4,American Airlines Group,2018-07-10,30+ days ago,Airline,Flight Attendant,Salt Lake City, UT
5,American Airlines Group,2018-08-07,2 days ago,Airline,Customer Service Agent (Part Time) EWN -CSAPT-20180806,New Bern, NC
6,American Airlines Group,2018-07-22,18 hours ago,Airline,Customer Service Agent MHT-CSAFT-20180808,Manchester, NH
7,American Airlines Group,2018-07-24,16 hours ago,Airline,Customer Service Agent (Part Time) MHT-CSAPT-20180808,Manchester, NH
8,American Airlines Group,2018-07-27,13 days ago,Airline,"Flight Attendant (DFW, IAD, IAH, PHX, and SDF)",Houston, TX
9,American Airlines Group,2018-07-29,11 hours ago,Airline,Support Services Representative,Miami, FL
10,American Airlines Group,2018-08-04,5 days ago,Airline,Customer Service Agent -- Part Time ORH-CSACTPT-20180801,Worcester, MA
11,American Airlines Group,2018-08-04,5 days ago,Airline,Ramp Agent (Part Time) - TYS - RMPPT-20180803,Alcoa, TN
12,American Airlines Group,2018-07-29,11 hours ago,Airline,Crew Scheduler,Irving, TX
13,American Airlines Group,,,Airline,"Mechanic, Airframe & Powerplant (A&P)",Abilene, TX
14,American Airlines Group,,,Airline,"Developer/Senior Developer, IT Applications",Fort Worth, TX
15,American Airlines Group,2018-07-19,21 days ago,Airline,Ramp Agent (Part Time) SDF-RMPPT-20180717,Louisville, KY
16,American Airlines Group,2018-07-10,30+ days ago,Airline,Airline Customer Service Manager - BTV - SMFT-20180705,South Burlington, VT
17,American Airlines Group,2018-07-28,12 days ago,Airline,Crew Scheduler,Indianapolis, IN
18,American Airlines Group,2018-07-18,22 days ago,Airline,Agent - Passenger Service,Dallas-Fort Worth, TX
19,American Airlines Group,2018-07-10,30+ days ago,Airline,Ramp Agent ILM-RMPPT-20180622,Wilmington, NC
20,American Airlines Group,2018-07-18,22 days ago,Airline,Travel Coordinator,Culver City, CA
21,American Airlines Group,2018-07-10,30+ days ago,Airline,Flight Attendant,Dallas-Fort Worth, TX
22,American Airlines Group,2018-07-21,19 days ago,Airline,Fleet Service Clerk,Chicago, IL
23,American Airlines Group,2018-08-05,4 days ago,Airline,Airport Food Delivery Driver - No CDL Required - No Over the Road!,Washington, DC
24,American Airlines Group,2018-07-29,11 hours ago,Airline,Agent - Cabin Appearance,Indianapolis, IN
25,American Airlines Group,,,Airline,Crew Scheduler,Indianapolis, IN
26,American Airlines Group,2018-07-27,13 days ago,Airline,Maintenance Administrative Specialist,Pensacola, FL
27,American Airlines Group,2018-08-04,5 hours ago,Airline,Agent - Lead Station Agent (Airport Customer Service & Ramp),Texarkana, TX
28,American Airlines Group,2018-07-10,30+ days ago,Airline,Flight Attendant-SEA,Seattle, WA
29,American Airlines Group,2018-07-25,15 hours ago,Airline,Admin/Event Coordinator,Tampa, FL
30,American Airlines Group,2018-07-27,13 days ago,Airline,Ramp Agent (Part Time) MCI-RMPPT-20180723,Kansas City, MO
31,American Airlines Group,2018-07-24,16 hours ago,Airline,Ramp Agent MHT-RMPFT-20180808,Manchester, NH
32,American Airlines Group,2018-07-18,22 days ago,Airline,"Clerk, Attendance",Irving, TX
33,American Airlines Group,2018-08-03,6 days ago,Airline,"Shift Manager, Passenger/Customer Service",Chicago, IL
34,American Airlines Group,2018-08-05,4 days ago,Airline,"Manager, Customer Support, Central",Denver, CO
35,American Airlines Group,2018-07-31,9 days ago,Airline,PT Travel Coordinator,El Segundo, CA
36,American Airlines Group,2018-07-28,12 days ago,Airline,"Scheduler, Crewmember Support",Indianapolis, IN
37,American Airlines Group,2018-07-27,13 days ago,Airline,Premium Concierge– Part Time/Event Staff,Miami, FL
38,American Airlines Group,2018-07-28,12 days ago,Airline,Material Specialist,Indianapolis, IN
39,American Airlines Group,2018-07-29,11 hours ago,Airline,"Consultant, People Services",Irving, TX
40,American Airlines Group,2018-07-28,12 days ago,Airline,Coordinator Corporate Communications,Saint George, UT
41,American Airlines Group,2018-08-02,7 days ago,Airline,General Manager (Airport Operations),Madison, WI
42,American Airlines Group,2018-07-29,11 hours ago,Airline,"Specialist, Inventory Control",Abilene, TX
43,American Airlines Group,2018-07-28,12 hours ago,Airline,Maintenance Programs Specialist,Minneapolis, MN
44,American Airlines Group,2018-07-14,26 days ago,Airline,Personal Guest Relations (M/F),East Meadow, NY
45,American Airlines Group,2018-07-23,17 days ago,Airline,Engineers I - IV,Rancho Cucamonga, CA
46,American Airlines Group,2018-07-21,19 days ago,Airline,Sales Executive - Airline Services,Huntington Beach, CA
47,American Airlines Group,2018-08-07,2 days ago,Airline,"Specialist/Senior Specialist, Accounts Payable",Miami, FL
48,American Airlines Group,2018-07-28,12 days ago,Airline,LIFT Academy - Office Coordinator,Indianapolis, IN
49,American Airlines Group,2018-07-28,12 days ago,Airline,Auditor of Records,Indianapolis, IN
50,American Airlines Group,2018-07-18,22 days ago,Airline,Intern - Safety Department,Phoenix, AZ
51,American Airlines Group,2018-07-28,12 days ago,Airline,Flight Training Assistant,Indianapolis, IN
52,American Airlines Group,2018-08-08,1 day ago,Airline,EXECUTIVE OFFICE SPECIALIST,Mount Pleasant, MI
53,American Airlines Group,2018-08-04,5 days ago,Airline,Crew Pay Analyst,Vandalia, OH
54,American Airlines Group,2018-08-04,5 days ago,Airline,Public Service Representative with Language,East Boston, MA
55,American Airlines Group,2018-08-05,4 days ago,Airline,Airline Food & Beverage Equipment Assembler,Washington, DC
56,American Airlines Group,2018-07-10,30+ days ago,Airline,"Clerk, Ground Service Equipment (GSE)",Chicago, IL
57,American Airlines Group,2018-08-07,2 days ago,Airline,Human Resources Liaison Driver,Bethel, AK
58,American Airlines Group,2018-07-28,12 days ago,Airline,Production Controller,Indianapolis, IN
59,American Airlines Group,2018-07-10,30+ days ago,Airline,Sanitation Worker,Romulus, MI
60,American Airlines Group,2018-07-25,15 days ago,Airline,"Supervisor, Airport Services",Hebron, KY
61,American Airlines Group,2018-07-28,12 days ago,Airline,"Material Specialist - New York, NY / LGA",,
62,American Airlines Group,2018-07-10,30+ days ago,Airline,Supply Chain Operations Clerk,Jacksonville, FL
63,American Airlines Group,2018-08-02,7 days ago,Airline,Field Logistics Associate II (Loaner Services),Memphis, TN
64,American Airlines Group,2018-08-03,6 days ago,Airline,Animal Caretaker,Miami, FL
65,American Airlines Group,2018-08-01,8 days ago,Airline,Temporary Worker,Abilene, TX
66,American Airlines Group,2018-08-07,2 days ago,Airline,Talent Acquisition Administrator,Indianapolis, IN
67,American Airlines Group,2018-07-29,11 hours ago,Airline,Legal Assistant,Fort Worth, TX
68,American Airlines Group,2018-07-29,11 hours ago,Airline,"Shift Manager, Support Services",Miami, FL
69,American Airlines Group,2018-08-05,4 days ago,Airline,BWI - Airline Food & Beverage Equipment Assembler,Baltimore, MD
70,American Airlines Group,2018-07-29,11 hours ago,Airline,"Staff Assistant, Chief Pilot Office",Flushing, NY
71,American Airlines Group,2018-07-20,20 hours ago,Airline,Flight Training Coordinator,Indianapolis, IN
72,American Airlines Group,2018-07-28,12 days ago,Airline,Composite Technician,Columbus, OH
73,American Airlines Group,2018-08-02,7 days ago,Airline,Program Associate,Washington, DC
74,American Airlines Group,2018-07-27,13 days ago,Airline,Operational Resource Coordinator,Appleton, WI
75,American Airlines Group,2018-07-21,19 hours ago,Airline,Barista,Baton Rouge, LA
76,American Airlines Group,2018-07-10,30+ days ago,Airline,LSG Sky Chefs Positions Available,Burlingame, CA
77,American Airlines Group,2018-08-03,6 days ago,Airline,First Officer,,
78,American Airlines Group,2018-07-27,13 days ago,Airline,AOG Controller,Phoenix, AZ
79,American Airlines Group,2018-08-08,1 day ago,Airline,Distribution Center Supervisor,Bloomfield, CT
80,American Airlines Group,2018-08-04,5 hours ago,Airline,Talent Scout,Irving, TX
81,American Airlines Group,2018-07-29,11 hours ago,Airline,"Supervisor, Support Services",Miami, FL
82,American Airlines Group,2018-07-11,29 days ago,Airline,Crew Member,Boston, MA
83,American Airlines Group,2018-07-28,12 days ago,Airline,Human Resources Business Partner,Indianapolis, IN
84,American Airlines Group,2018-07-10,30+ days ago,Airline,Part Time Travel Coordinator,El Segundo, CA
85,American Airlines Group,2018-08-08,1 hour ago,Airline,D/C Supervisor-Evansville,Evansville, IN
86,American Airlines Group,2018-07-23,17 days ago,Airline,Engineers I - IV,Rancho Cucamonga, CA
87,American Airlines Group,2018-07-28,12 days ago,Airline,Financial Analyst,Indianapolis, IN
88,American Airlines Group,2018-07-28,12 days ago,Airline,IT Technical Support Analyst,Indianapolis, IN
89,American Airlines Group,2018-07-10,30+ days ago,Airline,Admin Assistant,Garden City, NY
90,American Airlines Group,2018-07-10,30+ days ago,Airline,Shipping and Receiving Clerk,Bloomington, MN
91,American Airlines Group,2018-08-05,4 days ago,Airline,Supply Chain Operations Specialist III,Eagan, MN
92,American Airlines Group,2018-07-28,12 days ago,Airline,Heavy Maintenance Material Coordinator,Nashville, TN
93,American Airlines Group,2018-08-04,5 days ago,Airline,Guest Service Agent,Fort Worth, TX
94,American Airlines Group,2018-07-29,11 hours ago,Airline,"Managing Director, Support Services",Miami, FL
95,American Airlines Group,2018-08-03,6 days ago,Airline,Busser - Maria & Enzo'a Ristorante,Orlando, FL
96,American Airlines Group,2018-07-28,12 days ago,Airline,Airline Maintenance Controller,Indianapolis, IN
97,American Airlines Group,2018-08-01,8 days ago,Airline,Natural Resource Manager I,Juneau, AK
98,American Airlines Group,2018-07-10,30+ days ago,Airline,Food Preparer,Romulus, MI
99,American Airlines Group,2018-08-03,6 days ago,Airline,Administrative Support Associate - Advanced,Greenville, NC
100,American Airlines Group,2018-08-08,1 day ago,Airline,Company Driver,Denton, TX
101,American Airlines Group,2018-07-12,28 days ago,Airline,Airline Dispatch Coordinator,Vandalia, OH
102,American Airlines Group,2018-07-28,12 days ago,Airline,"Analyst, Operations Analytics",Honolulu, HI
103,American Airlines Group,2018-07-28,12 days ago,Airline,Operations Analyst,Indianapolis, IN
104,American Airlines Group,2018-08-05,4 hours ago,Airline,Business Development Consultant,,
105,American Airlines Group,2018-07-28,12 days ago,Airline,LIFT Academy - Admissions Recruiter,Indianapolis, IN
106,American Airlines Group,2018-07-19,21 days ago,Airline,Support Services-Floater Agent,Los Angeles, CA
107,American Airlines Group,2018-07-17,23 hours ago,Airline,Leisure Account Executive (Los Angeles),Los Angeles, CA
108,American Airlines Group,2018-08-04,5 days ago,Airline,Coffee Break Attendant,Fort Worth, TX
109,American Airlines Group,2018-07-24,16 days ago,Airline,6-12 month contract - SEO Strategist,Boston, MA
110,American Airlines Group,2018-07-10,30+ days ago,Airline,Intern (m/f) in Corporate Communications – Project Management Support,East Meadow, NY
111,American Airlines Group,2018-07-10,30+ days ago,Airline,Reliability Analyst,Minneapolis, MN
112,American Airlines Group,2018-07-10,30+ days ago,Airline,Inflight Electronic Support Specialist,Charlotte, NC
113,American Airlines Group,2018-07-10,30+ days ago,Airline,Flight Dispatch Supervisor,Minneapolis, MN
114,American Airlines Group,2018-07-10,30+ days ago,Airline,Customer Success Manager,San Francisco, CA
115,American Airlines Group,2018-07-10,30+ days ago,Airline,Director of Customer Success,San Francisco, CA
116,American Airlines Group,2018-07-10,30+ days ago,Airline,"Manager, Technical Publications",Honolulu, HI
117,American Airlines Group,2018-07-25,15 days ago,Airline,Franchise Business Leader (FBL),Toledo, OH
118,American Airlines Group,2018-07-16,24 days ago,Airline,Customer Service Coordinator I (Japanese/English bilingual),Houston, TX
119,American Airlines Group,2018-07-28,12 days ago,Airline,"Manager, FP&A",Indianapolis, IN
