,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,American Electric,,,Electric Utilities,Executive Assistant,Redwood Valley, CA
1,American Electric,,,Electric Utilities,Level II Field Service Technician,Morgan Hill, CA
2,American Electric,,,Electric Utilities,Warehouse Order Selector,Baraboo, WI
3,American Electric,,,Electric Utilities,Telecommunications Technician - Twin Cities,Little Canada, MN
4,American Electric,2018-07-30,10 hours ago,Electric Utilities,Construction Laborer/Helper,Tupelo, MS
5,American Electric,2018-08-01,8 days ago,Electric Utilities,Meter Reader,Carmel, IN
6,American Electric,2018-08-03,6 days ago,Electric Utilities,Electric Instrumentation Technician - American Canyon,American Canyon, CA
7,American Electric,2018-07-10,30+ days ago,Electric Utilities,Electric Lineman/Linewoman,Lodi, CA
8,American Electric,2018-07-28,12 hours ago,Electric Utilities,Hardcooked Lineworker (1st Shift; 5:30 AM - 2PM),Gaylord, MN
9,American Electric,2018-08-04,5 days ago,Electric Utilities,Executive Assistant,Redwood Valley, CA
10,American Electric,2018-08-02,7 hours ago,Electric Utilities,Trailer Builder/ Assembler - 1st Shift,Wayne, NE
11,American Electric,2018-08-08,1 day ago,Electric Utilities,Electric Pallet Rider / Warehouse Worker - 1st Shift,Rialto, CA
12,American Electric,2018-08-07,2 days ago,Electric Utilities,Material Handler/Loader - Order Builder,Laurel, MS
13,American Electric,2018-08-07,2 days ago,Electric Utilities,"Railroad Train Crew - Kingsport, TN",Kingsport, TN
14,American Electric,,,Electric Utilities,California Sales Manager,Los Angeles, CA
15,American Electric,,,Electric Utilities,Field Service Technician,Minneapolis-Saint Paul, MN
16,American Electric,,,Electric Utilities,Truck Driver,San Francisco, CA
17,American Electric,,,Electric Utilities,Electrical Engineer,,
18,American Electric,2018-08-07,2 days ago,Electric Utilities,"Trailer Builder/Assembler, Starting Rate: $13.00/hour (Monday-Thursday, 10 hours/day Work Schedule)",Elysburg, PA
19,American Electric,2018-08-07,2 days ago,Electric Utilities,Office Assistant,Springfield, MO
20,American Electric,2018-07-14,26 days ago,Electric Utilities,Warehouse Order Selector - $500 Sign on Bonus,Fremont, CA
21,American Electric,2018-08-03,6 days ago,Electric Utilities,General Laborer,San Jose, CA
22,American Electric,2018-08-04,5 days ago,Electric Utilities,Groundman/Apprentice Lineman I-Burleson,Burleson, TX
23,American Electric,2018-07-18,22 hours ago,Electric Utilities,OMLP Program Associate,,
24,American Electric,2018-07-28,12 days ago,Electric Utilities,"Planner/Coordinator (Closes at 11:59 pm August 14, 2018)",Wenatchee, WA
