,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,American Financial Group,,,Diversified Insurance,Financial Advisor,La Jolla, CA
1,American Financial Group,2018-07-30,10 hours ago,Diversified Insurance,Customer Service Representative,Tempe, AZ
2,American Financial Group,,,Diversified Insurance,Motor Carriers Wanted - Home Delivery and Assembly,Oak Creek, WI
3,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Financial Representative,Virginia Beach, VA
4,American Financial Group,2018-07-27,13 hours ago,Diversified Insurance,Help Wanted,Philadelphia, PA
5,American Financial Group,2018-07-16,24 days ago,Diversified Insurance,Unlicensed Customer Service Assoc.,Charlotte, NC
6,American Financial Group,2018-07-24,16 days ago,Diversified Insurance,"Financial Analyst I, SCPR #106-19",Pasadena, CA
7,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Administrative Support Assistant (OA),Anniston, AL
8,American Financial Group,2018-07-30,10 hours ago,Diversified Insurance,Customer Service Representative,Tempe, AZ
9,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Customer Service Representative (Healthcare / DME),Las Vegas, NV
10,American Financial Group,2018-07-21,19 days ago,Diversified Insurance,Customer Service Representative,Eden Prairie, MN
11,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Personnel Assistant I,,
12,American Financial Group,2018-07-19,21 hours ago,Diversified Insurance,Program Assistant II (Financial Services),Denver, CO
13,American Financial Group,,,Diversified Insurance,Financial Advisor,Chico, CA
14,American Financial Group,,,Diversified Insurance,金融服務銷售_Financial Service Associate,Houston, TX
15,American Financial Group,,,Diversified Insurance,Senior Accountant,Carlsbad, CA
16,American Financial Group,2018-07-23,17 hours ago,Diversified Insurance,Payroll Specialist,Edina, MN
17,American Financial Group,2018-07-27,13 hours ago,Diversified Insurance,College Advisor,Los Angeles, CA
18,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Financial Analyst,Burbank, CA
19,American Financial Group,2018-08-02,7 days ago,Diversified Insurance,Financial Analyst,Denver, CO
20,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Finance & Accounting Admin,Victor, NY
21,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Entry Level Account Representative,Longview, TX
22,American Financial Group,2018-07-19,21 days ago,Diversified Insurance,Director of Accounts Payable,Independence, OH
23,American Financial Group,2018-08-04,5 days ago,Diversified Insurance,Financial Service Professional-Client Chat,Phoenix, AZ
24,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Staff Services Analyst I/II,Redding, CA
25,American Financial Group,2018-07-24,16 hours ago,Diversified Insurance,Accounting Internship,Dallas, TX
26,American Financial Group,2018-08-03,6 days ago,Diversified Insurance,Healthcare Eligibility Coordinator,Ontario, CA
27,American Financial Group,,,Diversified Insurance,Senior Associate,Dallas, TX
28,American Financial Group,,,Diversified Insurance,Customer Service Contact Center Rep,Amarillo, TX
29,American Financial Group,,,Diversified Insurance,Financial Representative,Lake Charles, LA
30,American Financial Group,,,Diversified Insurance,"Financial Service Center Representative "" Call Center or Financial Services Industry Experience a PLUS!""",San Diego, CA
31,American Financial Group,,,Diversified Insurance,Adminstrative Assistant to Financial Advisor - Previous Experience Supporting Advisor(s) Highly Preferred!,San Diego, CA
32,American Financial Group,2018-07-31,9 days ago,Diversified Insurance,UTILITY FINANCIAL ANALYST,Anchorage, AK
33,American Financial Group,2018-08-01,8 days ago,Diversified Insurance,Customer Service Representative,Rancho Santa Fe, CA
34,American Financial Group,2018-07-26,14 days ago,Diversified Insurance,Finance / Accounting Manager (Remote Available),Manhattan, NY
35,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Executive Assistant,Saint Paul, MN
36,American Financial Group,2018-07-16,24 days ago,Diversified Insurance,Healthcare Call Center Assoc ($250 Sign-on External),Irvine, CA
37,American Financial Group,2018-07-24,16 days ago,Diversified Insurance,Customer Service Contact Center Rep,Amarillo, TX
38,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Financial Administrator 1 - Department of Athletics,Cincinnati, OH
39,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Customer Service Representative - Walmart,Louisville, KY
40,American Financial Group,2018-07-25,15 hours ago,Diversified Insurance,Accounting Clerk 1,Oakland, CA
41,American Financial Group,2018-08-04,5 days ago,Diversified Insurance,Data Entry Specialist,Washington, DC
42,American Financial Group,,,Diversified Insurance,Financial Analyst,Boston, MA
43,American Financial Group,,,Diversified Insurance,Maintenance Manager,Lincoln, NE
44,American Financial Group,,,Diversified Insurance,Vice President of Traditional (Forward) Mortgage Lending,Orange, CA
45,American Financial Group,,,Diversified Insurance,Client Administration Support- Bankruptcy,Los Angeles, CA
46,American Financial Group,,,Diversified Insurance,Management Consultant - iCON,Schaumburg, IL
47,American Financial Group,2018-08-06,3 days ago,Diversified Insurance,Lead Financial Program Specialist,,
48,American Financial Group,2018-08-01,8 days ago,Diversified Insurance,Customer Service Representative - RPS,Fort Wayne, IN
49,American Financial Group,2018-07-26,14 days ago,Diversified Insurance,Underwriting Analyst Trainee,Fargo, ND
50,American Financial Group,2018-07-10,30+ days ago,Diversified Insurance,Financial Management Technician (36B) (Will Train),Oakley, CA
51,American Financial Group,2018-08-04,5 days ago,Diversified Insurance,Call Center Agent,Orange, CA
52,American Financial Group,2018-07-21,19 days ago,Diversified Insurance,Analyst - Financial Control,Greensboro, NC
53,American Financial Group,2018-07-31,9 days ago,Diversified Insurance,"Project Coordinator, APM Podcasts #112-19",Saint Paul, MN
54,American Financial Group,2018-07-31,9 days ago,Diversified Insurance,"Admin, Customer Mediation",Irvine, CA
55,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Public Affairs Specialist,Salem, OR
56,American Financial Group,2018-07-18,22 hours ago,Diversified Insurance,Chargeback Associate Specialist,Saint Petersburg, FL
57,American Financial Group,,,Diversified Insurance,"Senior Analyst, Finance (FP&A)",San Diego, CA
58,American Financial Group,,,Diversified Insurance,NA Business Manager,Alpharetta, GA
59,American Financial Group,,,Diversified Insurance,Call Center Supervisor (CS/Ecomm),Harrisburg, PA
60,American Financial Group,,,Diversified Insurance,Restaurant Manager,New Castle, IN
61,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,"Financial Processor, Annuity Data Engagement",Fort Wayne, IN
62,American Financial Group,2018-08-03,6 days ago,Diversified Insurance,"Customer Care Associate I/II - Little Rock, AR / Hours: Mon-Fri 8:00 am -5:00 pm",Little Rock, AR
63,American Financial Group,2018-08-06,3 hours ago,Diversified Insurance,BILLING CLERK,York, SC
64,American Financial Group,2018-07-10,30+ days ago,Diversified Insurance,Texas Works Advisor I (Virtual Interview Center),Grand Prairie, TX
65,American Financial Group,2018-08-04,5 days ago,Diversified Insurance,Collections Specialist,Irvine, CA
66,American Financial Group,2018-08-02,7 days ago,Diversified Insurance,Junior Financial Analyst,Tuscaloosa, AL
67,American Financial Group,2018-07-29,11 hours ago,Diversified Insurance,Administrative Assistant,Minneapolis, MN
68,American Financial Group,2018-07-10,30+ days ago,Diversified Insurance,Financial Advisor,Green Bay, WI
69,American Financial Group,2018-07-10,30+ days ago,Diversified Insurance,Financial Analyst,Lisle, IL
70,American Financial Group,2018-08-05,4 days ago,Diversified Insurance,"Financial Analyst, NBMBAA",Memphis, TN
71,American Financial Group,,,Diversified Insurance,Supervisor,Ontario, CA
72,American Financial Group,,,Diversified Insurance,Technician Training Manager,San Francisco, CA
73,American Financial Group,,,Diversified Insurance,Senior Accountant,South Florida, FL
74,American Financial Group,,,Diversified Insurance,Senior Management Consultant - iCON,Schaumburg, IL
75,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,"BA I, Financial/Budget Analyst",Denver, CO
76,American Financial Group,,,Diversified Insurance,Client Relationship Manager,New York, NY
77,American Financial Group,,,Diversified Insurance,Financial Analyst / Senior Financial Analyst,Cincinnati, OH
78,American Financial Group,2018-07-14,26 days ago,Diversified Insurance,Fall Intern - Private Client Group,Chevy Chase, MD
79,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Storekeeper I - Distribution Services,French Camp, CA
80,American Financial Group,2018-07-24,16 days ago,Diversified Insurance,"Financial Processor, RPS Operations",Fort Wayne, IN
81,American Financial Group,2018-07-26,14 days ago,Diversified Insurance,Underwriting Analyst Trainee,Fargo, ND
82,American Financial Group,2018-07-28,12 days ago,Diversified Insurance,Adminstrative Associate,Eagan, MN
83,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Copywriter,Baltimore, MD
84,American Financial Group,2018-07-24,16 days ago,Diversified Insurance,Disaster Recovery Case Manager,Marysville, CA
85,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Service Support,Bakersfield, CA
86,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Financial Assistant,Lancaster, PA
87,American Financial Group,2018-07-22,18 hours ago,Diversified Insurance,New Construction Lease-Up Superstar Needed in Anna,Anna, TX
88,American Financial Group,,,Diversified Insurance,Overland Park Financial Representative,Kansas City, KS
89,American Financial Group,,,Diversified Insurance,Analyst,San Diego, CA
90,American Financial Group,,,Diversified Insurance,Outside Sales Representative - Northern California,San Francisco, CA
91,American Financial Group,,,Diversified Insurance,Senior Magnet Program Analyst,Silver Spring, MD
92,American Financial Group,2018-08-07,2 days ago,Diversified Insurance,Accounting Associate,Anoka, MN
93,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Financial Management Specialist,Boston, MA
94,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,Junior Research Analyst - Global Financial Institutions Center,Waltham, MA
95,American Financial Group,2018-08-08,1 day ago,Diversified Insurance,"Client Relationship Specialist - Los Gatos, CA",Los Gatos, CA
96,American Financial Group,2018-08-01,8 days ago,Diversified Insurance,金融服務銷售_Financial Service Associate,Houston, TX
97,American Financial Group,2018-07-22,18 days ago,Diversified Insurance,Personnel Assistant I (NAVSUP Europe),,
98,American Financial Group,2018-07-17,23 days ago,Diversified Insurance,Associate Financial Analyst,Lakeland, FL
