,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,American International Group,,,Diversified Insurance,Customer Service Contact Center Rep,Amarillo, TX
1,American International Group,2018-07-26,14 hours ago,Diversified Insurance,Customer Service Representative - Emergency Center,Stevens Point, WI
2,American International Group,,,Diversified Insurance,Customer Service Administrator,Woodbury, NY
3,American International Group,2018-07-28,12 days ago,Diversified Insurance,Public Programs Administrative Assistant,San Francisco, CA
4,American International Group,2018-07-26,14 hours ago,Diversified Insurance,WOOD CRATE BUILDER / LIGHT MAINTENANCE,Boca Raton, FL
5,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Entry-Level Production,,
6,American International Group,2018-07-26,14 hours ago,Diversified Insurance,Customer Service Representative - Emergency Center,Stevens Point, WI
7,American International Group,2018-07-31,9 days ago,Diversified Insurance,Customer Service Coordinator,Van Nuys, CA
8,American International Group,2018-07-25,15 hours ago,Diversified Insurance,Jewelry Merchandiser – American Fork,American Fork, UT
9,American International Group,2018-08-04,5 days ago,Diversified Insurance,Data Entry Specialist,Washington, DC
10,American International Group,2018-08-04,5 days ago,Diversified Insurance,International Trade Representative,Lincoln, NE
11,American International Group,2018-08-07,2 days ago,Diversified Insurance,Department Coordinator - American & Latin American Paintings,New York, NY
12,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Cleared American Guard (CAG),,
13,American International Group,,,Diversified Insurance,FOOD SERVICE AIDE - PATIENT FOOD,Espanola, NM
14,American International Group,,,Diversified Insurance,Customer Service Representative,Los Angeles, CA
15,American International Group,,,Diversified Insurance,Customer Service/Scheduling - No Sales PT w/ PTO 12-7 Shift,Phoenix, AZ
16,American International Group,,,Diversified Insurance,Travel Relations Manager-Presenter,El Segundo, CA
17,American International Group,2018-08-08,1 day ago,Diversified Insurance,Transportation Dispatcher,Oakland, CA
18,American International Group,2018-08-08,1 day ago,Diversified Insurance,International Customer Service Manager,Centralia, MO
19,American International Group,2018-08-04,5 days ago,Diversified Insurance,Travel Assistance Coordinator,Stevens Point, WI
20,American International Group,2018-07-24,16 days ago,Diversified Insurance,Customer Service Contact Center Rep,Amarillo, TX
21,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Airport Food Delivery Driver - No CDL Required - No Over the Road!,Dulles, VA
22,American International Group,2018-08-04,5 days ago,Diversified Insurance,DATA ENTRY SPECIALIST,Washington, DC
23,American International Group,2018-07-13,27 days ago,Diversified Insurance,Global Customer Service Specialist,Westborough, MA
24,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Receiving Clerk,Kentfield, CA
25,American International Group,2018-08-04,5 hours ago,Diversified Insurance,Transportation Security Officer (TSO),Fort Myers, FL
26,American International Group,2018-08-02,7 days ago,Diversified Insurance,International Volunteer Inquiries,,
27,American International Group,,,Diversified Insurance,Local Coordinator,Norfolk, CT
28,American International Group,2018-07-18,22 hours ago,Diversified Insurance,English as a Second Language Instructor,Irvine, CA
29,American International Group,,,Diversified Insurance,Field Project Coordinator,Talladega, AL
30,American International Group,2018-08-07,2 days ago,Diversified Insurance,Associate Director of Admissions- San Diego campus,San Diego, CA
31,American International Group,,,Diversified Insurance,Customer Service/Scheduling - No Sales PT w/ PTO 12-7 Shift,Phoenix, AZ
32,American International Group,2018-08-06,3 days ago,Diversified Insurance,HR Business Admin,Twin Falls, ID
33,American International Group,2018-07-10,30+ days ago,Diversified Insurance,International Admission Specialist,Chicago, IL
34,American International Group,2018-07-30,10 days ago,Diversified Insurance,Pet Food Mfg - Production,Lisbon, OH
35,American International Group,2018-08-04,5 hours ago,Diversified Insurance,Director of Guest Relations,Laguna Beach, CA
36,American International Group,2018-08-07,2 days ago,Diversified Insurance,"Executive Assistant, Chief Merchandising Officer",San Francisco, CA
37,American International Group,2018-08-08,1 day ago,Diversified Insurance,Office Coordinator,Sacramento, CA
38,American International Group,2018-07-19,21 days ago,Diversified Insurance,City Clerk,San Leandro, CA
39,American International Group,2018-08-01,8 days ago,Diversified Insurance,Italian Speaking International Sales Representative,Tamarac, FL
40,American International Group,2018-08-03,6 days ago,Diversified Insurance,"Outreach and Partnership Specialist, Multiple Positions",Queens, NY
41,American International Group,2018-07-10,30+ days ago,Diversified Insurance,North American Training Facilitator,Galesville, WI
42,American International Group,,,Diversified Insurance,Sales Executive - Airline Services,Huntington Beach, CA
43,American International Group,,,Diversified Insurance,Vacation Ownership Consultant,Branson, MO
44,American International Group,,,Diversified Insurance,Marketing Procurement Lead,Teaneck, NJ
45,American International Group,2018-07-30,10 days ago,Diversified Insurance,Distribution Analyst,San Francisco, CA
46,American International Group,2018-07-14,26 days ago,Diversified Insurance,"Customer Service / Call Center Rep - Brentwood, TN",Brentwood, TN
47,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Records Management,Woodland Hills, CA
48,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Production Worker,Hancock, ME
49,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Packager,Garden Grove, CA
50,American International Group,2018-07-10,30+ days ago,Diversified Insurance,International Student Residential Advisor,Washington, DC
51,American International Group,2018-07-17,23 days ago,Diversified Insurance,Learning & Development Coordinator,San Francisco, CA
52,American International Group,2018-08-05,4 days ago,Diversified Insurance,Administrative Assistant,Arlington, VA
53,American International Group,2018-07-25,15 hours ago,Diversified Insurance,Business Development Assistant,New York, NY
54,American International Group,2018-08-04,5 days ago,Diversified Insurance,"Material Planner - International Assignment, VIE",Madison, MS
55,American International Group,,,Diversified Insurance,Accounting Analyst,Racine, WI
56,American International Group,2018-08-07,2 days ago,Diversified Insurance,International Partnerships Coordinator,Kent, OH
57,American International Group,2018-07-26,14 hours ago,Diversified Insurance,Global Premium Analyst,Stevens Point, WI
58,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Crating - Shipping,Hilliard, OH
59,American International Group,2018-08-01,8 days ago,Diversified Insurance,International Student Success Coach,Spokane, WA
60,American International Group,2018-08-02,7 days ago,Diversified Insurance,Front Counter Crew Member,Somerset, WI
61,American International Group,2018-08-08,1 day ago,Diversified Insurance,Warehouse Worker/Order Selector,Oconomowoc, WI
62,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Cleared American Guard (CAG),Reston, VA
63,American International Group,2018-08-03,6 days ago,Diversified Insurance,Paper Money Grader,Sarasota, FL
64,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Plans Examiner,Santa Maria, CA
65,American International Group,2018-07-27,13 days ago,Diversified Insurance,Welder Helpers,Great Falls, MT
66,American International Group,2018-08-08,1 day ago,Diversified Insurance,Enrollment Services Advisor,Boston, MA
67,American International Group,,,Diversified Insurance,MEDICAL ASSISTANT OUTPATIENT - SURGICAL CLINIC,Espanola, NM
68,American International Group,,,Diversified Insurance,CLAIMS SPECIALIST/ANALYST,Albuquerque, NM
69,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Records Imaging Specialist,Hato Rey, PR
70,American International Group,2018-07-22,18 hours ago,Diversified Insurance,Director of Supply Chain,Encino, CA
71,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Practice Group Assistant,Los Angeles, CA
72,American International Group,2018-08-01,8 days ago,Diversified Insurance,Customer Service Team Manager,Jeffersonville, IN
73,American International Group,2018-07-25,15 days ago,Diversified Insurance,Director of Marketing and Communications,Huntington, NY
74,American International Group,2018-07-10,30+ days ago,Diversified Insurance,Team Member,Boone, IA
75,American International Group,2018-07-27,13 days ago,Diversified Insurance,Receptionist,Miami, FL
76,American International Group,2018-08-02,7 days ago,Diversified Insurance,Public Policy Analyst,,
77,American International Group,2018-08-03,6 days ago,Diversified Insurance,Code Enforcement Officer,Yuma, AZ
78,American International Group,2018-07-10,30+ days ago,Diversified Insurance,"Receptionist, Assoc",San Antonio, TX
79,American International Group,,,Diversified Insurance,PHYSICAL THERAPY ASSISTANT,Socorro, NM
80,American International Group,,,Diversified Insurance,NURSING TECH II- MED/SURG/PEDS,Espanola, NM
81,American International Group,2018-07-10,30+ days ago,Diversified Insurance,"Receptionist, Assoc",San Antonio, TX
82,American International Group,2018-07-29,11 hours ago,Diversified Insurance,Security Officer,Duluth, MN
83,American International Group,2018-08-04,5 days ago,Diversified Insurance,SMS Entrance Gunner I (East Chicago IN),East Chicago, IN
