,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,American Water Works,,,Diversified Utilities,Water Damage Mitigation/Restoration Technician,Vacaville, CA
1,American Water Works,,,Diversified Utilities,CDL A Driver Hazmat/Tanker Local Routes - $60k-$75K Plus Sign On Bonuses,Troy, NY
2,American Water Works,,,Diversified Utilities,Water Heater Installer,Laurel, MD
3,American Water Works,2018-08-08,1 day ago,Diversified Utilities,IWA Water Utility Worker I,Indio, CA
4,American Water Works,2018-08-04,5 days ago,Diversified Utilities,Administrative Aide II - Water Plant,Murfreesboro, TN
5,American Water Works,2018-07-21,19 days ago,Diversified Utilities,(Water) Conservation Representative I,Monterey, CA
6,American Water Works,2018-08-08,1 day ago,Diversified Utilities,WATER UTILITY WORKER (3912),City of Los Angeles, CA
7,American Water Works,2018-08-02,7 days ago,Diversified Utilities,Plant Operator (In Training/I/II),San Leandro, CA
8,American Water Works,2018-08-04,5 days ago,Diversified Utilities,Water Distribution Operator I,San Dimas, CA
9,American Water Works,2018-07-22,18 hours ago,Diversified Utilities,Austin Water Pipeline Technician Worker or Associate (multiple levels & multiple positions),Austin, TX
10,American Water Works,2018-07-31,9 days ago,Diversified Utilities,Austin Water Dispatcher (Multiple positions and shifts),Austin, TX
11,American Water Works,2018-07-27,13 days ago,Diversified Utilities,Water Utility Technician - Field Representative,Aurora, CO
12,American Water Works,2018-07-21,19 days ago,Diversified Utilities,Water Treatment Operator,Moorhead, MN
13,American Water Works,,,Diversified Utilities,Certified Lifeguard/Water Safety Instructors,Rootstown, OH
14,American Water Works,2018-08-08,1 day ago,Diversified Utilities,Water Technician,Omaha, NE
15,American Water Works,,,Diversified Utilities,Construction Inspector (Water Utility),Scranton, PA
16,American Water Works,,,Diversified Utilities,Maintenance/Relief Water Operator,Milton, PA
17,American Water Works,2018-08-01,8 days ago,Diversified Utilities,Meter Reader,Carmel, IN
18,American Water Works,2018-07-10,30+ days ago,Diversified Utilities,WATER PLANT OPERATOR I/II/III/WATER TREATMENT SPECIALIST,Thornton, CO
19,American Water Works,2018-07-10,30+ days ago,Diversified Utilities,WATER/WASTEWATER SPECIALIST III,Fresno County, CA
20,American Water Works,2018-08-02,7 days ago,Diversified Utilities,Water Quality Analyst,Santa Maria, CA
21,American Water Works,2018-08-01,8 days ago,Diversified Utilities,WATER SYSTEM OPERATOR,Tucson, AZ
22,American Water Works,2018-08-07,2 days ago,Diversified Utilities,Water Supply Operator I,Gardena, CA
23,American Water Works,2018-07-27,13 hours ago,Diversified Utilities,Custodian,Santa Maria, CA
24,American Water Works,2018-07-27,13 hours ago,Diversified Utilities,Construction Laborer/Helper,Tupelo, MS
25,American Water Works,2018-07-10,30+ days ago,Diversified Utilities,Water Meter Service Worker,Lubbock, TX
26,American Water Works,2018-08-03,6 days ago,Diversified Utilities,Plant Operator Trainee (Wastewater),New Port Richey, FL
27,American Water Works,,,Diversified Utilities,Sous Chef,Huntington, NY
28,American Water Works,,,Diversified Utilities,Equipment Specialist/Manual Labor,Santa Rosa, CA
29,American Water Works,,,Diversified Utilities,Carpenter,North Salt Lake, UT
30,American Water Works,2018-07-23,17 hours ago,Diversified Utilities,420 - Storm-Water/Environmental Technician,Brownsville, TX
