,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Amgen,,,Biotechs,Data Scientist,Thousand Oaks, CA
1,Amgen,,,Biotechs,Global Safety Medical Director - Global Safety Officer - Oncology,Thousand Oaks, CA
2,Amgen,,,Biotechs,Clinical Research Medical Director – Biosimilars,Thousand Oaks, CA
3,Amgen,,,Biotechs,Medical Director - Oncology US Medical Lead – Solid Tumors Early Products,Thousand Oaks, CA
4,Amgen,2018-07-22,18 days ago,Biotechs,Sr Captain- Amgen Aviation,Camarillo, CA
5,Amgen,2018-07-27,13 hours ago,Biotechs,Process Development Associate,Thousand Oaks, CA
6,Amgen,2018-08-08,1 day ago,Biotechs,Administrative Coordinator,Thousand Oaks, CA
7,Amgen,2018-07-27,13 hours ago,Biotechs,Process Development Sr. Associate,Thousand Oaks, CA
8,Amgen,2018-08-08,1 day ago,Biotechs,Scientist - Pharmacokinetics and Drug Metabolism (PKDM),Thousand Oaks, CA
9,Amgen,2018-08-08,1 day ago,Biotechs,Associate Scientist,Thousand Oaks, CA
10,Amgen,2018-07-26,14 days ago,Biotechs,Associate Manufacturing,Woburn, MA
11,Amgen,2018-08-04,5 days ago,Biotechs,Scientist - Molecular Modeling,Thousand Oaks, CA
12,Amgen,2018-07-10,30+ days ago,Biotechs,Associate Quality Control,Thousand Oaks, CA
13,Amgen,2018-07-10,30+ days ago,Biotechs,Associate Finance,Thousand Oaks, CA
14,Amgen,,,Biotechs,Senior Medical Scientist - US Medical Affairs - Oncology Medical Monitor,Thousand Oaks, CA
15,Amgen,,,Biotechs,Senior Medical Scientist – Global Medical Affairs – Multiple Myeloma,Thousand Oaks, CA
16,Amgen,,,Biotechs,Network Security Specialist,Tampa, FL
17,Amgen,2018-08-08,1 day ago,Biotechs,Senior Clinical Oncology Specialist - SoCal (RN/PA required),Thousand Oaks, CA
18,Amgen,,,Biotechs,Specialist Information Systems (IS) Architect – Enterprise Data Integration and Analytics,Tampa, FL
19,Amgen,2018-07-10,30+ days ago,Biotechs,Associate Research Operations,Thousand Oaks, CA
20,Amgen,2018-07-10,30+ days ago,Biotechs,Aseptic Officer,Thousand Oaks, CA
21,Amgen,2018-08-03,6 days ago,Biotechs,Specialist Manufacturing - CAPA/NC,Thousand Oaks, CA
22,Amgen,2018-08-03,6 days ago,Biotechs,Sr. Associate Compliance – Business Conduct Hotline,Thousand Oaks, CA
23,Amgen,2018-07-27,13 hours ago,Biotechs,Senior Associate Human Resources Data Analysis,Tampa, FL
24,Amgen,2018-08-04,5 days ago,Biotechs,Senior Associate Quality Assurance,Thousand Oaks, CA
25,Amgen,2018-07-28,12 days ago,Biotechs,Scientist – Molecular Biology,Thousand Oaks, CA
26,Amgen,2018-08-05,4 days ago,Biotechs,Process Development Scientist,Thousand Oaks, CA
27,Amgen,2018-07-19,21 days ago,Biotechs,Training & Development Mgr,Thousand Oaks, CA
28,Amgen,2018-07-27,13 days ago,Biotechs,Sr Associate Finance,Thousand Oaks, CA
