,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Amphenol,,,Electronics,Engineering Manager,Goleta, CA
1,Amphenol,,,Electronics,Quality Assurance Engineer,Beverly, MA
2,Amphenol,2018-07-30,10 hours ago,Electronics,Quality Assurance Manager,Endicott, NY
3,Amphenol,2018-07-10,30+ days ago,Electronics,Assembly Technician,Mesa, AZ
4,Amphenol,2018-07-25,15 days ago,Electronics,RMA Coordinator/RI,San Jose, CA
5,Amphenol,2018-08-08,1 day ago,Electronics,Front Desk Agent,Lake Wales, FL
6,Amphenol,2018-07-10,30+ days ago,Electronics,Cable Assembly Operator,Mesa, AZ
7,Amphenol,2018-07-24,16 hours ago,Electronics,Accountant,Etters, PA
8,Amphenol,2018-07-27,13 days ago,Electronics,Toolmaker - Molding,Etters, PA
9,Amphenol,2018-07-25,15 days ago,Electronics,Engineering Intern,Allen, TX
10,Amphenol,2018-07-10,30+ days ago,Electronics,Production Assemblers (1st and 2nd Shift),Grand Rapids, MI
11,Amphenol,2018-07-26,14 days ago,Electronics,Electronics Assemblers (1st and 2nd Shift),Grand Rapids, MI
12,Amphenol,2018-07-31,9 days ago,Electronics,Market Analyst,Beverly, MA
13,Amphenol,,,Electronics,Market Analyst,Beverly, MA
14,Amphenol,,,Electronics,Quality Specialist,Beverly, MA
15,Amphenol,2018-07-10,30+ days ago,Electronics,Installation Technician,,
16,Amphenol,2018-07-10,30+ days ago,Electronics,Manufacturing Technician,Grand Rapids, MI
17,Amphenol,2018-07-26,14 days ago,Electronics,Customer Account Representative,Grand Rapids, MI
18,Amphenol,2018-08-01,8 days ago,Electronics,Accounts Payable Specialist,Nashua, NH
19,Amphenol,2018-08-08,1 day ago,Electronics,Breakfast Attendant/Host,Lake Wales, FL
20,Amphenol,2018-07-10,30+ days ago,Electronics,NPI Technician,San Jose, CA
21,Amphenol,2018-07-17,23 days ago,Electronics,Process Engineer,Fremont, CA
22,Amphenol,2018-07-10,30+ days ago,Electronics,Manufacturing Associate/Machine Operator,Wallingford, CT
23,Amphenol,2018-07-17,23 days ago,Electronics,Telecom Technician,Torrington, CT
24,Amphenol,2018-07-31,9 days ago,Electronics,Master Scheduler,Nashua, NH
25,Amphenol,2018-07-10,30+ days ago,Electronics,"Supervisor, Value Add",Wichita, KS
26,Amphenol,2018-07-12,28 days ago,Electronics,Production Planner,Beverly, MA
27,Amphenol,2018-07-20,20 days ago,Electronics,Production Planner,Mesa, AZ
28,Amphenol,2018-07-10,30+ days ago,Electronics,Product Manager,Fremont, CA
29,Amphenol,2018-07-25,15 days ago,Electronics,Quality Manufacturing Engineer,Allen, TX
