,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Anadarko Petroleum,2018-07-21,19 days ago,Oil & Gas Operations,HR Analyst - HR Data Management,The Woodlands, TX
1,Anadarko Petroleum,2018-07-26,14 days ago,Oil & Gas Operations,Operator - DJ Basin Midstream Oil Gathering,Platteville, CO
2,Anadarko Petroleum,2018-07-18,22 days ago,Oil & Gas Operations,Operator – DJ Basin Production Operations,Platteville, CO
3,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Land Analyst - DJ Mineral Land,Denver, CO
4,Anadarko Petroleum,2018-08-02,7 days ago,Oil & Gas Operations,Plant Operator - DJ Midstream COSF,Platteville, CO
5,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Field Analyst – Delaware Basin FBP Water,Kermit, TX
6,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Plant Operator- North Reeves ROTF,Orla, TX
7,Anadarko Petroleum,2018-08-03,6 days ago,Oil & Gas Operations,Sr PSM Coordinator - Mentone Gas Plant,Orla, TX
8,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Plant Operator - N Loving ROTF Midstream Operations,Orla, TX
9,Anadarko Petroleum,2018-07-28,12 hours ago,Oil & Gas Operations,Project Planning Manager - Mozambique LNG,The Woodlands, TX
10,Anadarko Petroleum,2018-07-13,27 days ago,Oil & Gas Operations,Completions Engineer,Oklahoma City, OK
11,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Sr Plant Operator - North Reeves ROTF,Orla, TX
12,Anadarko Petroleum,2018-08-08,1 day ago,Oil & Gas Operations,Sr HSE Representative – DJ Basin Drilling & Completions,Platteville, CO
13,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Global Screening Security Analyst - Security Background/Substance Abuse Progam,Kermit, TX
14,Anadarko Petroleum,2018-07-26,14 days ago,Oil & Gas Operations,Sr Talent Management Representative,The Woodlands, TX
15,Anadarko Petroleum,2018-08-02,7 days ago,Oil & Gas Operations,Audit Data Analyst - Corporate Audit,The Woodlands, TX
16,Anadarko Petroleum,2018-08-08,1 day ago,Oil & Gas Operations,Sr Drilling Engineer - DJ Basin,Denver, CO
17,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Mechanic - Maverick Midstream Operations,Carrizo Springs, TX
18,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Mechanic – Delaware Midstream Operations,Kermit, TX
19,Anadarko Petroleum,2018-08-07,2 days ago,Oil & Gas Operations,Engineering Technologist - WY/UT Asset Team,Denver, CO
20,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr Global Screening Security Analyst - Security Background/Substance Abuse Progam,Platteville, CO
21,Anadarko Petroleum,2018-07-25,15 days ago,Oil & Gas Operations,Sr Reservoir/ Production Engineer - DJ Basin Subsurface & Technology,Platteville, CO
22,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Sr Counsel - Exploration & Production,Denver, CO
23,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Land Manager - WY/UT Land,Denver, CO
24,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Sr Reservoir Engineer,The Woodlands, TX
25,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr HR Business Partner - Rockies,Platteville, CO
26,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,IT Auditor - Corporate Audit,The Woodlands, TX
27,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr Strategic Development Engineer - Development & Execution,Denver, CO
28,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr HR Business Partner - Corporate Services,The Woodlands, TX
29,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Senior Business Analyst - WOK - T7015,Tulsa, OK
30,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Sr Business Strategist - Emerging Technologies,The Woodlands, TX
31,Anadarko Petroleum,2018-07-25,15 days ago,Oil & Gas Operations,Sr Data Scientist - Bayesian Statitician,The Woodlands, TX
32,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Counsel / Sr Counsel - Litigation,The Woodlands, TX
33,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Sr Counsel - Marketing,The Woodlands, TX
34,Anadarko Petroleum,2018-08-01,8 days ago,Oil & Gas Operations,Audit Manager - Internal Corporate Audit,The Woodlands, TX
35,Anadarko Petroleum,2018-08-03,6 days ago,Oil & Gas Operations,Sr Python Developer - Emerging Technologies Dev Ops,The Woodlands, TX
36,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,IT Auditor - Corporate Audit,The Woodlands, TX
37,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr Strategic Development Engineer - Development & Execution,Denver, CO
38,Anadarko Petroleum,2018-07-27,13 days ago,Oil & Gas Operations,Sr HR Business Partner - Corporate Services,The Woodlands, TX
39,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Senior Business Analyst - WOK - T7015,Tulsa, OK
40,Anadarko Petroleum,2018-08-04,5 days ago,Oil & Gas Operations,Sr Business Strategist - Emerging Technologies,The Woodlands, TX
41,Anadarko Petroleum,2018-07-25,15 days ago,Oil & Gas Operations,Sr Data Scientist - Bayesian Statitician,The Woodlands, TX
42,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Counsel / Sr Counsel - Litigation,The Woodlands, TX
43,Anadarko Petroleum,2018-07-10,30+ days ago,Oil & Gas Operations,Sr Counsel - Marketing,The Woodlands, TX
44,Anadarko Petroleum,2018-08-01,8 days ago,Oil & Gas Operations,Audit Manager - Internal Corporate Audit,The Woodlands, TX
45,Anadarko Petroleum,2018-08-03,6 days ago,Oil & Gas Operations,Sr Python Developer - Emerging Technologies Dev Ops,The Woodlands, TX
