,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Anglo American,,,Diversified Metals & Mining,Professional Lawn Maintenance Worker 1 year experience,Bradenton, FL
1,Anglo American,,,Diversified Metals & Mining,Assistant University Librarian,New York, NY
2,Anglo American,2018-07-31,9 hours ago,Diversified Metals & Mining,Registered Nurse (RN) – Medical Surgical M/S,Tuba City, AZ
3,Anglo American,2018-08-08,1 day ago,Diversified Metals & Mining,Information Services Coordinator,Champaign, IL
4,Anglo American,2018-08-07,2 days ago,Diversified Metals & Mining,Youth Services Librarian,Bryan, TX
5,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Archivist,Fort Belvoir, VA
6,Anglo American,2018-07-31,9 days ago,Diversified Metals & Mining,Library Technician 3,Fairbanks, AK
7,Anglo American,2018-07-13,27 days ago,Diversified Metals & Mining,Cataloger/System Adminstrator -Library,Shreveport, LA
8,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Head of Collection Management Services,Los Angeles, CA
9,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Logistics General Manager for West Coast Operations,Hawthorne, CA
10,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Cataloger,,
11,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Cataloging Associate - Kent Library,Cape Girardeau, MO
12,Anglo American,2018-08-04,5 days ago,Diversified Metals & Mining,Residence Hall Librarian - University Housing (99294),Urbana-Champaign, IL
13,Anglo American,2018-08-03,6 hours ago,Diversified Metals & Mining,Registered Nurse (RN) - Medical Surgical (M/S),Tuba City, AZ
14,Anglo American,2018-07-11,29 days ago,Diversified Metals & Mining,Head of Public Services,New York, NY
15,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Professional Lawn Maintenance Worker 1 year experience,Bradenton, FL
16,Anglo American,2018-07-26,14 days ago,Diversified Metals & Mining,Assistant University Librarian,New York, NY
17,Anglo American,2018-07-23,17 days ago,Diversified Metals & Mining,Associate or Full Professor - Africana Studies,Bronx, NY
18,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Catalog Metadata Librarian Assistant/Associate Professor of Library Science,Dahlonega, GA
19,Anglo American,2018-07-10,30 days ago,Diversified Metals & Mining,Associate or Full Professor - Africana Studies,Bronx, NY
20,Anglo American,2018-07-11,29 days ago,Diversified Metals & Mining,Head of Instructional Services & Lecturer-in-Law,New York, NY
21,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,RN Manager | Labor & Delivery,Nogales, AZ
22,Anglo American,2018-07-10,30+ days ago,Diversified Metals & Mining,Medical Surg RN,Tuba City, AZ
23,Anglo American,2018-08-08,1 day ago,Diversified Metals & Mining,Perioperative Nurse - Operating Room Nurse - Travel - Travel (OR RN),Albuquerque, NM
