,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Apache,,,Oil & Gas Operations,Systems Integrator - APG,Aberdeen, MD
1,Apache,,,Oil & Gas Operations,Senior Software Engineer,Los Gatos, CA
2,Apache,,,Oil & Gas Operations,Middleware Engineer,Sterling, VA
3,Apache,,,Oil & Gas Operations,Cybersecurity Engineer,San Diego, CA
4,Apache,2018-07-24,16 days ago,Oil & Gas Operations,7.18 - General Production - Bama Frozen Dough (Lewis and Apache) 3rd Shift (11pm - 7am),Tulsa, OK
5,Apache,2018-07-27,13 days ago,Oil & Gas Operations,Help Wanted,Peoria, AZ
6,Apache,2018-08-06,3 hours ago,Oil & Gas Operations,We generally have a variety of positions open in the following departments.,Mescalero, NM
7,Apache,2018-08-03,6 days ago,Oil & Gas Operations,Full Time Teller - Apache Junction,Apache Junction, AZ
8,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Store Associate Apache Junction #219,Apache Junction, AZ
9,Apache,2018-08-03,6 days ago,Oil & Gas Operations,TELLER - FULL TIME - APACHE,Apache, OK
10,Apache,2018-08-01,8 days ago,Oil & Gas Operations,"Macy's Hiring Event - Aug 16, 11am-7pm: Apache Mall",Rochester, MN
11,Apache,2018-07-24,16 hours ago,Oil & Gas Operations,Store Associate/Stocker -1919,Apache Junction, AZ
12,Apache,2018-07-28,12 days ago,Oil & Gas Operations,Store Associate - Apache Mall - #428,Rochester, MN
13,Apache,2018-07-25,15 days ago,Oil & Gas Operations,Hose Assembly Technician - Apache,Cedar Rapids, IA
14,Apache,,,Oil & Gas Operations,Full Stack Web Developer,Asheville, NC
15,Apache,,,Oil & Gas Operations,Big Data Infrastructure Engineer,Mountain View, CA
16,Apache,,,Oil & Gas Operations,Web Applications Developer,Bridgewater, VA
17,Apache,2018-07-23,17 hours ago,Oil & Gas Operations,Middleware Engineer,New York, NY
18,Apache,2018-07-31,9 hours ago,Oil & Gas Operations,Front End Developer,Jersey City, NJ
19,Apache,,,Oil & Gas Operations,Security Product Architect - Services & Solutions,Cambridge, MA
20,Apache,2018-08-04,5 days ago,Oil & Gas Operations,Customer Service Representative - Mesa / Apache Junction,Mesa, AZ
21,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Apache Interpreters,,
22,Apache,2018-07-10,30 days ago,Oil & Gas Operations,Order Filler APACHE,Cedar Rapids, IA
23,Apache,2018-07-24,16 hours ago,Oil & Gas Operations,General Laborer,Catlettsburg, KY
24,Apache,2018-08-01,8 days ago,Oil & Gas Operations,Host,Las Vegas, NV
25,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,General Administrative Clerk I – Clerical,Apache, AZ
26,Apache,2018-08-02,7 days ago,Oil & Gas Operations,Admin Office Professional,Geismar, LA
27,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Cashier - Apache Mall,Rochester, MN
28,Apache,2018-07-11,29 days ago,Oil & Gas Operations,Splicer - APACHE,Cedar Rapids, IA
29,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Case Manager- Apache Junction,Apache Junction, AZ
30,Apache,,,Oil & Gas Operations,PHP Programmer,Denver, CO
31,Apache,,,Oil & Gas Operations,Software Engineer,Seattle, WA
32,Apache,,,Oil & Gas Operations,"Full Stack Java Developer, Front-End Focused",Eagan, MN
33,Apache,,,Oil & Gas Operations,"Technical Support Specialist (Madison, WI)",Madison, WI
34,Apache,2018-07-30,10 days ago,Oil & Gas Operations,Cashier - Ft Apache,Las Vegas, NV
35,Apache,2018-07-16,24 days ago,Oil & Gas Operations,General Laborer,Apache Junction, AZ
36,Apache,2018-07-31,9 days ago,Oil & Gas Operations,Conveyor Belt Fabricator APACHE,Portland, OR
37,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Arizona Supreme Court- Probation Assistant,Phoenix, AZ
38,Apache,2018-08-02,7 days ago,Oil & Gas Operations,Webcaster,Kennedy Space Center, FL
39,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Sales & Support Generalist-Apache Mall,Rochester, MN
40,Apache,2018-08-08,1 day ago,Oil & Gas Operations,Sales Associate,Sedona, AZ
41,Apache,2018-07-19,21 days ago,Oil & Gas Operations,Arizona Supreme Court-Youth Center Mentor (Apache),Phoenix, AZ
42,Apache,2018-08-01,8 days ago,Oil & Gas Operations,Server,Las Vegas, NV
43,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,"barista - Store# 09862, APACHE TRAIL & DELAWARE",Apache Junction, AZ
44,Apache,,,Oil & Gas Operations,Senior Software Engineer- Cloud Expert,Santa Clara, CA
45,Apache,2018-07-23,17 hours ago,Oil & Gas Operations,Systems Administrator,Fort Atkinson, WI
46,Apache,,,Oil & Gas Operations,Full Stack Developer,Knoxville, TN
47,Apache,2018-08-08,1 day ago,Oil & Gas Operations,Laravel Developer,Boulder, CO
48,Apache,,,Oil & Gas Operations,Full Time Teachers,Apache Junction, AZ
49,Apache,2018-08-07,2 days ago,Oil & Gas Operations,Team Member,Apache Junction, AZ
50,Apache,2018-07-29,11 hours ago,Oil & Gas Operations,Pumper I,Garden City, TX
51,Apache,2018-08-02,7 hours ago,Oil & Gas Operations,LOCAL VETERANS EMPLOYMENT REPRESENTATIVE,Globe, AZ
52,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Sephora Product Consultant - Apache Mall,Rochester, MN
53,Apache,2018-07-17,23 days ago,Oil & Gas Operations,CORRECTIONAL OFFICER,Phoenix, AZ
54,Apache,2018-08-07,2 hours ago,Oil & Gas Operations,Slot Floor Cashier,Lawton, OK
55,Apache,2018-07-28,12 days ago,Oil & Gas Operations,Stock Associate - Apache Mall #428,Rochester, MN
56,Apache,2018-08-07,2 days ago,Oil & Gas Operations,Help Wanted,Terrell, TX
57,Apache,2018-07-31,9 days ago,Oil & Gas Operations,Web Application Developer,Champaign, IL
58,Apache,2018-08-03,6 days ago,Oil & Gas Operations,"Macy's Seasonal Support Hiring Event - Aug 16, 11am-7pm: Apache Mall",Rochester, MN
59,Apache,,,Oil & Gas Operations,Junior PHP Developer,Virginia Beach, VA
60,Apache,2018-08-07,2 days ago,Oil & Gas Operations,Senior Data Scientist,Dallas, TX
61,Apache,,,Oil & Gas Operations,Systems Administrator,Colorado Springs, CO
62,Apache,,,Oil & Gas Operations,,,
63,Apache,2018-07-26,14 days ago,Oil & Gas Operations,Office Clerk,New York, NY
64,Apache,2018-08-02,7 hours ago,Oil & Gas Operations,T2 Application Support,Richardson, TX
65,Apache,2018-08-03,6 hours ago,Oil & Gas Operations,Part-Time Cashier (S. Fort Apache Road),Las Vegas, NV
66,Apache,2018-08-08,1 day ago,Oil & Gas Operations,Q/A Tester,Chicago, IL
67,Apache,2018-08-01,8 days ago,Oil & Gas Operations,Dishwasher,Las Vegas, NV
68,Apache,2018-08-01,8 hours ago,Oil & Gas Operations,Renovation Tech,Las Vegas, NV
69,Apache,2018-08-01,8 hours ago,Oil & Gas Operations,Technician Intern,Las Vegas, NV
70,Apache,2018-08-02,7 days ago,Oil & Gas Operations,Broadcast; Program Project Coordinator III,Kennedy Space Center, FL
71,Apache,2018-08-02,7 days ago,Oil & Gas Operations,Driver - Apache Junction,Apache Junction, AZ
72,Apache,2018-08-06,3 hours ago,Oil & Gas Operations,Java Apache Camel / API Developer,Minneapolis, MN
73,Apache,,,Oil & Gas Operations,DevOps Engineer,Denver, CO
74,Apache,,,Oil & Gas Operations,Software Data Engineer,New York, NY
75,Apache,,,Oil & Gas Operations,Software Engineer,Oakland, CA
76,Apache,,,Oil & Gas Operations,Software Developer,Houston, TX
77,Apache,,,Oil & Gas Operations,Solutions Architect,Denver, CO
78,Apache,2018-08-07,2 days ago,Oil & Gas Operations,Junior System Administrator,Huntsville, AL
79,Apache,,,Oil & Gas Operations,Application Support Engineer,Addison, TX
80,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Emergency Services Dispatcher,Saint Johns, AZ
81,Apache,2018-07-31,9 days ago,Oil & Gas Operations,Information Systems Technician,Clermont, FL
82,Apache,2018-08-01,8 days ago,Oil & Gas Operations,Executive Chauffeur,Miami, FL
83,Apache,2018-08-03,6 days ago,Oil & Gas Operations,Technical Project Manager,Santa Barbara, CA
84,Apache,2018-07-19,21 days ago,Oil & Gas Operations,Sales Position,Sedona, AZ
85,Apache,2018-08-01,8 hours ago,Oil & Gas Operations,Technician,Las Vegas, NV
86,Apache,2018-08-08,1 day ago,Oil & Gas Operations,Data Engineer - Alexa,Santa Barbara, CA
87,Apache,2018-07-30,10 hours ago,Oil & Gas Operations,Full Stack Developer,,
88,Apache,2018-07-31,9 days ago,Oil & Gas Operations,All Team Members,Las Vegas, NV
89,Apache,2018-08-07,2 days ago,Oil & Gas Operations,Accounts Receivable Clerk,Apache Junction, AZ
90,Apache,,,Oil & Gas Operations,Principal Engineer,Itasca, IL
91,Apache,,,Oil & Gas Operations,Lead System Administrator - Remote,Aberdeen, MD
92,Apache,,,Oil & Gas Operations,Senior Systems Administrator,Suitland, MD
93,Apache,,,Oil & Gas Operations,Software Developer - Telecommute Option,San Diego, CA
94,Apache,,,Oil & Gas Operations,Developer/Marketing and Affiliate Director,West Hills, CA
95,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Word Processor I,Apache, AZ
96,Apache,2018-08-03,6 days ago,Oil & Gas Operations,Salon Receptionist - Apache Mall,Rochester, MN
97,Apache,2018-07-24,16 days ago,Oil & Gas Operations,"WebLogic Administrator(Unix/Linux environment,Tomcat,Apache)",Arizona City, AZ
98,Apache,2018-07-27,13 days ago,Oil & Gas Operations,Laborer,Canton, OH
99,Apache,2018-07-17,23 days ago,Oil & Gas Operations,Full Time Store Associate- APACHE MALL,Rochester, MN
100,Apache,2018-07-13,27 days ago,Oil & Gas Operations,Apache Spark Developer,Phoenix, AZ
101,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Team Members for Port of Subs,Las Vegas, NV
102,Apache,2018-07-26,14 days ago,Oil & Gas Operations,Help Wanted,Las Vegas, NV
103,Apache,2018-08-08,1 day ago,Oil & Gas Operations,Human Resources Coordinator,Mountain View, CA
104,Apache,2018-08-05,4 days ago,Oil & Gas Operations,Carside,Las Vegas, NV
105,Apache,,,Oil & Gas Operations,Junior Systems Administrator,Austin, TX
106,Apache,,,Oil & Gas Operations,Web Hosting Technical Support Agent,San Diego, CA
107,Apache,,,Oil & Gas Operations,Open System Engineer,Belton, TX
108,Apache,,,Oil & Gas Operations,Technology Architect - US,Phoenix, AZ
109,Apache,,,Oil & Gas Operations,NOC Engineer,Plantation, FL
110,Apache,2018-07-10,30+ days ago,Oil & Gas Operations,Web Developer (Apache/MySQL/Java/PHP) – Flex time,Norfolk, VA
111,Apache,2018-08-02,7 days ago,Oil & Gas Operations,Site Administrator,Geismar, LA
112,Apache,2018-07-18,22 days ago,Oil & Gas Operations,Help Wanted,Chicago, IL
