,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Apple,,,Computer Hardware,Apple Genius - Technical Customer Service,Santa Barbara, CA
1,Apple,,,Computer Hardware,AppleCare Technical Support Advisor - Sacramento,Sacramento, CA
2,Apple,,,Computer Hardware,Apple Retail – Store Manager,East Bay, CA
3,Apple,2018-07-27,13 days ago,Computer Hardware,Caffè Macs Administrative Assistant,Santa Clara Valley, CA
4,Apple,2018-07-23,17 hours ago,Computer Hardware,Administrative Assistant,Santa Clara Valley, CA
5,Apple,2018-07-18,22 days ago,Computer Hardware,Nurse,Santa Clara Valley, CA
6,Apple,2018-08-03,6 days ago,Computer Hardware,Administrative Assistant - Maps,Santa Clara Valley, CA
7,Apple,2018-08-04,5 days ago,Computer Hardware,Apple Solutions Consultant,Orlando, FL
8,Apple,2018-07-14,26 days ago,Computer Hardware,"Head of Events and Experiential, Apple Media",Culver City, CA
9,Apple,2018-07-19,21 days ago,Computer Hardware,Apple Media Producer,Santa Clara Valley, CA
10,Apple,2018-07-20,20 days ago,Computer Hardware,"Photo Editor, Apple Media Products",Santa Clara Valley, CA
11,Apple,2018-07-10,30+ days ago,Computer Hardware,"Executive Assistant, Apple Pay Engineering Program Management",Santa Clara Valley, CA
12,Apple,2018-08-08,1 day ago,Computer Hardware,Color Standard Specialist,Santa Clara Valley, CA
13,Apple,,,Computer Hardware,Software Developer - Apple Diagnostics,Santa Clara Valley, CA
14,Apple,,,Computer Hardware,Apple Technical Specialist,Santa Barbara, CA
15,Apple,,,Computer Hardware,Digital-Mixed Signal Modeling Design Engineer,Austin, TX
16,Apple,,,Computer Hardware,GPU Power Integrity Engineer,Austin, TX
17,Apple,,,Computer Hardware,RCC Customer Service Specialist - French Language,Austin, TX
18,Apple,2018-07-27,13 days ago,Computer Hardware,Apple TV Product Design Internship,Santa Clara Valley, CA
19,Apple,2018-07-10,30 days ago,Computer Hardware,Apple Industrial Design Accepting Portfolios,Santa Clara Valley, CA
20,Apple,2018-08-04,5 hours ago,Computer Hardware,iPhone Buyer - AppleCare,Santa Clara Valley, CA
21,Apple,2018-07-18,22 days ago,Computer Hardware,"Writer, Today at Apple",Santa Clara Valley, CA
22,Apple,2018-07-17,23 days ago,Computer Hardware,"Social Media Editor, Apple News",Santa Clara Valley, CA
23,Apple,2018-07-29,11 days ago,Computer Hardware,Apple Music Christian & Gospel,Nashville, TN
24,Apple,2018-07-31,9 days ago,Computer Hardware,"Payments Counsel, Apple Pay (payments, credit/debit)",Santa Clara Valley, CA
25,Apple,2018-07-10,30+ days ago,Computer Hardware,"Curation Editor, Apple News",Santa Clara Valley, CA
26,Apple,2018-08-07,2 days ago,Computer Hardware,EHS Assistant,Santa Clara Valley, CA
27,Apple,2018-08-08,1 day ago,Computer Hardware,Social Creative Strategist,Santa Clara Valley, CA
28,Apple,,,Computer Hardware,CAD Timing Engineer,Austin, TX
29,Apple,,,Computer Hardware,Digital Layout Designer,Austin, TX
30,Apple,2018-07-10,30+ days ago,Computer Hardware,Executive Assistant,Santa Clara Valley, CA
31,Apple,2018-08-04,5 hours ago,Computer Hardware,AppleCare Agreement Administration Advisor,Elk Grove, CA
32,Apple,2018-07-29,11 hours ago,Computer Hardware,Apple Specialist - Retail Customer Services and Sales,Palo Alto, CA
33,Apple,2018-08-08,1 day ago,Computer Hardware,iOS App Reviewer,Santa Clara Valley, CA
34,Apple,2018-07-25,15 days ago,Computer Hardware,Data Center Maintenance Technician,Reno, NV
35,Apple,2018-07-10,30+ days ago,Computer Hardware,Maintenance Technician at Apple Park,Santa Clara Valley, CA
36,Apple,2018-07-27,13 days ago,Computer Hardware,Caffè Macs Receiver,Santa Clara Valley, CA
37,Apple,2018-07-10,30+ days ago,Computer Hardware,Acoustics and Neuroscience Internship,Santa Clara Valley, CA
38,Apple,2018-07-13,27 days ago,Computer Hardware,AppleCare College Program - University of California Merced,Merced, CA
39,Apple,2018-07-11,29 days ago,Computer Hardware,"Visual Designer, Editorial, Apple Media Products",Santa Clara Valley, CA
40,Apple,,,Computer Hardware,CPU Physical Design Engineer,Austin, TX
41,Apple,2018-07-13,27 days ago,Computer Hardware,Apple Video - Product Analyst,Santa Clara Valley, CA
42,Apple,2018-07-10,30+ days ago,Computer Hardware,"Content Producer, Apple Media Products",Santa Clara Valley, CA
43,Apple,2018-08-05,4 days ago,Computer Hardware,Creative Producer,Santa Clara Valley, CA
44,Apple,2018-07-18,22 days ago,Computer Hardware,"Bicycle Programs Coordinator, Commute Alternatives Program",Santa Clara Valley, CA
45,Apple,2018-08-02,7 days ago,Computer Hardware,"Creative Director Original Content, Apple Worldwide Video",Culver City, CA
46,Apple,2018-08-01,8 days ago,Computer Hardware,Campus Representative - Washington State University,Pullman, WA
47,Apple,2018-07-10,30+ days ago,Computer Hardware,Materials LIbrarian - Soft Goods,Santa Clara Valley, CA
48,Apple,2018-07-10,30+ days ago,Computer Hardware,Supply Planner - Apple Watch,Santa Clara Valley, CA
49,Apple,2018-07-10,30+ days ago,Computer Hardware,Flexible Display Technologist,Santa Clara Valley, CA
