,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Assurant,,,Diversified Insurance,Laborer - Local Candidates,Eau Claire, WI
1,Assurant,,,Diversified Insurance,Systems Director (Oracle EBS Applications Delivery Team),Wayne, PA
2,Assurant,,,Diversified Insurance,Digital Product Owner,Miami, FL
3,Assurant,2018-07-17,23 hours ago,Diversified Insurance,Medical Reviewer (Work from home / Remote),Atlanta, GA
4,Assurant,2018-07-21,19 hours ago,Diversified Insurance,Receivables - Call Center - Entry Level,Bothell, WA
5,Assurant,2018-08-08,1 day ago,Diversified Insurance,Research Specialist - Miami,Miami, FL
6,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Computer Operations Apprentice / Intern,Woodbury, MN
7,Assurant,2018-07-20,20 hours ago,Diversified Insurance,Call Center - Receivables - Will Train!,Bothell, WA
8,Assurant,2018-07-25,15 days ago,Diversified Insurance,Guest Services Representative-Coordinator,Corona, CA
9,Assurant,2018-08-05,4 days ago,Diversified Insurance,Support Associate I,Miami, FL
10,Assurant,2018-07-25,15 days ago,Diversified Insurance,Insurance Processor I,Miami, FL
11,Assurant,2018-07-23,17 hours ago,Diversified Insurance,Retail Consultant (Walgreens) - 247021BR,Chicago, IL
12,Assurant,2018-08-08,1 day ago,Diversified Insurance,Fraud Support Specialist,Miami, FL
13,Assurant,,,Diversified Insurance,Teacher Aide,Dublin, CA
14,Assurant,,,Diversified Insurance,Collector,Bothell, WA
15,Assurant,2018-07-21,19 days ago,Diversified Insurance,Insurance Processor I (Renters Tracking),Miami, FL
16,Assurant,2018-07-28,12 days ago,Diversified Insurance,Reservation Agent,Corona, CA
17,Assurant,2018-08-04,5 days ago,Diversified Insurance,Resort Host and Pool Attendant,Corona, CA
18,Assurant,2018-07-20,20 hours ago,Diversified Insurance,Debt Collector - Will Train!,Bothell, WA
19,Assurant,2018-07-26,14 days ago,Diversified Insurance,Insurance Specialist I - Miami (Renters Tracking) M - F 11am - 8pm,Miami, FL
20,Assurant,2018-07-28,12 days ago,Diversified Insurance,Customer Service Representative,Saint Petersburg, FL
21,Assurant,2018-07-17,23 hours ago,Diversified Insurance,Executive Assistant,Rapid City, SD
22,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Claims Adjuster - Entry Level,Miami, FL
23,Assurant,2018-08-02,7 days ago,Diversified Insurance,Underwriter I,Scottsdale, AZ
24,Assurant,2018-07-28,12 days ago,Diversified Insurance,Workforce Real-Time Analyst,Chicago, IL
25,Assurant,2018-08-03,6 days ago,Diversified Insurance,Special Investigations Unit (SIU) Coordinator,Miami, FL
26,Assurant,2018-07-26,14 days ago,Diversified Insurance,Implementation Specialist,Chicago, IL
27,Assurant,2018-08-01,8 days ago,Diversified Insurance,"Customer Care Specialist (M-F, 11am - 8pm)",Miami, FL
28,Assurant,2018-07-15,25 days ago,Diversified Insurance,"Agent, CITI",Chicago, IL
29,Assurant,2018-08-07,2 days ago,Diversified Insurance,Account Receivables - Call Center - Will Train!,Bothell, WA
30,Assurant,2018-07-28,12 days ago,Diversified Insurance,Insurance Specialist I - Miami,Miami, FL
31,Assurant,2018-08-08,1 day ago,Diversified Insurance,Branch Manager Trainee,George, CA
32,Assurant,2018-07-10,30 days ago,Diversified Insurance,Laborer - Local Candidates,Eau Claire, WI
33,Assurant,2018-07-31,9 days ago,Diversified Insurance,Legal Collections - Property Management,Bothell, WA
34,Assurant,2018-07-17,23 hours ago,Diversified Insurance,Fraud Analyst,Miami, FL
35,Assurant,2018-07-25,15 days ago,Diversified Insurance,Cafe Host and Pool Server (21+),Corona, CA
36,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Processing Specialist,Miami, FL
37,Assurant,2018-07-26,14 days ago,Diversified Insurance,Auto Desk Adjuster I,St Petersburg Beach, FL
38,Assurant,2018-08-08,1 day ago,Diversified Insurance,F & I Account Specialist,Chicago, IL
39,Assurant,2018-07-13,27 days ago,Diversified Insurance,Training Director,Everett, WA
40,Assurant,2018-07-27,13 days ago,Diversified Insurance,"Adjuster, Auto",Rockford, IL
41,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Receivable Specialist,Bothell, WA
42,Assurant,2018-07-23,17 days ago,Diversified Insurance,Ingénieur Bureau d'Etudes Electriques (h/f),Los Angeles, CA
43,Assurant,2018-07-17,23 hours ago,Diversified Insurance,People Leader Customer Care Manager,Florence, SC
44,Assurant,2018-07-21,19 hours ago,Diversified Insurance,Call Center - Collections - Will Train!,Bothell, WA
45,Assurant,2018-07-16,24 days ago,Diversified Insurance,Lender Placed Operations Specialist,Santa Ana, CA
46,Assurant,2018-08-04,5 days ago,Diversified Insurance,Account Executive I (WFH/remote),Atlanta, GA
47,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Collector,Bothell, WA
48,Assurant,2018-07-21,19 hours ago,Diversified Insurance,Legal Coordinator,Bothell, WA
49,Assurant,2018-08-07,2 days ago,Diversified Insurance,Asset Recovery Specialist - Will Train!,Bothell, WA
50,Assurant,2018-08-08,1 day ago,Diversified Insurance,"Supervisor, Operations",Lewisville, TX
51,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Flood Claims Adjuster,Miami, FL
52,Assurant,2018-07-10,30+ days ago,Diversified Insurance,"Customer Care Specialist (11am - 8pm, Monday - Friday)",Miami, FL
53,Assurant,2018-07-23,17 days ago,Diversified Insurance,Ingénieur Bureau d'Etudes Mécaniques (h/f),Los Angeles, CA
54,Assurant,2018-07-17,23 hours ago,Diversified Insurance,Sales Agent II,Miami, FL
55,Assurant,2018-08-05,4 hours ago,Diversified Insurance,Stage Conseiller(ère) de Vente H/F,Commerce, CA
56,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Claims Customer Service Rep,Atlanta, GA
57,Assurant,2018-08-04,5 days ago,Diversified Insurance,Compliance Analyst (WFH/remote),Atlanta, GA
58,Assurant,2018-07-12,28 days ago,Diversified Insurance,Customer Care Specialist,Duluth, GA
59,Assurant,2018-08-01,8 days ago,Diversified Insurance,VPS Claims Adjuster I,Addison, TX
60,Assurant,2018-07-18,22 days ago,Diversified Insurance,Business Unit Systems Analyst I,Miami, FL
61,Assurant,2018-07-28,12 days ago,Diversified Insurance,IT SOX Intern,Atlanta, GA
62,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Special Investigator,Scottsdale, AZ
63,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Auto Claims Adjuster,Miami, FL
64,Assurant,2018-07-21,19 days ago,Diversified Insurance,Loss Drafts Team Lead,Springfield, OH
65,Assurant,2018-07-22,18 days ago,Diversified Insurance,Quality Assurance Analyst,Miami, FL
66,Assurant,2018-07-11,29 days ago,Diversified Insurance,Actuarial Assistant,Miami, FL
67,Assurant,2018-08-07,2 days ago,Diversified Insurance,Account Collection Rep - Will Train!,Bothell, WA
68,Assurant,2018-07-19,21 days ago,Diversified Insurance,"Manager, Operations",Duluth, GA
69,Assurant,2018-07-14,26 days ago,Diversified Insurance,"VP, Automotive Operations",Chicago, IL
70,Assurant,2018-08-02,7 days ago,Diversified Insurance,MIS Analyst I,Miami, FL
71,Assurant,2018-08-04,5 days ago,Diversified Insurance,Lead Retail Consultant - Walgreens,Gainesville, FL
72,Assurant,2018-07-25,15 days ago,Diversified Insurance,"Supervisor, Receiving",York, PA
73,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Workforce Analyst,Chicago, IL
74,Assurant,2018-07-26,14 days ago,Diversified Insurance,Client Support Specialist,Chicago, IL
75,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Mécanicien (Réparateur de wagons),Concord, CA
76,Assurant,2018-07-20,20 hours ago,Diversified Insurance,Property Management Collections - Call Center - Will Train,Bothell, WA
77,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Legal Collector,Bothell, WA
78,Assurant,2018-07-10,30+ days ago,Diversified Insurance,QA Analyst,Chicago, IL
79,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Human Resources Benefit Specialist,San Antonio, TX
80,Assurant,2018-07-29,11 days ago,Diversified Insurance,Customer Care Team Lead,Springfield, OH
81,Assurant,2018-07-22,18 days ago,Diversified Insurance,"Supervisor, Service Support",Addison, TX
82,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Client Relations,Bothell, WA
83,Assurant,2018-07-11,29 days ago,Diversified Insurance,"Agent, Ingénierie",McBride, MI
84,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Customer Care Associate II,Rapid City, SD
85,Assurant,2018-07-10,30+ days ago,Diversified Insurance,QA Coordinator,Florence, SC
86,Assurant,2018-07-10,30+ days ago,Diversified Insurance,PART TIME Customer Service Representative (Weekend Shifts),Albany, OR
87,Assurant,2018-07-27,13 days ago,Diversified Insurance,Talent Acquisition Manager,Miami, FL
88,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Account Manager,Bothell, WA
89,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Data Entry Processor (Bilingual - French),Miami, FL
90,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Driver,Greeley, CO
91,Assurant,2018-07-28,12 days ago,Diversified Insurance,Auto Desk Claims Adjuster I,Saint Petersburg, FL
92,Assurant,2018-07-25,15 days ago,Diversified Insurance,Teacher Aide,Dublin, CA
93,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Property Claims Adjuster,Scottsdale, AZ
94,Assurant,2018-07-10,30 days ago,Diversified Insurance,Chargé de développement RH (H/F),Alger, OH
95,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Fire Alarm Technician,Mokena, IL
96,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Client Support Admin,Bothell, WA
97,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Quality Control Specialist,Chicago, IL
98,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Associate Product Testing Analyst,Chicago, IL
99,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Gate (Inspection) Clerk,Ayer, MA
100,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Manager Trainee,Richmond, CA
101,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Compliance Analyst,Miami, FL
102,Assurant,2018-08-03,6 days ago,Diversified Insurance,Service Examiner,Atlanta, GA
103,Assurant,2018-08-01,8 days ago,Diversified Insurance,Graphic Designer I,Miami, FL
104,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Chargé de l'administration du personnel (H/F),Alger, OH
105,Assurant,2018-07-10,30+ days ago,Diversified Insurance,Property and Casualty Claims Adjuster,Miami, FL
