,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,AstraZeneca,2018-07-31,9 days ago,Pharmaceuticals,"Formulation Process Operator - Newark, DE - Global Operations",Newark, DE
1,AstraZeneca,2018-08-01,8 days ago,Pharmaceuticals,QC Analyst,Frederick, MD
2,AstraZeneca,2018-07-31,9 days ago,Pharmaceuticals,Study Administrator,Wilmington, DE
3,AstraZeneca,2018-07-19,21 days ago,Pharmaceuticals,Packing Operator,Mount Vernon, IN
4,AstraZeneca,2018-07-28,12 days ago,Pharmaceuticals,Microbiologist - Global Operations,West Chester, OH
5,AstraZeneca,2018-07-21,19 days ago,Pharmaceuticals,eDiscovery Specialist,Wilmington, DE
6,AstraZeneca,2018-07-23,17 days ago,Pharmaceuticals,Operator- 2nd shift - Global Operations,Coppell, TX
7,AstraZeneca,2018-07-26,14 days ago,Pharmaceuticals,Associate Scientist I-Operations,Frederick, MD
8,AstraZeneca,2018-08-08,1 day ago,Pharmaceuticals,Operational Excellence Specialist - Mount Vernon< IN - Global Operations,Mount Vernon, IN
9,AstraZeneca,2018-07-10,30+ days ago,Pharmaceuticals,Publications Leader - CVMD,Wilmington, DE
10,AstraZeneca,2018-08-01,8 days ago,Pharmaceuticals,Asset Planner - Operations,Frederick, MD
11,AstraZeneca,2018-08-04,5 days ago,Pharmaceuticals,Patient Access Associate,Gaithersburg, MD
12,AstraZeneca,2018-08-02,7 days ago,Pharmaceuticals,Personal Assistant – Drug Safety and Metabolism,Waltham, MA
13,AstraZeneca,2018-08-08,1 day ago,Pharmaceuticals,Supply Chain Logistics Analyst,Wilmington, DE
14,AstraZeneca,2018-07-26,14 hours ago,Pharmaceuticals,Environmental Monitoring Technician - Global Operations,West Chester, OH
15,AstraZeneca,2018-07-15,25 days ago,Pharmaceuticals,"Packaging Operator Mechanic - Newark, DE - Global Operations",Newark, DE
16,AstraZeneca,2018-08-03,6 days ago,Pharmaceuticals,"MBA Commercial Leadership Associate, Rotational Program",Gaithersburg, MD
