,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Avalonbay Communities,,,Real Estate,Porter | $500 SIGN-ON BONUS,Bellevue, WA
1,Avalonbay Communities,,,Real Estate,Porter,Irvine, CA
2,Avalonbay Communities,2018-07-18,22 hours ago,Real Estate,Concierge (Full-Time),New York, NY
3,Avalonbay Communities,2018-08-03,6 days ago,Real Estate,Leasing Consultant,Foster City, CA
4,Avalonbay Communities,2018-08-04,5 days ago,Real Estate,Porter,Irvine, CA
5,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Porter | $500 SIGN-ON BONUS,Bellevue, WA
6,Avalonbay Communities,2018-07-26,14 days ago,Real Estate,Drywaller / Painter,San Diego, CA
7,Avalonbay Communities,2018-07-27,13 days ago,Real Estate,Receptionist,Boston, MA
8,Avalonbay Communities,2018-08-02,7 days ago,Real Estate,Community Supervisor,Thousand Oaks, CA
9,Avalonbay Communities,2018-07-26,14 days ago,Real Estate,Affordable Housing Specialist,New York, NY
10,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Customer Service Representative,Virginia Beach, VA
11,Avalonbay Communities,2018-07-15,25 days ago,Real Estate,Payment Services Specialist,Virginia Beach, VA
12,Avalonbay Communities,2018-08-08,1 day ago,Real Estate,Customer Service Manager,Arlington, VA
13,Avalonbay Communities,2018-08-05,4 days ago,Real Estate,Concierge (Part-Time),Washington, DC
14,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Painter,White Plains, NY
15,Avalonbay Communities,2018-07-29,11 days ago,Real Estate,Leasing Consultant (Floating),Mission Viejo, CA
16,Avalonbay Communities,2018-07-11,29 days ago,Real Estate,Operations Analyst,San Jose, CA
17,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Help Desk Support Technician,Irvine, CA
18,Avalonbay Communities,2018-08-02,7 days ago,Real Estate,General Manager,Los Angeles, CA
19,Avalonbay Communities,2018-07-20,20 days ago,Real Estate,Customer Service Associate- Leasing,Virginia Beach, VA
20,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Construction Administrative Assistant,San Jose, CA
21,Avalonbay Communities,2018-07-18,22 hours ago,Real Estate,Maintenance Technician,Chino Hills, CA
22,Avalonbay Communities,2018-07-12,28 days ago,Real Estate,Office Administration Manager,Virginia Beach, VA
23,Avalonbay Communities,2018-07-22,18 days ago,Real Estate,Front Desk Supervisor,New York, NY
24,Avalonbay Communities,2018-08-05,4 days ago,Real Estate,Assistant Design Manager,Arlington, VA
25,Avalonbay Communities,2018-08-03,6 days ago,Real Estate,Portfolio Operations Director,Los Angeles, CA
26,Avalonbay Communities,2018-07-27,13 days ago,Real Estate,Community Manager,West Windsor, NJ
27,Avalonbay Communities,2018-07-19,21 days ago,Real Estate,Sales and Service Supervisor,New York, NY
28,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Payroll Director,Arlington, VA
29,Avalonbay Communities,2018-08-04,5 days ago,Real Estate,General Maintenance Manager,Jersey City, NJ
30,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Superintendent II,Irvine, CA
31,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Portfolio Maintenance Director,San Jose, CA
32,Avalonbay Communities,2018-08-03,6 days ago,Real Estate,Data Scientist,Arlington, VA
33,Avalonbay Communities,2018-07-15,25 days ago,Real Estate,Summer Maintenance Associate,Lynnwood, WA
34,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Financial Analyst,Arlington, VA
35,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Safety Manager,Redmond, WA
36,Avalonbay Communities,2018-08-08,1 day ago,Real Estate,Sales Manager,New York, NY
37,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Staff Accountant - Construction & Development,Virginia Beach, VA
38,Avalonbay Communities,2018-07-27,13 days ago,Real Estate,Maintenance Operations Manager,Arlington, VA
39,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Senior Regional Director,New York, NY
40,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Human Resources Manager,Arlington, VA
41,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Maintenance Supervisor,San Francisco, CA
42,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Corporate Accountant,Arlington, VA
43,Avalonbay Communities,2018-07-27,13 days ago,Real Estate,"Lead Maintenance Technician - $1,000 Sign on Bonus",Dublin, CA
44,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Enterprise Architect,Arlington, VA
45,Avalonbay Communities,2018-07-18,22 days ago,Real Estate,Regional Safety Manager,New York, NY
46,Avalonbay Communities,2018-07-27,13 days ago,Real Estate,"Senior Manager, Redevelopment & Asset Management",New York, NY
47,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Maintenance Supervisor - Lease Up,Emeryville, CA
48,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Sr. Maintenance Manager,Long Island City, NY
49,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,Accounting Manager - Construction & Development,Virginia Beach, VA
50,Avalonbay Communities,2018-08-03,6 days ago,Real Estate,Information Security Engineer,Arlington, VA
51,Avalonbay Communities,2018-07-10,30+ days ago,Real Estate,ServiceNow/BPM Lead Developer,Arlington, VA
