,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Avnet,,,Electronics,Key Account Manager,Phoenix, AZ
1,Avnet,2018-08-08,1 day ago,Electronics,Network Solutions Engineer - Cisco,Agoura Hills, CA
2,Avnet,2018-08-07,2 days ago,Electronics,Payroll Support III,,
3,Avnet,2018-08-07,2 days ago,Electronics,"Rep., Inside Sales II",,
4,Avnet,2018-07-11,29 days ago,Electronics,Inventory Rep II,Chandler, AZ
5,Avnet,2018-07-27,13 days ago,Electronics,Internship - DotNET Developer,Milwaukee, WI
6,Avnet,2018-07-10,30+ days ago,Electronics,Customer Care Representative,Richfield, OH
7,Avnet,2018-07-10,30+ days ago,Electronics,Supplier Professional II,Tempe, AZ
8,Avnet,2018-07-10,30+ days ago,Electronics,"Sr. Specialist, Credit Card",Phoenix, AZ
9,Avnet,2018-07-10,30+ days ago,Electronics,Supplier Professional II,San Jose, CA
10,Avnet,2018-08-07,2 days ago,Electronics,Account Manager III,Huntsville, AL
11,Avnet,2018-07-10,30+ days ago,Electronics,Social Media Manager,Phoenix, AZ
12,Avnet,2018-07-25,15 days ago,Electronics,Global Operations Manager,Phoenix, AZ
13,Avnet,2018-07-10,30+ days ago,Electronics,Global Customer Service Supervisor,Phoenix, AZ
14,Avnet,2018-07-17,23 days ago,Electronics,"Manager, Customer Solutions Program II",Boston, MA
15,Avnet,2018-07-12,28 days ago,Electronics,"Specialist, Corporate Communications III",Phoenix, AZ
16,Avnet,2018-07-24,16 days ago,Electronics,Digital Ambassador Program Manager,Phoenix, AZ
17,Avnet,2018-07-13,27 days ago,Electronics,Strategic Program Manager,Phoenix, AZ
18,Avnet,2018-08-07,2 days ago,Electronics,"Analyst, SAP Business - EM",Phoenix, AZ
19,Avnet,2018-07-10,30+ days ago,Electronics,Graphic Designer,Phoenix, AZ
20,Avnet,2018-07-10,30+ days ago,Electronics,"Specialist, Marketing Campaigns and Media II",Phoenix, AZ
21,Avnet,2018-07-10,30+ days ago,Electronics,Customer Solutions Program Manager II,Boston, MA
22,Avnet,2018-07-10,30+ days ago,Electronics,Account Manager II - El Paso,,
23,Avnet,2018-07-10,30+ days ago,Electronics,Internship - Supply Chain Software Consultant/Programmer,Milwaukee, WI
24,Avnet,2018-07-24,16 days ago,Electronics,Systems Analyst/Developer I,Phoenix, AZ
25,Avnet,2018-07-10,30+ days ago,Electronics,"Engineer, Field Application II",Philadelphia, PA
26,Avnet,2018-08-07,2 days ago,Electronics,Purchasing Manager (Electronics),San Diego, CA
27,Avnet,2018-07-10,30+ days ago,Electronics,Channel Development Manager,Grand Rapids, MI
28,Avnet,2018-07-10,30+ days ago,Electronics,Field Application Engineer III,Orlando, FL
29,Avnet,2018-08-07,2 days ago,Electronics,Integrated Solutions Manager,Washington, MA
30,Avnet,2018-07-10,30+ days ago,Electronics,Regional Sales Manager - Northwest Region,San Francisco, CA
31,Avnet,2018-07-10,30+ days ago,Electronics,Key Account Manager,Phoenix, AZ
32,Avnet,2018-07-10,30+ days ago,Electronics,Sales Operations Sr. Analyst,Austin, TX
33,Avnet,2018-07-10,30+ days ago,Electronics,Technical Sales Engineer - Xilinx,San Francisco, CA
34,Avnet,2018-08-02,7 days ago,Electronics,Front-End Software Engineer II,Boston, MA
35,Avnet,2018-07-10,30+ days ago,Electronics,Channel Sales Manager - Central,Austin, TX
36,Avnet,2018-07-10,30+ days ago,Electronics,Field Applications Engineer IV - Xilinx,New York, NY
37,Avnet,2018-07-10,30+ days ago,Electronics,Data Center Solutions Business Development Manager III,San Francisco, CA
38,Avnet,2018-07-20,20 days ago,Electronics,"Analyst/Developer, Systems III",Boston, MA
39,Avnet,2018-07-10,30+ days ago,Electronics,"Marketing Manager, Advanced Automotive Analog",Novi, MI
40,Avnet,2018-08-08,1 day ago,Electronics,Network Solutions Engineer - Cisco,Agoura Hills, CA
41,Avnet,2018-07-10,30+ days ago,Electronics,Key Account Manager,Phoenix, AZ
42,Avnet,2018-07-10,30+ days ago,Electronics,Sales Operations Sr. Analyst,Austin, TX
43,Avnet,2018-07-10,30+ days ago,Electronics,Technical Sales Engineer - Xilinx,San Francisco, CA
44,Avnet,2018-08-02,7 days ago,Electronics,Front-End Software Engineer II,Boston, MA
45,Avnet,2018-07-10,30+ days ago,Electronics,Channel Sales Manager - Central,Austin, TX
46,Avnet,2018-07-10,30+ days ago,Electronics,Field Applications Engineer IV - Xilinx,New York, NY
47,Avnet,2018-07-10,30+ days ago,Electronics,Data Center Solutions Business Development Manager III,San Francisco, CA
48,Avnet,2018-07-20,20 days ago,Electronics,"Analyst/Developer, Systems III",Boston, MA
49,Avnet,2018-07-10,30+ days ago,Electronics,"Marketing Manager, Advanced Automotive Analog",Novi, MI
50,Avnet,2018-08-08,1 day ago,Electronics,Network Solutions Engineer - Cisco,Agoura Hills, CA
