,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,BP,2018-08-04,5 days ago,Oil & Gas Operations,Distribution Technician,Warminster, PA
1,BP,2018-07-28,12 days ago,Oil & Gas Operations,Pipeline Controller,Tulsa, OK
2,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Pricebook Analyst,Los Angeles, CA
3,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Customer Experience Specialist - HR Services,Houston, TX
4,BP,2018-08-01,8 days ago,Oil & Gas Operations,Lab Technician,Blaine, WA
5,BP,2018-07-22,18 days ago,Oil & Gas Operations,Customer Service,Mount Juliet, TN
6,BP,2018-07-25,15 days ago,Oil & Gas Operations,Leadership Administrative Assistant,Denver, CO
7,BP,2018-07-10,30+ days ago,Oil & Gas Operations,"Customer Experience Assistant, Mail Processing",Houston, TX
8,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Operations Technician,Warminster, PA
9,BP,2018-07-26,14 days ago,Oil & Gas Operations,O&M Team Leader,Dubuque, IA
10,BP,2018-07-18,22 days ago,Oil & Gas Operations,Right of Way Agent,Chicago, IL
11,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Condition Monitoring Technician,Whiting, IN
12,BP,2018-08-01,8 days ago,Oil & Gas Operations,Technology Associate,Houston, TX
13,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Inventory Management Coordinator,Toledo, OH
14,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Workforce Administration Specialist - HR Services,Houston, TX
15,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Organisational Data Specialist - HR Services,Houston, TX
16,BP,2018-08-01,8 days ago,Oil & Gas Operations,Turnaround Specialist,Whiting, IN
17,BP,2018-08-01,8 days ago,Oil & Gas Operations,Treasury Analyst,Naperville, IL
18,BP,2018-07-28,12 days ago,Oil & Gas Operations,Inspection Team Lead,Blaine, WA
19,BP,2018-07-31,9 days ago,Oil & Gas Operations,Whiting Project Team Operations Metrics & Data Analyst,Whiting, IN
20,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Ethics & Compliance Analyst,Chicago, IL
21,BP,2018-08-04,5 days ago,Oil & Gas Operations,Regional Contract Analyst,Chicago, IL
22,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Plant Security Officer-EMT,Whiting, IN
23,BP,2018-07-18,22 days ago,Oil & Gas Operations,Team Lead Refinery Planning,Chicago, IL
24,BP,2018-07-12,28 days ago,Oil & Gas Operations,Turnaround Event Manager,Whiting, IN
25,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Reporting and Data Specialist - HR Services,Houston, TX
26,BP,2018-07-27,13 days ago,Oil & Gas Operations,Facilities Supervisor,Whiting, IN
27,BP,2018-07-26,14 days ago,Oil & Gas Operations,"Paralegal, Dispute Resolution",Houston, TX
28,BP,2018-08-04,5 days ago,Oil & Gas Operations,Digital Brand Communication Manager: Consumer Communications,Chicago, IL
29,BP,2018-07-10,30+ days ago,Oil & Gas Operations,Operational Excellence Manager,Texas City, TX
30,BP,2018-08-01,8 days ago,Oil & Gas Operations,Project Progress Measurement Specialist,Whiting, IN
31,BP,2018-07-23,17 days ago,Oil & Gas Operations,Supply Planner,Wayne, NJ
32,BP,2018-07-28,12 days ago,Oil & Gas Operations,After-Sales Warranty Support Representative – German Speaking,Naperville, IL
