,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Baker Hughes,,,Oil Services & Equipment,"Field Operator (Wireline) - Victoria, TX",Victoria, TX
1,Baker Hughes,2018-08-02,7 days ago,Oil Services & Equipment,"Roustabout / Floor Hand (Drilling Rig / Training) Tomball, TX",Tomball, TX
2,Baker Hughes,2018-07-20,20 days ago,Oil Services & Equipment,"Operations Support Administrator - Houston, TX",Houston, TX
3,Baker Hughes,2018-07-29,11 days ago,Oil Services & Equipment,Help Wanted,Broken Arrow, OK
4,Baker Hughes,2018-08-08,1 day ago,Oil Services & Equipment,"Warehouseperson (Completions) - Houston, TX",Houston, TX
5,Baker Hughes,2018-07-23,17 hours ago,Oil Services & Equipment,"Inventory Specialist - Andrews, TX",Andrews, TX
6,Baker Hughes,2018-07-10,30+ days ago,Oil Services & Equipment,"Inventory Expeditor (Chemicals Manufacturing) Pasadena, TX",Pasadena, TX
7,Baker Hughes,2018-07-26,14 days ago,Oil Services & Equipment,"Customer Service Representative (Downstream) Sugar Land, TX / Tulsa or Sand Springs, OK",Sugar Land, TX
8,Baker Hughes,2018-07-10,30+ days ago,Oil Services & Equipment,"Logistics - 1st Shift (Artificial Lift) Midland, TX",Midland, TX
9,Baker Hughes,2018-08-08,1 day ago,Oil Services & Equipment,"Directional Driller - Shafter, CA",Shafter, CA
10,Baker Hughes,2018-08-08,1 day ago,Oil Services & Equipment,"Remote Operations Specialist - Houston, TX",Houston, TX
11,Baker Hughes,2018-07-27,13 days ago,Oil Services & Equipment,"Logistics Specialist - Shafter, CA",Shafter, CA
12,Baker Hughes,2018-07-19,21 days ago,Oil Services & Equipment,"Customer Service Representative (Wireline) - Hempstead, TX",Hempstead, TX
13,Baker Hughes,2018-08-02,7 days ago,Oil Services & Equipment,"Electronic Assembler (Wireline) - Houston, TX",Houston, TX
14,Baker Hughes,2018-07-26,14 days ago,Oil Services & Equipment,"Remote Operations Specialist (Remote Operations & Managed Services) Houston, TX",Houston, TX
15,Baker Hughes,2018-07-10,30+ days ago,Oil Services & Equipment,"Warehouse Person (Drilling Services) Oklahoma, City",Oklahoma City, OK
16,Baker Hughes,2018-07-19,21 days ago,Oil Services & Equipment,"Service Desk Associate (Digital Technology) - The Woodlands, TX",The Woodlands, TX
17,Baker Hughes,2018-08-07,2 days ago,Oil Services & Equipment,"Support Operator - Rotating 12 hour shift (Manufacturing Chemicals) - Pasadena, TX",Pasadena, TX
18,Baker Hughes,2018-08-03,6 days ago,Oil Services & Equipment,"Document Specialist (Artificial Lift) Claremore, OK",Claremore, OK
19,Baker Hughes,2018-07-24,16 days ago,Oil Services & Equipment,"Laborer (Chemicals) Barnsdall, OK",Barnsdall, OK
20,Baker Hughes,2018-07-10,30+ days ago,Oil Services & Equipment,"Warehouseperson (Artificial Lift) Claremore, OK",Claremore, OK
21,Baker Hughes,2018-07-24,16 days ago,Oil Services & Equipment,"Warehouseperson - 2nd Shift (Artificial Lift) Tulsa, OK",Tulsa, OK
22,Baker Hughes,2018-07-10,30 days ago,Oil Services & Equipment,"Warehouse/Mud Plant Operator (Drilling Fluids), Clarksburg, VA",Clarksburg, WV
23,Baker Hughes,2018-07-27,13 days ago,Oil Services & Equipment,"Dispatcher (Artificial Lift) - Midland, TX",Midland, TX
24,Baker Hughes,2018-08-04,5 days ago,Oil Services & Equipment,"ARMO Technician (Artificial Lift) 2nd Shift - Minot, ND",Minot, ND
25,Baker Hughes,2018-08-03,6 days ago,Oil Services & Equipment,"Solids Control Technician (DCF) Clarksburg, WV",Clarksburg, WV
