,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Barclays,,,Major Banks,Sales Account Representative,Sunnyvale, CA
1,Barclays,,,Major Banks,Senior Performance Technician,Lincolnshire, IL
2,Barclays,,,Major Banks,"Financial Sales Associate, Inside Wholesaler",Scottsdale, AZ
3,Barclays,2018-07-21,19 hours ago,Major Banks,Assembler 3,Barclay, MD
4,Barclays,2018-07-24,16 days ago,Major Banks,Help Wanted,Princeton, NJ
5,Barclays,2018-08-08,1 day ago,Major Banks,Paymaster,New York, NY
6,Barclays,2018-08-04,5 days ago,Major Banks,Retail Store Associate,Brooklyn, NY
7,Barclays,2018-07-10,30+ days ago,Major Banks,Help Wanted,Milwaukee, WI
8,Barclays,2018-08-02,7 days ago,Major Banks,Environmental Services Technician (Laborer),New York, NY
9,Barclays,2018-07-14,26 days ago,Major Banks,Grain Bin Builder,Rice, MN
10,Barclays,2018-07-10,30+ days ago,Major Banks,"barista - Store# 17727, BARCLAYS ARENA",Brooklyn, NY
11,Barclays,2018-07-10,30+ days ago,Major Banks,Receptionist/Office Assistant,Houston, TX
12,Barclays,2018-08-04,5 days ago,Major Banks,Human Resources Assistant,Brooklyn, NY
13,Barclays,,,Major Banks,Application Engineer,Washington, DC
14,Barclays,,,Major Banks,SVP Model Validation,New York, NY
15,Barclays,,,Major Banks,Lift Truck Shop Technicians,South Plainfield, NJ
16,Barclays,2018-07-21,19 hours ago,Major Banks,Accounts Payable Analyst,Wilmington, DE
17,Barclays,2018-07-31,9 days ago,Major Banks,Cashiers/ Counter staff,Bronx, NY
18,Barclays,2018-07-30,10 days ago,Major Banks,Cashier,Wilmington, NC
19,Barclays,2018-07-21,19 hours ago,Major Banks,Painter 2,Barclay, MD
20,Barclays,2018-07-25,15 days ago,Major Banks,Wait Staff - FT - Sign-On Bonus,West Chester, PA
21,Barclays,2018-08-07,2 days ago,Major Banks,Parts Speciaist - Forklifts,South Plainfield, NJ
22,Barclays,2018-08-01,8 days ago,Major Banks,Levys @ The Barclay Center,Bronx, NY
23,Barclays,2018-07-27,13 days ago,Major Banks,"Research Assistant, Financial Services",,
24,Barclays,2018-07-10,30+ days ago,Major Banks,Housekeeping Aide,Cherry Hill, NJ
25,Barclays,2018-07-11,29 days ago,Major Banks,Summer Associate,Summer, NC
26,Barclays,,,Major Banks,Operational Risk Analyst - AVP,Atlanta, GA
27,Barclays,,,Major Banks,Asset Management Auditor,New York, NY
28,Barclays,,,Major Banks,"Senior Director - Head of Data Analytics, Internal Audit",New York, NY
29,Barclays,,,Major Banks,Compliance Auditor,New York, NY
30,Barclays,,,Major Banks,Audit Director,New York, NY
31,Barclays,2018-07-10,30+ days ago,Major Banks,Islanders Ice Crew Team Member,Uniondale, NY
32,Barclays,2018-07-22,18 days ago,Major Banks,Fixed Income Research Analyst,Menlo Park, CA
33,Barclays,2018-07-10,30+ days ago,Major Banks,Call Center Specialist,Houston, TX
34,Barclays,2018-07-14,26 days ago,Major Banks,CASHIER (PART-TIME) at Life University,Marietta, GA
35,Barclays,2018-08-04,5 days ago,Major Banks,Prep Department Person (Full Time),Milwaukee, WI
36,Barclays,2018-07-10,30+ days ago,Major Banks,Customer Success Specialist,Houston, TX
37,Barclays,2018-07-10,30 days ago,Major Banks,Contracts Coordinator,Lynchburg, VA
38,Barclays,2018-07-10,30+ days ago,Major Banks,Debt Settlement Specialist,Houston, TX
39,Barclays,2018-07-10,30+ days ago,Major Banks,Design Associate | Barclays Accelerator powered by Techstars (FinTech),New York, NY
40,Barclays,2018-08-07,2 days ago,Major Banks,Truck Driver Helper,Watertown, MA
41,Barclays,,,Major Banks,Senior Audit Manager,New York, NY
42,Barclays,,,Major Banks,Mechanic,Dover, DE
43,Barclays,,,Major Banks,LPN- Licensed Practical Nurse,Cherry Hill, NJ
44,Barclays,,,Major Banks,Software Security Architect,,
45,Barclays,,,Major Banks,Business Continuity Consultant (6 Months) BCM – Operational Risk,New York, NY
46,Barclays,2018-07-10,30+ days ago,Major Banks,Help Wanted,Cherry Hill, NJ
47,Barclays,2018-07-12,28 days ago,Major Banks,"Coordinator, Social Media",Brooklyn, NY
48,Barclays,2018-07-10,30+ days ago,Major Banks,Environmental Services Technician (on an as needed basis),Rockville, MD
49,Barclays,2018-07-14,26 days ago,Major Banks,CASHIER (FULL-TIME) PM Shift,Marietta, GA
50,Barclays,2018-07-11,29 days ago,Major Banks,Community Builder,Denver, CO
51,Barclays,2018-08-01,8 days ago,Major Banks,Social Studies Instructor,Kalamazoo County, MI
52,Barclays,2018-07-10,30+ days ago,Major Banks,Product Manager - Chicago or Stateside,Chicago, IL
53,Barclays,2018-08-03,6 days ago,Major Banks,Regulatory Analyst - Financial Crime Group Policies,Wilmington, DE
54,Barclays,2018-07-10,30+ days ago,Major Banks,Legal Analyst,Manhattan, NY
55,Barclays,2018-07-10,30+ days ago,Major Banks,Quality Assurance Specialist,Houston, TX
56,Barclays,,,Major Banks,Asset Management Audit Director,New York, NY
57,Barclays,,,Major Banks,"AVP Internal Auditor, Capital Markets",New York, NY
58,Barclays,,,Major Banks,Operational Risk Consultant,New York, NY
59,Barclays,2018-07-25,15 days ago,Major Banks,Marketing and Communications Manager,Boulder, CO
60,Barclays,2018-07-25,15 days ago,Major Banks,Full-Time Morning DSP 1 - Park Slope,New York, NY
61,Barclays,2018-07-10,30+ days ago,Major Banks,Deal Analyst,Manhattan, NY
62,Barclays,2018-07-10,30+ days ago,Major Banks,Customer Success Representative,Beverly, MA
63,Barclays,2018-07-10,30+ days ago,Major Banks,Test Engineer,Lincolnshire, IL
64,Barclays,2018-07-10,30+ days ago,Major Banks,Parts Manager,South Plainfield, NJ
65,Barclays,2018-07-13,27 days ago,Major Banks,"IT Event Support Representative, Part-Time",New York, NY
66,Barclays,2018-07-10,30+ days ago,Major Banks,Dietary Aide,Cherry Hill, NJ
67,Barclays,2018-07-21,19 days ago,Major Banks,"Junior Pricing Analyst, Ticket Analytics",Brooklyn, NY
68,Barclays,2018-08-02,7 days ago,Major Banks,Application Engineer,Washington, DC
69,Barclays,2018-07-27,13 days ago,Major Banks,Call Center,Northborough, MA
70,Barclays,2018-07-10,30+ days ago,Major Banks,Meat Clerk,Charlotte, NC
71,Barclays,2018-07-11,29 days ago,Major Banks,Call Center/Appointment Setting,Franklin, MA
72,Barclays,2018-08-04,5 days ago,Major Banks,Automotive Service Advisers,Milwaukee, WI
73,Barclays,2018-07-10,30+ days ago,Major Banks,Call Center Specialist - Financial Services,Houston, TX
74,Barclays,2018-08-03,6 days ago,Major Banks,"Account Executive, Partnership Marketing",Brooklyn, NY
75,Barclays,2018-07-14,26 days ago,Major Banks,Full-Time Evening DSP 1 - Sunset Park,New York, NY
76,Barclays,2018-08-01,8 days ago,Major Banks,Business Analyst - Trade Capture,New York, NY
77,Barclays,2018-08-07,2 days ago,Major Banks,"Director, Premium Services",Brooklyn, NY
78,Barclays,2018-07-10,30+ days ago,Major Banks,"Financial Sales Associate, Inside Wholesaler",Scottsdale, AZ
79,Barclays,2018-07-17,23 days ago,Major Banks,Customer Service,South Plainfield, NJ
80,Barclays,2018-07-10,30+ days ago,Major Banks,Full-Time HealthCare Specialist - Park Slope,New York, NY
81,Barclays,2018-07-10,30+ days ago,Major Banks,Part-Time Environmental Services Technician (Laborer),Rockville, MD
82,Barclays,2018-07-10,30+ days ago,Major Banks,Veterinary Assistant/Receptionist,Oregon City, OR
83,Barclays,2018-08-03,6 days ago,Major Banks,Physical Therapy Technician/Receptionist,Rochester Hills, MI
84,Barclays,2018-07-26,14 days ago,Major Banks,Marketing Coordinator,West Chester, PA
85,Barclays,2018-07-21,19 days ago,Major Banks,Quality Assurance Analyst,Wilmington, DE
86,Barclays,2018-07-17,23 days ago,Major Banks,Baltimore Programs Director,Baltimore, MD
87,Barclays,2018-07-10,30+ days ago,Major Banks,BARISTA (FULL-TIME) @ Life University,Marietta, GA
88,Barclays,2018-08-02,7 days ago,Major Banks,Human Resources Generalist,New York, NY
89,Barclays,2018-07-20,20 days ago,Major Banks,Call Center Representative,Chelmsford, MA
90,Barclays,2018-07-17,23 days ago,Major Banks,Mechanics,South Plainfield, NJ
91,Barclays,2018-07-18,22 days ago,Major Banks,Project Accountant Specialist,San Francisco, CA
92,Barclays,2018-07-27,13 days ago,Major Banks,Call Center/Customer Service,Northborough, MA
93,Barclays,2018-07-15,25 days ago,Major Banks,Housekeeper - Every Other Weekend - 3pm-1130pm,West Chester, PA
94,Barclays,2018-08-04,5 days ago,Major Banks,Car Wash Operator- Part Time,Milwaukee, WI
95,Barclays,2018-07-19,21 days ago,Major Banks,Cooling Tower Cleaning Supervisor,Baltimore, MD
96,Barclays,2018-07-10,30+ days ago,Major Banks,"Vice President, Security",New York, NY
97,Barclays,2018-08-02,7 days ago,Major Banks,HR Coordinator,Northborough, MA
98,Barclays,2018-08-01,8 days ago,Major Banks,Paralegal - Employment/Litigation,New York, NY
99,Barclays,2018-07-20,20 hours ago,Major Banks,"Asset Management - Fixed Income Middle Office, Associate",New York, NY
100,Barclays,2018-07-10,30 days ago,Major Banks,Social Media Marketing Lead,Wilmington, DE
101,Barclays,2018-07-31,9 days ago,Major Banks,"Instructor, SAT and/or ACT Preparation Courses",San Diego, CA
102,Barclays,2018-07-10,30+ days ago,Major Banks,Staff Accountant,Boulder, CO
103,Barclays,2018-07-10,30+ days ago,Major Banks,Floor Tech,Cherry Hill, NJ
104,Barclays,2018-07-22,18 days ago,Major Banks,Sales Account Representative,Sunnyvale, CA
105,Barclays,2018-07-25,15 hours ago,Major Banks,"Maintenance Manager, manufacturing",Nashua, NH
106,Barclays,2018-07-25,15 hours ago,Major Banks,HR Senior Manager,Durham, NH
107,Barclays,2018-07-17,23 days ago,Major Banks,FOOD SERVICE UTILITY (FULL-TIME) @ Life University,Marietta, GA
108,Barclays,2018-08-08,1 day ago,Major Banks,Business Intelligence (BI) Analyst,Houston, TX
109,Barclays,2018-07-10,30+ days ago,Major Banks,"shift supervisor - Store# 17727, BARCLAYS ARENA",Brooklyn, NY
110,Barclays,2018-07-17,23 days ago,Major Banks,After School Instructor,New Orleans, LA
111,Barclays,2018-07-24,16 days ago,Major Banks,Director - Stress Testing,New York, NY
112,Barclays,2018-08-01,8 days ago,Major Banks,Developer,New York, NY
113,Barclays,2018-07-10,30+ days ago,Major Banks,Customer Service Supervisor,Barclay, MD
114,Barclays,2018-07-10,30+ days ago,Major Banks,Quality Assurance Specialist (Bilingual - Spanish),Houston, TX
115,Barclays,2018-08-02,7 days ago,Major Banks,WE Club Advisor - Afterschool Fieldston Middle,New York, NY
116,Barclays,2018-07-12,28 days ago,Major Banks,Server and Bartender,Charlotte, NC
117,Barclays,2018-07-10,30+ days ago,Major Banks,Account Project Manager,Brentwood, TN
118,Barclays,2018-07-22,18 days ago,Major Banks,Part-Time Retail Sales Associate,Rochester Hills, MI
119,Barclays,2018-07-31,9 days ago,Major Banks,"Instructor, LSAT, GMAT and/or GRE Preparation Courses",San Diego, CA
120,Barclays,2018-07-10,30+ days ago,Major Banks,Quality Control Compliance Specialist,Houston, TX
121,Barclays,2018-07-17,23 days ago,Major Banks,Nursing,Cherry Hill, NJ
122,Barclays,2018-07-26,14 days ago,Major Banks,"Audio/Video Technical Coordinator, Part-Time",New York, NY
123,Barclays,2018-08-08,1 day ago,Major Banks,Information Security Analyst,Palo Alto, CA
124,Barclays,2018-08-03,6 days ago,Major Banks,Director of Marketing,Brooklyn, NY
125,Barclays,2018-07-10,30+ days ago,Major Banks,Business Analyst,Brooklyn, NY
126,Barclays,2018-08-08,1 day ago,Major Banks,Executive Chef,Brooklyn, NY
127,Barclays,2018-07-22,18 days ago,Major Banks,Territory Manager,Hartford, CT
128,Barclays,2018-07-10,30+ days ago,Major Banks,Meat Cutter,Charlotte, NC
129,Barclays,2018-07-10,30+ days ago,Major Banks,IT Support Analyst,Lynchburg, VA
130,Barclays,2018-07-25,15 days ago,Major Banks,Secretary to the Principal - Barclay Hills Education Center,Kalamazoo County, MI
131,Barclays,2018-08-02,7 days ago,Major Banks,Compliance Analyst,Manhattan, NY
132,Barclays,2018-07-22,18 days ago,Major Banks,Team Leader/ChemOps,Charleston, SC
133,Barclays,2018-07-26,14 days ago,Major Banks,Sales Representative,Auburn, MA
134,Barclays,2018-07-15,25 days ago,Major Banks,Operational Risk Opportunities (Highly competitive compensation package),New York, NY
135,Barclays,2018-07-25,15 days ago,Major Banks,FOOD SERVICE WORKER/CASHIER (FULL-TIME) Several openings at Life University,Marietta, GA
136,Barclays,2018-07-10,30+ days ago,Major Banks,IT Recruiting Lead - Producing,Montvale, NJ
137,Barclays,2018-07-24,16 days ago,Major Banks,Financial Analyst - Treasury,New York, NY
138,Barclays,2018-07-10,30+ days ago,Major Banks,Investment Risk Analyst,Boston, MA
139,Barclays,2018-08-01,8 days ago,Major Banks,Science Teacher,Kalamazoo County, MI
140,Barclays,2018-07-10,30+ days ago,Major Banks,Lift Truck Shop Technicians,South Plainfield, NJ
141,Barclays,2018-07-28,12 days ago,Major Banks,Shop Mechanic,South Plainfield, NJ
142,Barclays,2018-07-10,30+ days ago,Major Banks,Sales Specialist,Boston, MA
143,Barclays,2018-07-10,30+ days ago,Major Banks,Experienced Structural Steel Welder/Fitter,Lynchburg, VA
144,Barclays,2018-07-10,30+ days ago,Major Banks,Operations Manager,Barclay, MD
145,Barclays,2018-07-18,22 days ago,Major Banks,Technical Leader - Chicago or Stateside USA,Chicago, IL
146,Barclays,2018-07-24,16 days ago,Major Banks,Staff Accountant,Beverly, MA
147,Barclays,2018-08-01,8 days ago,Major Banks,Maintenance Technician,Bethesda, MD
148,Barclays,2018-07-10,30+ days ago,Major Banks,Customer Success Specialist - Bilingual (Spanish),Houston, TX
149,Barclays,2018-07-10,30+ days ago,Major Banks,"Security Supervisor, PT",New York, NY
150,Barclays,2018-07-20,20 days ago,Major Banks,Environmental Group Manager,Newton, MA
151,Barclays,2018-07-20,20 days ago,Major Banks,Channel Marketing Manager,Lincolnshire, IL
152,Barclays,2018-07-24,16 days ago,Major Banks,Software Archtect,Arlington, VA
153,Barclays,2018-07-21,19 days ago,Major Banks,Mechanic,Dover, DE
154,Barclays,2018-07-10,30+ days ago,Major Banks,Prep Cook,Cherry Hill, NJ
155,Barclays,2018-08-04,5 days ago,Major Banks,Senior Revenue Operations Specialist,Palo Alto, CA
156,Barclays,2018-08-03,6 days ago,Major Banks,Resourcing Performance Manager,New York, NY
157,Barclays,2018-07-10,30+ days ago,Major Banks,Vice President Compliance,Houston, TX
158,Barclays,2018-07-10,30+ days ago,Major Banks,Research Strategist,Boston, MA
159,Barclays,2018-07-14,26 days ago,Major Banks,Licensed Cosmetologist,Wilmington, NC
160,Barclays,2018-07-21,19 days ago,Major Banks,Baltimore OST Program Manager,Baltimore, MD
161,Barclays,2018-07-24,16 days ago,Major Banks,Compliance Manager - Monitoring +Testing,New York, NY
162,Barclays,2018-07-10,30+ days ago,Major Banks,LIBOR Project Manager,New York, NY
163,Barclays,2018-08-05,4 days ago,Major Banks,"CNA Full Time, 1st Shift, Skilled Nursing",Newtown, PA
164,Barclays,2018-07-10,30+ days ago,Major Banks,Steel Welder/Fitter Experienced,South Plainfield, NJ
165,Barclays,2018-07-20,20 hours ago,Major Banks,"Asset Management - Operations Manager Collateral, Vice President",New York, NY
166,Barclays,2018-07-22,18 days ago,Major Banks,Data Science & Machine Learning Team,New York, NY
167,Barclays,2018-08-02,7 days ago,Major Banks,Area Sales Manager,Pittsburgh, PA
168,Barclays,2018-07-24,16 days ago,Major Banks,Enterprise Sales Representative,Waltham, MA
169,Barclays,2018-07-27,13 days ago,Major Banks,Marketing Communications Manager,New York, NY
170,Barclays,2018-07-18,22 days ago,Major Banks,Inside Sales Representative,Nashua, NH
171,Barclays,2018-07-27,13 days ago,Major Banks,Data Engineer,Beverly, MA
172,Barclays,2018-08-04,5 days ago,Major Banks,ETL Developer( Pl/Sql Hadoop),Wilmington, DE
173,Barclays,2018-07-24,16 days ago,Major Banks,Marketing Lead,Wilmington, DE
174,Barclays,2018-07-18,22 days ago,Major Banks,Inside Sales Supervisor,Dover, DE
175,Barclays,2018-07-26,14 days ago,Major Banks,COOK (FULL-TIME) Several openings at Life University,Marietta, GA
176,Barclays,2018-07-27,13 days ago,Major Banks,Finance Analyst,Durham, NH
177,Barclays,2018-07-11,29 days ago,Major Banks,Middle School Science Teacher,Baltimore, MD
178,Barclays,2018-07-10,30+ days ago,Major Banks,Project Manager (New Product Development),Lincolnshire, IL
179,Barclays,2018-07-10,30+ days ago,Major Banks,Digital Marketing Manager,New York, NY
180,Barclays,2018-07-13,27 days ago,Major Banks,Sales Manager - Parts and Service,South Plainfield, NJ
181,Barclays,2018-07-10,30+ days ago,Major Banks,Head of Account Management - Americas,New York, NY
182,Barclays,2018-07-10,30+ days ago,Major Banks,Sales Manager- Accomplish More,Brooklyn, NY
183,Barclays,2018-07-17,23 days ago,Major Banks,Torts & Insurance Attorney,Albany, NY
184,Barclays,2018-07-10,30+ days ago,Major Banks,Debt Solutions Sales Specialist,Beverly, MA
185,Barclays,2018-07-10,30+ days ago,Major Banks,"HTML 5, Angular Developer",New York, NY
186,Barclays,2018-07-22,18 hours ago,Major Banks,Corporate Recruiter,Whippany, NJ
187,Barclays,2018-07-26,14 days ago,Major Banks,Certified Nursing Assistant -FT- Evening Shift - Sign-On Bonus,West Chester, PA
188,Barclays,2018-07-10,30+ days ago,Major Banks,Dev Ops Engineer,New York, NY
189,Barclays,2018-07-10,30+ days ago,Major Banks,Data Analyst - Fraud Risk Management,Wilmington, DE
190,Barclays,2018-07-10,30+ days ago,Major Banks,Corporate Attorney,Buffalo, NY
191,Barclays,2018-07-25,15 days ago,Major Banks,Need Network Engineer,Wilmington, DE
192,Barclays,2018-08-03,6 days ago,Major Banks,Director of Demand Generation,New York, NY
193,Barclays,2018-07-14,26 days ago,Major Banks,FOOD SVC WORKER/CASHIER (PART-TIME) Several openings at LIfe University,Marietta, GA
194,Barclays,2018-07-20,20 days ago,Major Banks,Operational Risk Analyst - AVP,Atlanta, GA
195,Barclays,2018-07-28,12 days ago,Major Banks,Credit Review Auditor,New York, NY
196,Barclays,2018-07-18,22 days ago,Major Banks,Sales Program Consultant - Bilingual (Spanish),Beverly, MA
