,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Berkshire Hathaway,,,Investment Services,Auto Damage Adjuster Trainee,Seattle, WA
1,Berkshire Hathaway,2018-08-08,1 day ago,Investment Services,Automotive Service Advisor- Berkshire Hathaway Automotive,Phoenix, AZ
2,Berkshire Hathaway,,,Investment Services,Sales Representative,Carlsbad, NM
3,Berkshire Hathaway,,,Investment Services,Attorney I - Concord/San Francisco,San Francisco, CA
4,Berkshire Hathaway,2018-07-31,9 days ago,Investment Services,Claims Professional Trainee - Entry Level - Workers Compensation,Omaha, NE
5,Berkshire Hathaway,2018-08-02,7 days ago,Investment Services,Claims Adjuster Trainee (Spanish Speaker Preferred),San Francisco, CA
6,Berkshire Hathaway,2018-08-03,6 days ago,Investment Services,Claims Associate Trainee,Northbrook, IL
7,Berkshire Hathaway,2018-07-31,9 days ago,Investment Services,Underwriting Support Specialist - Data Entry,Sacramento, CA
8,Berkshire Hathaway,2018-08-08,1 day ago,Investment Services,Customer Service Representative,Salt Lake City, UT
9,Berkshire Hathaway,2018-08-04,5 hours ago,Investment Services,Mailroom Clerk,Getzville, NY
10,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Customer Service Specialist,Alexandria, VA
11,Berkshire Hathaway,2018-07-25,15 days ago,Investment Services,Data Entry Technician,West Palm Beach, FL
12,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Auto Damage Adjuster Trainee,Longview, TX
13,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Claims Professional Trainee,San Diego, CA
14,Berkshire Hathaway,,,Investment Services,Emergency Roadside Service Representative - Entry Level,Macon, GA
15,Berkshire Hathaway,,,Investment Services,Liability Claims Representative,San Diego, CA
16,Berkshire Hathaway,,,Investment Services,Non-CDL Delivery Driver - Everett,Everett, WA
17,Berkshire Hathaway,,,Investment Services,Ecommerce Business Analyst,Albuquerque, NM
18,Berkshire Hathaway,2018-07-31,9 days ago,Investment Services,Help Wanted,Wentzville, MO
19,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Help Wanted,Sparta, NJ
20,Berkshire Hathaway,2018-07-24,16 days ago,Investment Services,Medical Claims Specialist - Entry Level,Omaha, NE
21,Berkshire Hathaway,2018-08-06,3 days ago,Investment Services,Railroad Safety Inspector-Signal and Train Control,Peoria, IL
22,Berkshire Hathaway,2018-07-27,13 days ago,Investment Services,Underwriting Analyst Trainee,Rancho Cordova, CA
23,Berkshire Hathaway,2018-07-24,16 days ago,Investment Services,Entry Level Programmer,Weatherford, TX
24,Berkshire Hathaway,2018-08-06,3 hours ago,Investment Services,Railroad Safety Inspector - Operating Practices,Des Moines, IA
25,Berkshire Hathaway,2018-08-04,5 days ago,Investment Services,Agent Success Facilitator,West Des Moines, IA
26,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Home Building Team Member,Hermiston, OR
27,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Emergency Roadside Service Representative - Entry Level,Macon, GA
28,Berkshire Hathaway,,,Investment Services,Account Executive,Chino Valley, AZ
29,Berkshire Hathaway,,,Investment Services,Contracts & Compliance Analyst,Fredericksburg, VA
30,Berkshire Hathaway,,,Investment Services,Full-time Warehouse Worker,Albuquerque, NM
31,Berkshire Hathaway,2018-08-07,2 days ago,Investment Services,Marketing Analyst,Montvale, NJ
32,Berkshire Hathaway,2018-07-30,10 hours ago,Investment Services,Sr. Distribution Center Manager,Clifton, NJ
33,Berkshire Hathaway,2018-08-04,5 hours ago,Investment Services,Utility Worker,Malvern, AR
34,Berkshire Hathaway,2018-08-03,6 days ago,Investment Services,Post Closing Specialist,West Des Moines, IA
35,Berkshire Hathaway,2018-08-08,1 day ago,Investment Services,Audit Analyst - Insurance *Entry-Level,Omaha, NE
36,Berkshire Hathaway,2018-08-04,5 days ago,Investment Services,Home Building Team Member,Belton, TX
37,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Auto Damage Trainee,Anchorage, AK
38,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Claims Assistant - Entry Level,Omaha, NE
39,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,"Delivery Driver, Trade Show/Event-Houston ($50K Earning Potential)",Houston, TX
40,Berkshire Hathaway,2018-07-28,12 days ago,Investment Services,Help Wanted,Howell, MI
41,Berkshire Hathaway,2018-07-30,10 hours ago,Investment Services,Gas Controller I/II/Sr.,Salt Lake City, UT
42,Berkshire Hathaway,2018-07-18,22 days ago,Investment Services,Agent,Lakewood, CA
43,Berkshire Hathaway,,,Investment Services,IT Architect,Indianapolis, IN
44,Berkshire Hathaway,,,Investment Services,Director of Management Development,Chevy Chase, MD
45,Berkshire Hathaway,2018-07-20,20 hours ago,Investment Services,Sales Associate/ Consultant (Real Estate),Peachtree City, GA
46,Berkshire Hathaway,,,Investment Services,Sr. Buyer,Montvale, NJ
47,Berkshire Hathaway,,,Investment Services,Operations Manager,Indianapolis, IN
48,Berkshire Hathaway,2018-07-10,30+ days ago,Investment Services,Front Desk Receptionist,Santa Rosa, CA
