,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,Best Buy Sales Consultant – Computing and DI,Mountain View, CA
1,Best Buy,2018-07-30,10 hours ago,Computer & Electronics Retail,Front End Leader,Saint Cloud, MN
2,Best Buy,2018-08-07,2 days ago,Computer & Electronics Retail,Executive Assistant - Office of the CEO,Richfield, MN
3,Best Buy,2018-07-30,10 hours ago,Computer & Electronics Retail,Best Buy Store Phone Operator,Wausau, WI
4,Best Buy,2018-07-29,11 days ago,Computer & Electronics Retail,Best Buy Mobile Sales Consultant,Goleta, CA
5,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Best Buy Sales Consultant – Computing and DI,Goleta, CA
6,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Inventory Specialist,Goleta, CA
7,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Customer Service Specialist,Goleta, CA
8,Best Buy,2018-07-31,9 days ago,Computer & Electronics Retail,"Sales Consultant, Home Theater, Appliances, Gaming, and Entertainment",Goleta, CA
9,Best Buy,2018-07-28,12 days ago,Computer & Electronics Retail,Best Buy Distribution Area Manager,Buford, GA
10,Best Buy,2018-07-20,20 days ago,Computer & Electronics Retail,General Warehouse Worker,Polk City, FL
11,Best Buy,2018-08-01,8 days ago,Computer & Electronics Retail,DC General Warehouse Worker,Dublin, GA
12,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Geek Squad Consultation Agent,Goleta, CA
13,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Merchandising Specialist,Goleta, CA
14,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,Best Buy Apple Computing Master,Phoenix, AZ
15,Best Buy,2018-07-30,10 hours ago,Computer & Electronics Retail,Inventory Specialist,Wausau, WI
16,Best Buy,,,Computer & Electronics Retail,Core Home Theater Sales Consultant,Baxter, MN
17,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,"Geek Squad In-Home Field Cadet for HT Install & Repair - Watertown, MA",Watertown, MA
18,Best Buy,2018-08-03,6 hours ago,Computer & Electronics Retail,Geek Squad Customer Care Operative Agent,Ontario, CA
19,Best Buy,2018-08-03,6 days ago,Computer & Electronics Retail,DC General Warehouse Worker Conveyable,Staunton, VA
20,Best Buy,2018-08-07,2 days ago,Computer & Electronics Retail,Best Buy Sales Consultant – Lifestyles,San Jose, CA
21,Best Buy,2018-07-11,29 days ago,Computer & Electronics Retail,DC General Warehouse Worker Seasonal Shipping Loader 1st shift,Dinuba, CA
22,Best Buy,2018-08-03,6 days ago,Computer & Electronics Retail,DC General Warehouse Worker Outbound,Staunton, VA
23,Best Buy,2018-07-20,20 days ago,Computer & Electronics Retail,RDC General Warehouse Worker Inbound,Ardmore, OK
24,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,HR Specialist - Distribution,Bolingbrook, IL
25,Best Buy,2018-07-10,30+ days ago,Computer & Electronics Retail,Best Buy AT&T Expert,Goleta, CA
26,Best Buy,2018-08-04,5 days ago,Computer & Electronics Retail,"Sales Consultant - HT, Gaming, Ent",Chino, CA
27,Best Buy,2018-08-07,2 days ago,Computer & Electronics Retail,"Sales Consultant - Gaming, Ent, DI",Dublin, CA
28,Best Buy,,,Computer & Electronics Retail,"Car Install (MECP Basic, Geek Squad)",Soquel, CA
29,Best Buy,,,Computer & Electronics Retail,"General Manager In-Training (Denver, CO)",Lone Tree, CO
30,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,"Geek Squad Appliances Cadet - Dorchester, MA",Dorchester, MA
31,Best Buy,,,Computer & Electronics Retail,"Associate Director, Data Science - Digital Fraud",Richfield, MN
32,Best Buy,,,Computer & Electronics Retail,"Geek Squad Appliance Agent-Tiffany Springs, MO-Store 1501",Bridgeton, MO
33,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,Technician/Agent. Geek Squad Advance Repair,Corona, CA
34,Best Buy,2018-08-08,1 day ago,Computer & Electronics Retail,"Best Buy Sales Supervisor, Gaming",Aventura, FL
35,Best Buy,2018-07-15,25 days ago,Computer & Electronics Retail,Sales Consultant - Gaming and Entertainment,Pembroke Pines, FL
36,Best Buy,2018-08-03,6 hours ago,Computer & Electronics Retail,Sales Consultant - Comp,San Juan, PR
37,Best Buy,2018-08-04,5 days ago,Computer & Electronics Retail,"Manager, Best Buy Appliances -157 (East Colonial)",Orlando, FL
38,Best Buy,2018-07-19,21 days ago,Computer & Electronics Retail,Help Wanted,Winter Garden, FL
39,Best Buy,2018-07-28,12 hours ago,Computer & Electronics Retail,Best Buy Apple Computing Master,Atlanta, GA
40,Best Buy,2018-08-07,2 days ago,Computer & Electronics Retail,Best Buy Sales Consultant – Digital Imaging,Thousand Oaks, CA
