,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,BorgWarner,,,Auto & Truck Parts,Assembler BorgWarner $300 SIGN ON BONUS!!!,Arden, NC
1,BorgWarner,,,Auto & Truck Parts,Assembly Setup - BorgWarner,Water Valley, MS
2,BorgWarner,2018-08-08,1 day ago,Auto & Truck Parts,Production Operator,Asheville, NC
3,BorgWarner,2018-07-13,27 days ago,Auto & Truck Parts,Production Positions,Ithaca, NY
4,BorgWarner,2018-08-06,3 days ago,Auto & Truck Parts,Help Wanted,Bellwood, IL
5,BorgWarner,2018-08-05,4 days ago,Auto & Truck Parts,Materials Associate,Seneca, SC
6,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Oakland Univeristy- Apply to BorgWarner,Auburn Hills, MI
7,BorgWarner,2018-08-01,8 days ago,Auto & Truck Parts,Production Planner,Asheville, NC
8,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Kettering University- Apply to BorgWarner,Auburn Hills, MI
9,BorgWarner,2018-07-30,10 days ago,Auto & Truck Parts,Assembly Operator - C Shift,Seneca, SC
10,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,"Assembly Operator Training Program, Off-Shifts",Seneca, SC
11,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Purdue University- Apply to BorgWarner,Auburn Hills, MI
12,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Oakland University - Apply to BorgWarner,Auburn Hills, MI
13,BorgWarner,,,Auto & Truck Parts,New Pay Rates -Hiring for BorgWarner in Water Valley!,Grenada, MS
14,BorgWarner,,,Auto & Truck Parts,Supply Chain Cooperative | Engineering Majors Preferred,Seneca, SC
15,BorgWarner,2018-08-04,5 days ago,Auto & Truck Parts,Assembly Setup - BorgWarner,Water Valley, MS
16,BorgWarner,2018-07-28,12 days ago,Auto & Truck Parts,HR Intern,Auburn Hills, MI
17,BorgWarner,2018-07-17,23 days ago,Auto & Truck Parts,Six Sigma Black Belt,Seneca, SC
18,BorgWarner,2018-08-06,3 days ago,Auto & Truck Parts,Engineering Co-op Opportunities,Ithaca, NY
19,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Production Supervisor,Water Valley, MS
20,BorgWarner,2018-07-19,21 days ago,Auto & Truck Parts,IT Network Intern,Auburn Hills, MI
21,BorgWarner,2018-08-04,5 days ago,Auto & Truck Parts,IT Security Intern,Auburn Hills, MI
22,BorgWarner,2018-08-08,1 day ago,Auto & Truck Parts,"Intern, Internal Audit",Auburn Hills, MI
23,BorgWarner,2018-07-25,15 days ago,Auto & Truck Parts,Shipping & Receiving Coordinator,Auburn Hills, MI
24,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,BorgWarner Morse Systems Engineering Graduate Rotation Program,Ithaca, NY
25,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,GSM/Prototype Coordinator Intern,Auburn Hills, MI
26,BorgWarner,2018-07-31,9 days ago,Auto & Truck Parts,Design Intern - Morse,Auburn Hills, MI
27,BorgWarner,2018-08-04,5 days ago,Auto & Truck Parts,Sr. Buyer,Dixon, IL
28,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Supply Chain Cooperative | Engineering Majors Preferred,Seneca, SC
29,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Team Leader - 2nd Shift,Seneca, SC
30,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Supply Chain Cooperative - Engineering majors preferred,Seneca, SC
31,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Safety Intern,Auburn Hills, MI
32,BorgWarner,2018-07-13,27 days ago,Auto & Truck Parts,Accounts Payable Analyst,Asheville, NC
33,BorgWarner,2018-07-10,30+ days ago,Auto & Truck Parts,Quality Engineer,Water Valley, MS
34,BorgWarner,2018-08-07,2 hours ago,Auto & Truck Parts,"Supervisor, Metrology and Metallurgy Labs",Ithaca, NY
35,BorgWarner,2018-07-19,21 days ago,Auto & Truck Parts,Engineering Intern,Auburn Hills, MI
36,BorgWarner,2018-08-01,8 days ago,Auto & Truck Parts,Customer Quality Engineer,Asheville, NC
37,BorgWarner,2018-08-08,1 day ago,Auto & Truck Parts,Engineering Change Coordinator,Auburn Hills, MI
