,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Boston Properties,2018-07-28,12 hours ago,Real Estate,Boston Compliance Specialist,Boston, MA
1,Boston Properties,2018-07-23,17 hours ago,Real Estate,Superintendent,Allston, MA
2,Boston Properties,,,Real Estate,General Carpenter,Chelmsford, MA
3,Boston Properties,2018-08-08,1 day ago,Real Estate,Community Developer - Boston,Austin, TX
4,Boston Properties,2018-08-04,5 days ago,Real Estate,Associate,Baltimore, MD
5,Boston Properties,2018-08-05,4 days ago,Real Estate,Team Member,South Boston, VA
6,Boston Properties,2018-08-01,8 days ago,Real Estate,"Meteorologist, Boston",Newton, MA
7,Boston Properties,2018-08-01,8 days ago,Real Estate,Security Control Center Manager Encore Boston Harbor,Everett, MA
8,Boston Properties,2018-07-27,13 days ago,Real Estate,Restaurant Team Member-Cashier,Roseville, CA
9,Boston Properties,2018-08-04,5 days ago,Real Estate,Team Member: Food Champion,South Boston, VA
10,Boston Properties,2018-07-27,13 days ago,Real Estate,Dishwasher Restaurant Team Member,Roseville, CA
11,Boston Properties,2018-08-07,2 days ago,Real Estate,Team Member,Texarkana, TX
12,Boston Properties,2018-08-07,2 days ago,Real Estate,Crew Member,New Boston, TX
13,Boston Properties,,,Real Estate,Irrigation Crew Lead,Medway, MA
14,Boston Properties,2018-08-07,2 days ago,Real Estate,Carpenter,Allston, MA
15,Boston Properties,,,Real Estate,Network Service Delivery Technician,Cranston, RI
16,Boston Properties,,,Real Estate,Landscape Gardener,Lynnfield, MA
17,Boston Properties,2018-07-27,13 days ago,Real Estate,Crew Member,Milford, CT
18,Boston Properties,2018-07-24,16 days ago,Real Estate,Usher/Ticket Taker/Guest Relations -Beacon,New York, NY
19,Boston Properties,2018-08-01,8 days ago,Real Estate,"Field Property Claims Adjuster - Boston, MA",Boston, MA
20,Boston Properties,2018-08-07,2 days ago,Real Estate,Sales Assistant (NBC Boston),Newton, MA
21,Boston Properties,2018-07-27,13 days ago,Real Estate,Cashier Restaurant Team Member,Ocala, FL
22,Boston Properties,2018-07-10,30+ days ago,Real Estate,Crew Member,Boston, MA
23,Boston Properties,2018-08-06,3 days ago,Real Estate,Crew Member,Orange, CT
24,Boston Properties,2018-07-31,9 days ago,Real Estate,Server,Portsmouth, OH
25,Boston Properties,2018-07-25,15 days ago,Real Estate,Entry Level Team Member,Boston, MA
26,Boston Properties,2018-08-03,6 days ago,Real Estate,Manager of Sound & Video Encore Boston Harbor,Everett, MA
27,Boston Properties,,,Real Estate,Billing Representative,Boston, MA
28,Boston Properties,,,Real Estate,CFO - Boutique Real Estate Investment Firm north of Boston,Melrose, MA
29,Boston Properties,,,Real Estate,Financial Analyst,Boston, MA
30,Boston Properties,,,Real Estate,Handyman / Maintenance Technician,Somerville, MA
31,Boston Properties,,,Real Estate,Sr. Research Associate- Energy Materials,Billerica, MA
32,Boston Properties,2018-08-01,8 days ago,Real Estate,Usher,Springfield, MA
33,Boston Properties,2018-08-05,4 days ago,Real Estate,Server,Boston, MA
34,Boston Properties,2018-08-03,6 days ago,Real Estate,Host,Boston, MA
35,Boston Properties,2018-08-01,8 days ago,Real Estate,Box Office / Cashier,Springfield, MA
36,Boston Properties,2018-07-18,22 days ago,Real Estate,Host,Milford, CT
37,Boston Properties,2018-07-28,12 hours ago,Real Estate,Boston Compliance Specialist,Boston, MA
38,Boston Properties,2018-08-05,4 days ago,Real Estate,Host,Boston, MA
39,Boston Properties,2018-07-10,30+ days ago,Real Estate,Team Member,Old Saybrook, CT
40,Boston Properties,2018-08-08,1 day ago,Real Estate,Restaurant Server,Baltimore, MD
41,Boston Properties,2018-07-26,14 hours ago,Real Estate,Dishwasher / General Utility,Portsmouth, OH
42,Boston Properties,,,Real Estate,Maintenance Mechanic,Boston, MA
43,Boston Properties,,,Real Estate,General Maintenance Technician,Boston, MA
44,Boston Properties,,,Real Estate,"Rapid Housing Search Specialist, 18-66",Boston, MA
45,Boston Properties,,,Real Estate,Resident Services Manager,Boston, MA
