,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Pre-Authorization Specialist I,Valencia, CA
1,Boston Scientific,2018-07-26,14 days ago,Medical Equipment & Supplies,Customer Service Rep II - 1:00pm - 9:30pm - Quincy,Quincy, MA
2,Boston Scientific,2018-07-28,12 days ago,Medical Equipment & Supplies,"Fellow, Scientific Communication Specialist",Arden Hills, MN
3,Boston Scientific,2018-08-04,5 days ago,Medical Equipment & Supplies,Material Handler II (1st Shift),Maple Grove, MN
4,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Field Clinical Rep - Macon,Macon, GA
5,Boston Scientific,2018-07-31,9 hours ago,Medical Equipment & Supplies,Sr Field Clinical Representative (Clinical Solutions)- Boston,Boston, MA
6,Boston Scientific,2018-08-02,7 days ago,Medical Equipment & Supplies,Floater Field Clinical Rep - USA,Nashville, TN
7,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Receiving Clerk II,Maple Grove, MN
8,Boston Scientific,2018-07-12,28 days ago,Medical Equipment & Supplies,Principal Scientific Communications Specialist,Arden Hills, MN
9,Boston Scientific,2018-08-03,6 days ago,Medical Equipment & Supplies,Laboratory Support Coordinator,Alpharetta, GA
10,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Documentation Clerk II,Arden Hills, MN
11,Boston Scientific,2018-07-21,19 days ago,Medical Equipment & Supplies,"Representative I, Customer Service- Arden Hills, MN",Arden Hills, MN
12,Boston Scientific,2018-07-14,26 days ago,Medical Equipment & Supplies,Material Handler II - QVR 6:00am - 2:30pm,Quincy, MA
13,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Admin Assistant II,Valencia, CA
14,Boston Scientific,2018-07-25,15 days ago,Medical Equipment & Supplies,Machine Operator I - Grinding 1st shift -Maple Grove MN,Maple Grove, MN
15,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Marketing Communications Specialist II,Arden Hills, MN
16,Boston Scientific,2018-08-02,7 days ago,Medical Equipment & Supplies,Field Clinical Rep - Deep Brain Stimulation - Charlotte,Charlotte, NC
17,Boston Scientific,2018-08-02,7 days ago,Medical Equipment & Supplies,Strategic Account Associate - West,Denver, CO
18,Boston Scientific,2018-07-10,30 days ago,Medical Equipment & Supplies,Patient Care Specialist I,Valencia, CA
19,Boston Scientific,2018-08-02,7 days ago,Medical Equipment & Supplies,R&D Technician III,Maple Grove, MN
20,Boston Scientific,2018-07-25,15 days ago,Medical Equipment & Supplies,"Communications Manager, Neuromodulation",Valencia, CA
21,Boston Scientific,2018-08-02,7 days ago,Medical Equipment & Supplies,Production Supervisor,Alpharetta, GA
22,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Production Trainer IV - 1st Shift,Arden Hills, MN
23,Boston Scientific,2018-07-25,15 days ago,Medical Equipment & Supplies,Machine Operator I - Braiding -1st shift - Maple Grove MN,Maple Grove, MN
24,Boston Scientific,2018-07-31,9 hours ago,Medical Equipment & Supplies,Field Clinical Representative II (Rhythm Management) - Erie PA 1,Detroit, MI
25,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Lean Specialist - 1st Shift,Arden Hills, MN
26,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Supervisor I,Valencia, CA
27,Boston Scientific,2018-07-31,9 days ago,Medical Equipment & Supplies,"Pilot, Prin",Burlington, MA
28,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Deep Brain Stimulation Therapy Consultant - New Orleans,New Orleans, LA
29,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,"Representative I, Field Clin",San Juan, PR
30,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,HR Rotation Associate,Marlborough, MA
31,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Sales Training Manager I (Corporate Accounts),Maple Grove, MN
32,Boston Scientific,2018-07-26,14 days ago,Medical Equipment & Supplies,Service Support Specialist,Arden Hills, MN
33,Boston Scientific,2018-07-28,12 days ago,Medical Equipment & Supplies,Talent Sourcer,Maple Grove, MN
34,Boston Scientific,2018-07-20,20 days ago,Medical Equipment & Supplies,Machine Operator I - Grinding 1st shift - Weekends - Maple Grove MN,Maple Grove, MN
35,Boston Scientific,2018-08-03,6 days ago,Medical Equipment & Supplies,"Field Clinical Representative, Rhythm Clinical Solutions - Houston",Houston, TX
36,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Sr. Production Supervisor - 1st Shift,Maple Grove, MN
37,Boston Scientific,2018-07-27,13 days ago,Medical Equipment & Supplies,Patient Education Supervisor,Valencia, CA
38,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Field Service Engineer - Medical Equipment - Boston/Waterford,Dallas, TX
39,Boston Scientific,2018-07-22,18 days ago,Medical Equipment & Supplies,Machine Operator I - 1st Shift - Weekend Hours - Maple Grove,Maple Grove, MN
40,Boston Scientific,2018-07-19,21 days ago,Medical Equipment & Supplies,"Assistant III, Administrative",Maple Grove, MN
41,Boston Scientific,2018-07-10,30 days ago,Medical Equipment & Supplies,"Engineer I, Hardware Design Assurance",Fremont, CA
42,Boston Scientific,2018-07-20,20 days ago,Medical Equipment & Supplies,Design Assurance Engineer I 1,Maple Grove, MN
43,Boston Scientific,2018-08-08,1 day ago,Medical Equipment & Supplies,Manager 1 of Clinical Education with a Focus on Fellows,Valencia, CA
44,Boston Scientific,2018-08-03,6 days ago,Medical Equipment & Supplies,Laser Technician II,Maple Grove, MN
45,Boston Scientific,2018-08-07,2 days ago,Medical Equipment & Supplies,"Field Clinical Representative, Clinical Solutions Rhythm - Oxford MS area",Tupelo, MS
46,Boston Scientific,2018-07-20,20 days ago,Medical Equipment & Supplies,Associate Territory Manager - Endoscopy - Boston North,Boston, MA
47,Boston Scientific,2018-08-04,5 days ago,Medical Equipment & Supplies,Learning & Development Specialist II,Maple Grove, MN
48,Boston Scientific,2018-07-31,9 days ago,Medical Equipment & Supplies,Manufacturing Technician II - 2nd Shift,Arden Hills, MN
49,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Machinist II - 1st Shift,Arden Hills, MN
50,Boston Scientific,2018-07-19,21 days ago,Medical Equipment & Supplies,ASC Territory Mananger - Atlanta,Atlanta, GA
51,Boston Scientific,2018-07-31,9 hours ago,Medical Equipment & Supplies,"Field Clinical Manager, Rhythm Clinical Solutions - Iowa, any larger city",Des Moines, IA
52,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,"Accountant II, Global Business Services",Arden Hills, MN
53,Boston Scientific,2018-07-10,30+ days ago,Medical Equipment & Supplies,Quality Technician III - 1st Shift,Maple Grove, MN
54,Boston Scientific,2018-08-01,8 days ago,Medical Equipment & Supplies,Inside Sales Representative,Burlington, MA
55,Boston Scientific,2018-07-27,13 days ago,Medical Equipment & Supplies,PI Sales Representative: Houston,Houston, TX
