,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,British American Tobacco,,,Tobacco,Customer Service Representative,Latham, NY
1,British American Tobacco,,,Tobacco,UM Clinical Intake Coordinator,Latham, NY
2,British American Tobacco,,,Tobacco,Eligibility Business Systems Analyst I,Latham, NY
3,British American Tobacco,2018-07-26,14 hours ago,Tobacco,"Territory Manager - Harrison, AR",Harrison, AR
4,British American Tobacco,2018-08-02,7 days ago,Tobacco,Sales Officer,Samoa, CA
5,British American Tobacco,2018-08-04,5 days ago,Tobacco,Quality Analyst I - TOB - RJRT Quality Management - 2nd Shift,Winston-Salem, NC
6,British American Tobacco,2018-07-21,19 hours ago,Tobacco,Territory Manager - Mount Vernon WA,,
7,British American Tobacco,2018-07-27,13 hours ago,Tobacco,Territory Manager - Appleton WI,,
8,British American Tobacco,2018-07-28,12 days ago,Tobacco,Territory Manager - Martinez CA,,
9,British American Tobacco,2018-08-07,2 days ago,Tobacco,Territory Manager - Owensboro KY,,
10,British American Tobacco,2018-08-07,2 days ago,Tobacco,Territory Manager - Clarkston MI,,
11,British American Tobacco,2018-08-07,2 days ago,Tobacco,Territory Manager - Owensboro KY,Owensboro, KY
12,British American Tobacco,2018-07-14,26 days ago,Tobacco,Plant Services Attendant - ASC - Blending Line,Clarksville, TN
13,British American Tobacco,,,Tobacco,Credentialing Specialist I,Latham, NY
14,British American Tobacco,2018-08-07,2 hours ago,Tobacco,Claims Processor I,Latham, NY
15,British American Tobacco,2018-08-08,1 day ago,Tobacco,Territory Manager - New Berlin WI,,
16,British American Tobacco,2018-08-02,7 days ago,Tobacco,Territory Manager - Aloha OR,,
17,British American Tobacco,2018-07-28,12 days ago,Tobacco,Territory Manager - Martinez CA,Martinez, CA
18,British American Tobacco,2018-07-10,30 days ago,Tobacco,Territory Manager - Newhall CA,,
19,British American Tobacco,2018-07-10,30+ days ago,Tobacco,Territory Manager - Fargo ND,Fargo, ND
20,British American Tobacco,2018-07-10,30+ days ago,Tobacco,Electronics and Instrumentaton Internship,Winston-Salem, NC
21,British American Tobacco,2018-07-27,13 days ago,Tobacco,Territory Manager - Scottsboro AL,,
22,British American Tobacco,2018-07-27,13 hours ago,Tobacco,Manager Talent Acquisition,Winston-Salem, NC
23,British American Tobacco,2018-07-27,13 days ago,Tobacco,Territory Manager - Athens TN,,
24,British American Tobacco,2018-07-10,30+ days ago,Tobacco,Territory Manager - Hesperia CA,,
