,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Brown-Forman,,,Beverages,Brown-Forman Cooperage Production Manager,Louisville, KY
1,Brown-Forman,,,Beverages,Senior 3D / Environments Designer,Columbus, OH
2,Brown-Forman,,,Beverages,Category Development Manager - Total Wine & More/Drug,,
3,Brown-Forman,2018-08-04,5 days ago,Beverages,Brand Development Manager - Brown Forman (Inland Empire),Riverside, CA
4,Brown-Forman,2018-07-10,30+ days ago,Beverages,Brown-Forman Cooperage Production Manager,Louisville, KY
5,Brown-Forman,2018-07-11,29 days ago,Beverages,Brown Forman Whiskey Manager,Middle River, MD
6,Brown-Forman,2018-07-30,10 days ago,Beverages,Cooperage Laborer,Louisville, KY
7,Brown-Forman,2018-07-21,19 days ago,Beverages,YMCo Brown Forman Portfolio Specialist - Off Premise (Bellevue),Kent, WA
8,Brown-Forman,2018-07-20,20 days ago,Beverages,YMCo Brown Forman On-Premise Portfolio Specialist (Pierce Co./Olympia),Kent, WA
9,Brown-Forman,2018-08-06,3 hours ago,Beverages,Production Utility,Lynchburg, TN
10,Brown-Forman,2018-07-24,16 days ago,Beverages,"Jack Daniel's Brand Champion - Tampa, FL",Tampa, FL
11,Brown-Forman,2018-07-10,30+ days ago,Beverages,General Labor - $14.00/Hour,Jeffersonville, IN
12,Brown-Forman,2018-07-10,30+ days ago,Beverages,Brown-Forman Cooperage Operations Supervisor 2nd Shift,Louisville, KY
13,Brown-Forman,,,Beverages,3D / Environments Designer,Scottsdale, AZ
14,Brown-Forman,2018-07-24,16 days ago,Beverages,"Whiskey Brand Champion - Miami, FL",Miami, FL
15,Brown-Forman,2018-07-25,15 days ago,Beverages,Jack Daniel's Brand Ambassador,Houston, TX
16,Brown-Forman,2018-07-10,30+ days ago,Beverages,Production Team Member,Louisville, KY
17,Brown-Forman,2018-08-02,7 days ago,Beverages,Retail Coordinator - Woodford Reserve,Versailles, KY
18,Brown-Forman,2018-07-25,15 days ago,Beverages,Pricing and Registration Specialist,Louisville, KY
19,Brown-Forman,2018-08-06,3 days ago,Beverages,Logistics Coordinator,Versailles, KY
20,Brown-Forman,2018-07-10,30+ days ago,Beverages,Forklift Operator - 1st Shift,Jeffersonville, IN
21,Brown-Forman,2018-07-31,9 days ago,Beverages,Associate Statistician,Louisville, KY
22,Brown-Forman,2018-07-10,30+ days ago,Beverages,Operations Technician,Spencer, IN
23,Brown-Forman,2018-07-27,13 days ago,Beverages,Chemist - Research & Development,Louisville, KY
24,Brown-Forman,2018-07-31,9 days ago,Beverages,Trademark Paralegal,San Rafael, CA
