,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Bunge,,,Food Processing,River Terminal Operator - Grain/Barge/Rail - 2nd & 3rd Shift,Fairmont City, IL
1,Bunge,,,Food Processing,Store Room Clerk,Cairo, IL
2,Bunge,2018-07-24,16 days ago,Food Processing,Seasonal Elevator Laborer,Greenville, MS
3,Bunge,2018-07-10,30+ days ago,Food Processing,Production Associate,Sandston, VA
4,Bunge,2018-07-24,16 days ago,Food Processing,Seasonal Help,Griggsville, IL
5,Bunge,2018-08-01,8 days ago,Food Processing,Seasonal,Woodland, CA
6,Bunge,2018-07-10,30+ days ago,Food Processing,"Apprentice, Extrusion Operator",Woodland, CA
7,Bunge,2018-08-04,5 days ago,Food Processing,Milling Operator,Delphos, OH
8,Bunge,2018-08-02,7 days ago,Food Processing,Elevator Operator II,Griggsville, IL
9,Bunge,2018-07-25,15 days ago,Food Processing,Seasonal Weigher Grader,Vidalia, LA
10,Bunge,2018-07-10,30+ days ago,Food Processing,Labor/Utility,Cairo, IL
11,Bunge,2018-07-10,30+ days ago,Food Processing,Shipping Associate,Sandston, VA
12,Bunge,2018-07-10,30+ days ago,Food Processing,Loader-Unloader,Danville, IL
13,Bunge,2018-07-11,29 days ago,Food Processing,"Miller, Second",Atchison, KS
14,Bunge,2018-07-10,30+ days ago,Food Processing,Bulgur Miller,Crete, NE
15,Bunge,2018-08-03,6 days ago,Food Processing,Clerk,Bellevue, OH
16,Bunge,2018-07-19,21 days ago,Food Processing,Laboratory Technician,Danville, IL
17,Bunge,2018-07-20,20 days ago,Food Processing,Miller A,Crete, NE
18,Bunge,2018-07-26,14 days ago,Food Processing,Utility Worker B,Atchison, KS
19,Bunge,2018-07-10,30+ days ago,Food Processing,Process Operator,Council Bluffs, IA
20,Bunge,2018-07-21,19 days ago,Food Processing,Packaging Operator,Decatur, AL
21,Bunge,2018-07-10,30+ days ago,Food Processing,Senior Production Associate,Sandston, VA
22,Bunge,2018-08-07,2 days ago,Food Processing,Analytical Technician,Saint Charles, MO
23,Bunge,2018-08-01,8 days ago,Food Processing,Lead Palletizer,Sandston, VA
24,Bunge,2018-08-02,7 days ago,Food Processing,Scale House Clerk,Council Bluffs, IA
25,Bunge,2018-07-10,30+ days ago,Food Processing,Warehouse Associate,Modesto, CA
26,Bunge,2018-07-10,30+ days ago,Food Processing,Operator I,Red Oak, IA
27,Bunge,2018-07-10,30+ days ago,Food Processing,"Operator, Cube",Decatur, IN
28,Bunge,2018-08-02,7 days ago,Food Processing,Administrative Assistant/Receptionist,Chesterfield, MO
29,Bunge,2018-07-18,22 days ago,Food Processing,Extraction Operator,Delphos, OH
30,Bunge,2018-07-10,30+ days ago,Food Processing,Storeroom Clerk,Destrehan, LA
31,Bunge,2018-07-10,30+ days ago,Food Processing,Miller B,Crete, NE
32,Bunge,2018-08-05,4 days ago,Food Processing,Electrician,Decatur, IN
33,Bunge,2018-07-10,30+ days ago,Food Processing,Utility-Forklift Operator,Worthington, IN
34,Bunge,2018-07-10,30+ days ago,Food Processing,Supv-Production I (Pkg),Modesto, CA
35,Bunge,2018-07-10,30+ days ago,Food Processing,Production Associate - Bulk Oil,Kearny, NJ
36,Bunge,2018-07-10,30+ days ago,Food Processing,FRM Junior Trader (Associate Trader),White Plains, NY
37,Bunge,2018-08-05,4 days ago,Food Processing,Merchandiser III,Fairmont City, IL
38,Bunge,2018-07-20,20 days ago,Food Processing,OPD-Sanitation,Bellevue, OH
39,Bunge,2018-07-28,12 days ago,Food Processing,Sustainability Coordinator-Engagement and Communications,White Plains, NY
40,Bunge,2018-07-24,16 hours ago,Food Processing,Production Superintendent,Destrehan, LA
41,Bunge,2018-07-25,15 days ago,Food Processing,Intern (4686),Bellevue, OH
42,Bunge,2018-07-28,12 days ago,Food Processing,Sustainability Analyst,White Plains, NY
43,Bunge,2018-07-10,30+ days ago,Food Processing,Shipping & Receiving Operator,Cairo, IL
44,Bunge,2018-07-10,30+ days ago,Food Processing,Production Supervisor I -Milling,Muleshoe, TX
45,Bunge,2018-07-27,13 days ago,Food Processing,Administrative Coordinator,Kearny, NJ
46,Bunge,2018-07-18,22 days ago,Food Processing,Quality Assurance Technician-Oils,Fort Worth, TX
47,Bunge,2018-07-17,23 days ago,Food Processing,Customer Service Representative,Chesterfield, MO
48,Bunge,2018-07-10,30+ days ago,Food Processing,Lead Operator,Kankakee, IL
49,Bunge,2018-07-10,30+ days ago,Food Processing,Production Supervisor,Crete, NE
50,Bunge,2018-07-14,26 days ago,Food Processing,Elevator Superintendent,Blytheville, AR
51,Bunge,2018-08-04,5 days ago,Food Processing,Sales Support Specialist,Chesterfield, MO
52,Bunge,2018-07-11,29 days ago,Food Processing,Maintenance Technician,Woodland, CA
53,Bunge,2018-07-19,21 days ago,Food Processing,Packaging Manager,Decatur, AL
54,Bunge,2018-07-10,30+ days ago,Food Processing,Senior Talent Acquisition Coordinator,Chesterfield, MO
55,Bunge,2018-07-11,29 days ago,Food Processing,Accouting Supervisor,,
56,Bunge,2018-07-10,30+ days ago,Food Processing,Maintenance I,Muleshoe, TX
57,Bunge,2018-07-10,30+ days ago,Food Processing,Waste Water Treatment Operator,Worthington, IN
58,Bunge,2018-07-24,16 days ago,Food Processing,Senior Administrative Assistant,Chesterfield, MO
59,Bunge,2018-07-21,19 days ago,Food Processing,Automotive Service Manager,Elgin, IL
60,Bunge,2018-07-10,30+ days ago,Food Processing,"Senior Trader, Export Corn",Chesterfield, MO
61,Bunge,2018-08-03,6 days ago,Food Processing,Senior Production Scheduler,Kearny, NJ
62,Bunge,2018-07-10,30+ days ago,Food Processing,Customer Solutions & Services Manager,St. Louis, MO
63,Bunge,2018-07-10,30+ days ago,Food Processing,Senior Human Resource Generalist - Field,Muleshoe, TX
64,Bunge,2018-07-10,30+ days ago,Food Processing,Plant Mechanic,Destrehan, LA
65,Bunge,2018-07-10,30+ days ago,Food Processing,Regional Chain Account Sales - Foodservice,Phoenix, AZ
66,Bunge,2018-07-10,30+ days ago,Food Processing,Accountant I,Chesterfield, MO
67,Bunge,2018-07-20,20 days ago,Food Processing,Accountant - Expense Management,Chesterfield, MO
68,Bunge,2018-07-10,30+ days ago,Food Processing,Production Manager,Sandston, VA
69,Bunge,2018-07-11,29 days ago,Food Processing,Product Quality Support Specialist,Chesterfield, MO
70,Bunge,2018-07-19,21 days ago,Food Processing,Agribusiness Support Analyst,Chesterfield, MO
71,Bunge,2018-07-10,30+ days ago,Food Processing,Auditor,Chesterfield, MO
72,Bunge,2018-07-25,15 days ago,Food Processing,Finance Manager-Food & Ingredients,White Plains, NY
73,Bunge,2018-07-19,21 days ago,Food Processing,Reliability Excellence Supervisor,Kankakee, IL
74,Bunge,2018-07-21,19 days ago,Food Processing,"Safety, Health & Environmental Supervisor",Cairo, IL
75,Bunge,2018-07-10,30+ days ago,Food Processing,HR Manager,Sandston, VA
76,Bunge,2018-07-10,30+ days ago,Food Processing,Maintenance Mechanic,Council Bluffs, IA
77,Bunge,2018-07-10,30+ days ago,Food Processing,Quality Assurance Supervisor,Decatur, AL
78,Bunge,2018-07-27,13 days ago,Food Processing,National Accounts Manager-Export,Miami, FL
79,Bunge,2018-07-24,16 days ago,Food Processing,Plant Manager,Cairo, IL
80,Bunge,2018-07-10,30+ days ago,Food Processing,"Safety, Health & Environmental Specialist",Decatur, AL
81,Bunge,2018-07-10,30+ days ago,Food Processing,Senior Paralegal,St. Louis, MO
82,Bunge,2018-07-28,12 days ago,Food Processing,Senior Auditor,St. Louis, MO
83,Bunge,2018-07-21,19 days ago,Food Processing,Automotive Technician,Elgin, IL
84,Bunge,2018-07-10,30+ days ago,Food Processing,Global Markets Trade Support Analyst,New York, NY
85,Bunge,2018-07-10,30+ days ago,Food Processing,Global Markets Trade Support Analyst,New York, NY
86,Bunge,2018-07-10,30+ days ago,Food Processing,Maintenance & Reliability Manager,Danville, IL
87,Bunge,2018-07-10,30+ days ago,Food Processing,Treasury Analyst-Capital Mk,White Plains, NY
88,Bunge,2018-07-11,29 days ago,Food Processing,National Accounts Manager - Foodservice,Dallas, TX
89,Bunge,2018-07-10,30+ days ago,Food Processing,Reliability Excellence Supervisor (Maintenance Supervisor),Crete, NE
90,Bunge,2018-07-10,30+ days ago,Food Processing,Strategic Sourcing Manager,Chesterfield, MO
91,Bunge,2018-08-02,7 days ago,Food Processing,Lead Instrumentation Maintainence Technician,Danville, IL
92,Bunge,2018-07-25,15 days ago,Food Processing,"Senior Manager, Global Planning and Reporting",White Plains, NY
93,Bunge,2018-07-17,23 days ago,Food Processing,Project Engineer,Destrehan, LA
94,Bunge,2018-07-10,30+ days ago,Food Processing,Manager-Strategic Planning/Business Analysis 1,White Plains, NY
95,Bunge,2018-07-10,30+ days ago,Food Processing,Manager-Zero Based Budgeting and Cost Analysis,St. Louis, MO
96,Bunge,2018-08-03,6 days ago,Food Processing,"Senior Director, Global Tax Operations",White Plains, NY
97,Bunge,2018-07-25,15 days ago,Food Processing,Global Procurement Category Manager - IT Categories,Chesterfield, MO
98,Bunge,2018-07-11,29 days ago,Food Processing,National Accounts Manager - Foodservice,Dallas, TX
99,Bunge,2018-07-10,30+ days ago,Food Processing,Reliability Excellence Supervisor (Maintenance Supervisor),Crete, NE
100,Bunge,2018-07-10,30+ days ago,Food Processing,Strategic Sourcing Manager,Chesterfield, MO
101,Bunge,2018-08-02,7 days ago,Food Processing,Lead Instrumentation Maintainence Technician,Danville, IL
102,Bunge,2018-07-25,15 days ago,Food Processing,"Senior Manager, Global Planning and Reporting",White Plains, NY
103,Bunge,2018-07-17,23 days ago,Food Processing,Project Engineer,Destrehan, LA
104,Bunge,2018-07-10,30+ days ago,Food Processing,Manager-Strategic Planning/Business Analysis 1,White Plains, NY
105,Bunge,2018-07-10,30+ days ago,Food Processing,Manager-Zero Based Budgeting and Cost Analysis,St. Louis, MO
106,Bunge,2018-08-03,6 days ago,Food Processing,"Senior Director, Global Tax Operations",White Plains, NY
107,Bunge,2018-07-25,15 days ago,Food Processing,Global Procurement Category Manager - IT Categories,Chesterfield, MO
