,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Burberry Group,,,Apparel/Accessories,Specialty Sales Associate,New York, NY
1,Burberry Group,2018-07-10,30+ days ago,Apparel/Accessories,"Sales Associate, Burberry",,
2,Burberry Group,2018-07-10,30+ days ago,Apparel/Accessories,Customer Service Associate,Pottstown, PA
3,Burberry Group,2018-07-21,19 days ago,Apparel/Accessories,Sales Associate,Wrentham, MA
4,Burberry Group,2018-07-26,14 days ago,Apparel/Accessories,Retail Sales Associate,Paramus, NJ
5,Burberry Group,2018-07-11,29 days ago,Apparel/Accessories,Specialty Sales Associate,New York, NY
6,Burberry Group,2018-07-20,20 days ago,Apparel/Accessories,Assistant Manager,Rosemont, IL
7,Burberry Group,2018-07-19,21 days ago,Apparel/Accessories,Brand Ambassador - Burberry - Saks Fifth Avenue,San Francisco, CA
8,Burberry Group,2018-07-17,23 days ago,Apparel/Accessories,Planner: Accessories,New York, NY
9,Burberry Group,2018-07-31,9 days ago,Apparel/Accessories,Assistant Store Manager,Gretna, NE
10,Burberry Group,2018-07-19,21 days ago,Apparel/Accessories,Part Time Sales Associate,Wrentham, MA
11,Burberry Group,2018-07-10,30+ days ago,Apparel/Accessories,Beauty Specialist - Burberry (Cosm) - Saks Fifth Avenue,Honolulu, HI
12,Burberry Group,2018-08-01,8 days ago,Apparel/Accessories,Senior Accountant: Fixed-Term Contract,New York, NY
13,Burberry Group,2018-07-16,24 days ago,Apparel/Accessories,Planner: Women's Apparel,New York, NY
14,Burberry Group,2018-07-26,14 days ago,Apparel/Accessories,Retail Sales Associate,Paramus, NJ
15,Burberry Group,2018-07-11,29 days ago,Apparel/Accessories,Specialty Sales Associate,New York, NY
16,Burberry Group,2018-07-20,20 days ago,Apparel/Accessories,Assistant Manager,Rosemont, IL
17,Burberry Group,2018-07-19,21 days ago,Apparel/Accessories,Brand Ambassador - Burberry - Saks Fifth Avenue,San Francisco, CA
18,Burberry Group,2018-07-17,23 days ago,Apparel/Accessories,Planner: Accessories,New York, NY
19,Burberry Group,2018-07-31,9 days ago,Apparel/Accessories,Assistant Store Manager,Gretna, NE
20,Burberry Group,2018-07-19,21 days ago,Apparel/Accessories,Part Time Sales Associate,Wrentham, MA
21,Burberry Group,2018-07-10,30+ days ago,Apparel/Accessories,Beauty Specialist - Burberry (Cosm) - Saks Fifth Avenue,Honolulu, HI
22,Burberry Group,2018-08-01,8 days ago,Apparel/Accessories,Senior Accountant: Fixed-Term Contract,New York, NY
23,Burberry Group,2018-07-16,24 days ago,Apparel/Accessories,Planner: Women's Apparel,New York, NY
24,Burberry Group,,,Apparel/Accessories,Specialty Sales Associate,New York, NY
