,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Calpine,,,Electric Utilities,Machinist,Benicia, CA
1,Calpine,,,Electric Utilities,O&M trainee,Middletown, CA
2,Calpine,2018-07-25,15 days ago,Electric Utilities,Admin Asst III,Middletown, CA
3,Calpine,2018-07-17,23 days ago,Electric Utilities,O&M trainee,Middletown, CA
4,Calpine,2018-08-08,1 hour ago,Electric Utilities,Billing Associate - True Up,San Diego, CA
5,Calpine,2018-08-08,1 hour ago,Electric Utilities,Plant Engineer I,Marion, TX
6,Calpine,2018-08-02,7 hours ago,Electric Utilities,Maintenance Technician I,Middletown, CA
7,Calpine,2018-08-02,7 hours ago,Electric Utilities,Civil Program Manager,Middletown, CA
8,Calpine,2018-07-17,23 days ago,Electric Utilities,Operator Technician I,Middletown, CA
9,Calpine,2018-08-01,8 days ago,Electric Utilities,Accounts Receivable Analyst,Houston, TX
10,Calpine,2018-07-26,14 days ago,Electric Utilities,CR Operator,Saint Charles, LA
11,Calpine,2018-07-31,9 days ago,Electric Utilities,CCA Billing Analyst,San Diego, CA
12,Calpine,2018-07-24,16 days ago,Electric Utilities,Dir Project Management,Dublin, CA
13,Calpine,2018-08-08,1 day ago,Electric Utilities,Maint Technician III,Hayward, CA
14,Calpine,2018-07-26,14 days ago,Electric Utilities,Ops & Maint Tech II,Yuba City, CA
15,Calpine,2018-07-10,30+ days ago,Electric Utilities,Combustion Turbine Tech,Millville, NJ
16,Calpine,2018-08-08,1 hour ago,Electric Utilities,IC&E Technician III,Edinburg, TX
17,Calpine,2018-07-21,19 hours ago,Electric Utilities,EHS Specialist II,Middletown, CA
18,Calpine,2018-08-01,8 days ago,Electric Utilities,CCA Account Services Manager,San Diego, CA
19,Calpine,2018-07-10,30+ days ago,Electric Utilities,Ops & Maint Tech Union,Wilmington, DE
20,Calpine,2018-07-21,19 hours ago,Electric Utilities,Business Manager,Deer Park, TX
21,Calpine,2018-07-21,19 days ago,Electric Utilities,Sr Gas Scheduler,Houston, TX
22,Calpine,2018-08-02,7 days ago,Electric Utilities,Credit Analyst,Houston, TX
23,Calpine,2018-07-19,21 days ago,Electric Utilities,Operations Manager,Pittsburg, CA
24,Calpine,2018-07-10,30+ days ago,Electric Utilities,Operations & Maintenance Tech,Wilmington, DE
25,Calpine,2018-08-01,8 days ago,Electric Utilities,Sr Real Time Power Operat,Houston, TX
26,Calpine,2018-07-20,20 days ago,Electric Utilities,Operations Coordinator,Norwalk, CT
27,Calpine,2018-07-10,30+ days ago,Electric Utilities,Plant Controls Tech 1/C,Wilmington, DE
28,Calpine,2018-07-10,30+ days ago,Electric Utilities,Risk Analyst,Houston, TX
29,Calpine,2018-07-10,30+ days ago,Electric Utilities,Senior Legal Administrative Assistant,Houston, TX
30,Calpine,2018-07-10,30+ days ago,Electric Utilities,Broker Commissions Analyst,Houston, TX
31,Calpine,2018-07-20,20 days ago,Electric Utilities,Rates Analyst,Norwalk, CT
32,Calpine,2018-07-10,30+ days ago,Electric Utilities,I&E Technician Union,Bethlehem, PA
33,Calpine,2018-07-10,30+ days ago,Electric Utilities,DCS Technician,Delta, PA
34,Calpine,2018-07-10,30+ days ago,Electric Utilities,Accountant II - Power Settlements,Houston, TX
35,Calpine,2018-07-13,27 days ago,Electric Utilities,IS Analyst III–Maximo Support,Houston, TX
36,Calpine,2018-07-10,30+ days ago,Electric Utilities,Contracts Analyst II,Houston, TX
37,Calpine,2018-07-10,30+ days ago,Electric Utilities,Tax Analyst,Houston, TX
38,Calpine,2018-07-10,30+ days ago,Electric Utilities,Tax Analyst – Sales & Use,Houston, TX
39,Calpine,2018-07-10,30+ days ago,Electric Utilities,Program Manager III,,
40,Calpine,2018-07-10,30+ days ago,Electric Utilities,Business Management Director – Geysers,Middletown, CA
41,Calpine,2018-07-10,30+ days ago,Electric Utilities,"Specialist, Transmission Analytics",Houston, TX
42,Calpine,2018-07-10,30+ days ago,Electric Utilities,Engineering Technical Advisor III,Houston, TX
43,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr Derivative Accountant,Houston, TX
44,Calpine,2018-07-10,30+ days ago,Electric Utilities,"Analyst, Commercial Analytics",Houston, TX
45,Calpine,2018-08-02,7 days ago,Electric Utilities,Asset Management Director,Wilmington, DE
46,Calpine,2018-07-26,14 days ago,Electric Utilities,Electrical Program Manager III,Pasadena, TX
47,Calpine,2018-07-20,20 days ago,Electric Utilities,Internal Auditor II,Houston, TX
48,Calpine,2018-07-14,26 days ago,Electric Utilities,Commodity Pricing Business Analyst,Houston, TX
49,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Integrator/ Developer,San Diego, CA
50,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Web Developer,Houston, TX
51,Calpine,2018-07-25,15 days ago,Electric Utilities,Commercial IS Analyst III,Houston, TX
52,Calpine,2018-07-17,23 days ago,Electric Utilities,Mgr Internal Audit,Houston, TX
53,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Tax Analyst,Houston, TX
54,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Tax Manager,Houston, TX
55,Calpine,2018-08-02,7 days ago,Electric Utilities,Asset Management Director,Wilmington, DE
56,Calpine,2018-07-26,14 days ago,Electric Utilities,Electrical Program Manager III,Pasadena, TX
57,Calpine,2018-07-20,20 days ago,Electric Utilities,Internal Auditor II,Houston, TX
58,Calpine,2018-07-14,26 days ago,Electric Utilities,Commodity Pricing Business Analyst,Houston, TX
59,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Integrator/ Developer,San Diego, CA
60,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Web Developer,Houston, TX
61,Calpine,2018-07-25,15 days ago,Electric Utilities,Commercial IS Analyst III,Houston, TX
62,Calpine,2018-07-17,23 days ago,Electric Utilities,Mgr Internal Audit,Houston, TX
63,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Tax Analyst,Houston, TX
64,Calpine,2018-07-10,30+ days ago,Electric Utilities,Sr. Tax Manager,Houston, TX
