,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,CarMax,,,Specialty Stores,Reconditioning Associate,Wilmington, NC
1,CarMax,,,Specialty Stores,Automotive Technician / Mechanical Associate,Fort Worth, TX
2,CarMax,,,Specialty Stores,ASE Automotive Technician,Colma, CA
3,CarMax,,,Specialty Stores,Solutions Architect - EDW,Richmond, VA
4,CarMax,,,Specialty Stores,Automotive Technician / Mechanical Associate (night-time),Madison, TN
5,CarMax,2018-07-31,9 hours ago,Specialty Stores,Inventory Associate (night-time),White Marsh, MD
6,CarMax,2018-08-08,1 day ago,Specialty Stores,Business Office Associate,Columbus, GA
7,CarMax,2018-07-31,9 hours ago,Specialty Stores,Early Collections - Specialist I,Kennesaw, GA
8,CarMax,2018-08-03,6 days ago,Specialty Stores,Inventory Associate,Duarte, CA
9,CarMax,2018-07-31,9 hours ago,Specialty Stores,Vehicle Condition Assessor,Santa Rosa, CA
10,CarMax,2018-07-31,9 hours ago,Specialty Stores,Part-Time Sr. Clerk - Mail Operations,Kennesaw, GA
11,CarMax,2018-07-22,18 days ago,Specialty Stores,Detailer (night-time),Roseville, CA
12,CarMax,2018-07-22,18 days ago,Specialty Stores,Business Office Associate (part-time),Murrieta, CA
13,CarMax,2018-08-04,5 days ago,Specialty Stores,Service/Customer Operator,Jackson, MS
14,CarMax,2018-07-22,18 days ago,Specialty Stores,Reconditioning Associate,San Jose, CA
15,CarMax,,,Specialty Stores,Sales/Customer Specialist (part-time),Shreveport, LA
16,CarMax,,,Specialty Stores,Sales/Customer Specialist,Corpus Christi, TX
17,CarMax,,,Specialty Stores,"Manager, Talent Selection",Richmond, VA
18,CarMax,,,Specialty Stores,Regional Human Resources Director,Richmond, VA
19,CarMax,2018-07-31,9 hours ago,Specialty Stores,Apprentice Technician,Pleasanton, CA
20,CarMax,2018-08-01,8 days ago,Specialty Stores,Reconditioning Associate (night-time),Fresno, CA
21,CarMax,2018-08-08,1 day ago,Specialty Stores,Buyer Assistant,Urbandale, IA
22,CarMax,2018-08-05,4 days ago,Specialty Stores,Inventory Associate (part-time),Riverside, CA
23,CarMax,2018-08-08,1 day ago,Specialty Stores,Management Assistant,Fairfield, CA
24,CarMax,2018-08-05,4 days ago,Specialty Stores,Collection Specialist,Kennesaw, GA
25,CarMax,2018-07-31,9 hours ago,Specialty Stores,Workday Analyst II,Richmond, VA
26,CarMax,2018-08-01,8 days ago,Specialty Stores,Parts/Supply Associate,Modesto, CA
27,CarMax,2018-07-22,18 days ago,Specialty Stores,Parts/Supply Associate (night-time),Fredericksburg, VA
28,CarMax,2018-08-04,5 days ago,Specialty Stores,Senior Reconditioning Associate,Murrieta, CA
29,CarMax,,,Specialty Stores,Solutions Architect - HR & Payroll Systems,Richmond, VA
30,CarMax,,,Specialty Stores,Senior Analyst - Strategy,Richmond, VA
31,CarMax,,,Specialty Stores,Senior Marketing Automation Developer,Richmond, VA
32,CarMax,2018-08-01,8 days ago,Specialty Stores,Specialist II - Auction Services,Richmond, VA
33,CarMax,2018-08-08,1 day ago,Specialty Stores,Detailer,Modesto, CA
34,CarMax,2018-08-08,1 day ago,Specialty Stores,Apprentice Technician (night-time),Merriam, KS
35,CarMax,2018-07-22,18 days ago,Specialty Stores,Auction Services Associate,Laurel, MD
36,CarMax,2018-07-21,19 days ago,Specialty Stores,Command Center Coordinator,Richmond, VA
37,CarMax,2018-07-31,9 hours ago,Specialty Stores,Virtual Support Specialist (in-store position),Raleigh, NC
38,CarMax,2018-07-10,30+ days ago,Specialty Stores,Logistics Associate,Roseville, CA
39,CarMax,2018-08-01,8 days ago,Specialty Stores,Auction Services Associate (part-time),Murrieta, CA
40,CarMax,2018-07-31,9 hours ago,Specialty Stores,Senior Accounting Clerk,Kennesaw, GA
41,CarMax,2018-07-22,18 days ago,Specialty Stores,Reconditioning Associate (part-time),San Jose, CA
42,CarMax,2018-07-31,9 hours ago,Specialty Stores,Painter,Saint Peters, MO
43,CarMax,2018-07-20,20 days ago,Specialty Stores,Accounting Specialist,Richmond, VA
44,CarMax,2018-07-22,18 days ago,Specialty Stores,Sales Consultant,Glen Allen, VA
45,CarMax,2018-08-05,4 days ago,Specialty Stores,Senior Specialist - Early Collections,Kennesaw, GA
46,CarMax,2018-07-22,18 days ago,Specialty Stores,Specialist II - Skip,Kennesaw, GA
47,CarMax,2018-08-03,6 days ago,Specialty Stores,"Sr. Clerk, Merchandise Payables",Richmond, VA
48,CarMax,2018-08-03,6 days ago,Specialty Stores,Buyer Assistant (part-time),Escondido, CA
49,CarMax,2018-07-22,18 days ago,Specialty Stores,Manager - Corporate Strategy,Richmond, VA
50,CarMax,2018-07-22,18 days ago,Specialty Stores,Production Manager,Sterling, VA
51,CarMax,2018-08-03,6 days ago,Specialty Stores,Sales/Customer Specialist,Jensen Beach, FL
52,CarMax,2018-08-04,5 days ago,Specialty Stores,Specialist II - Remarketing,Kennesaw, GA
53,CarMax,2018-08-05,4 days ago,Specialty Stores,Location General Manager,Buena Park, CA
54,CarMax,2018-07-11,29 days ago,Specialty Stores,Manager I - Operations Strategy,Richmond, VA
55,CarMax,2018-07-21,19 days ago,Specialty Stores,Cosmetic Manager in Training,Tinley Park, IL
56,CarMax,2018-08-02,7 days ago,Specialty Stores,Public Relations and Communications Intern,Richmond, VA
57,CarMax,2018-07-20,20 days ago,Specialty Stores,Repossession Specialist II,Kennesaw, GA
58,CarMax,2018-08-08,1 day ago,Specialty Stores,Internet Sales Consultant,Kennesaw, GA
59,CarMax,2018-07-27,13 days ago,Specialty Stores,Specialist I Titles-Admin Support,Kennesaw, GA
60,CarMax,2018-07-10,30+ days ago,Specialty Stores,Customer Service Representative,Kennesaw, GA
61,CarMax,2018-07-11,29 days ago,Specialty Stores,Senior Analyst - Strategy,Richmond, VA
62,CarMax,2018-08-01,8 days ago,Specialty Stores,Art Director II,Richmond, VA
63,CarMax,2018-07-22,18 days ago,Specialty Stores,Sales Consultant (part-time),Glen Allen, VA
64,CarMax,2018-08-01,8 days ago,Specialty Stores,Team Manager - Correspondence,Kennesaw, GA
65,CarMax,2018-07-10,30+ days ago,Specialty Stores,Specialist II - High Risk,Kennesaw, GA
66,CarMax,2018-07-19,21 days ago,Specialty Stores,Rollback Fleet Driver,Laurel, MD
67,CarMax,2018-07-10,30+ days ago,Specialty Stores,Legal Secretary,Richmond, VA
68,CarMax,2018-07-10,30+ days ago,Specialty Stores,"Manager, Talent Selection",Richmond, VA
69,CarMax,2018-08-04,5 days ago,Specialty Stores,Bilingual Collections Specialist II,Kennesaw, GA
70,CarMax,2018-08-08,1 day ago,Specialty Stores,Service Consultant/Customer Advisor,Houston, TX
71,CarMax,2018-07-10,30+ days ago,Specialty Stores,Specialist II - Service Payables,Richmond, VA
72,CarMax,2018-08-02,7 days ago,Specialty Stores,Process Engineer II,Richmond, VA
73,CarMax,2018-07-10,30+ days ago,Specialty Stores,Senior Specialist - Retention,Kennesaw, GA
74,CarMax,2018-07-31,9 hours ago,Specialty Stores,Automotive Repair Specialist I,Tyler, TX
75,CarMax,2018-07-26,14 days ago,Specialty Stores,Specialist I - Central Title Part-Time,Richmond, VA
76,CarMax,2018-07-10,30+ days ago,Specialty Stores,Sr. Specialist - Specialty Collections,Kennesaw, GA
77,CarMax,2018-07-10,30+ days ago,Specialty Stores,Team Manager - Specialty Collections,Kennesaw, GA
78,CarMax,2018-07-10,30+ days ago,Specialty Stores,Parts Manager in Training,Laurel, MD
79,CarMax,2018-07-22,18 days ago,Specialty Stores,Painter (night-time),Norwood, MA
80,CarMax,2018-07-10,30+ days ago,Specialty Stores,Regional Human Resources Director,Tolleson, AZ
81,CarMax,2018-07-10,30+ days ago,Specialty Stores,Compensation Consultant,Richmond, VA
82,CarMax,2018-07-10,30+ days ago,Specialty Stores,Virtual Sales Consultant,Raleigh, NC
83,CarMax,2018-07-10,30+ days ago,Specialty Stores,Senior Specialist - Accounting,Kennesaw, GA
84,CarMax,2018-07-27,13 days ago,Specialty Stores,Paint Prep Technician (night-time),Davie, FL
85,CarMax,2018-07-27,13 days ago,Specialty Stores,Paint Prep Technician,Davie, FL
86,CarMax,2018-07-10,30+ days ago,Specialty Stores,Senior Kronos Analyst,Richmond, VA
87,CarMax,2018-07-25,15 days ago,Specialty Stores,Sales/Customer Specialist (part-time),Saltillo, MS
88,CarMax,2018-07-31,9 hours ago,Specialty Stores,Automotive Technician / Mechanical Associate,Henderson, NV
89,CarMax,2018-07-25,15 days ago,Specialty Stores,Retail Manager - Business Operations,White Marsh, MD
90,CarMax,2018-07-22,18 days ago,Specialty Stores,ASE Automotive Technician,San Jose, CA
91,CarMax,2018-07-28,12 days ago,Specialty Stores,Senior Manager - Delivery Management,Richmond, VA
92,CarMax,2018-07-22,18 days ago,Specialty Stores,Analyst II - Financial Planning & Analysis,Kennesaw, GA
93,CarMax,2018-07-10,30+ days ago,Specialty Stores,Senior Data Quality Analyst,Richmond, VA
94,CarMax,2018-07-10,30+ days ago,Specialty Stores,"Project Manager, Strategic Sourcing",Richmond, VA
95,CarMax,2018-07-23,17 days ago,Specialty Stores,Fleet Driver (part-time),Fort Worth, TX
96,CarMax,2018-07-29,11 days ago,Specialty Stores,"Director, Application Systems",Richmond, VA
97,CarMax,2018-07-10,30+ days ago,Specialty Stores,Release Engineer,Richmond, VA
98,CarMax,2018-07-29,11 days ago,Specialty Stores,Senior Business Systems Analyst,Richmond, VA
99,CarMax,2018-07-22,18 days ago,Specialty Stores,Automotive Technician / Mechanical Associate (night-time),Fredericksburg, VA
100,CarMax,2018-07-14,26 days ago,Specialty Stores,Internal Auditor II,Richmond, VA
101,CarMax,2018-07-10,30+ days ago,Specialty Stores,Director of Human Resources Transformation,Richmond, VA
102,CarMax,2018-07-14,26 days ago,Specialty Stores,Team Manager - Accounting Shared Services,Richmond, VA
103,CarMax,2018-08-05,4 days ago,Specialty Stores,Retail Sales Manager,Greensboro, NC
104,CarMax,2018-07-14,26 days ago,Specialty Stores,IT Auditor II,Richmond, VA
105,CarMax,2018-07-10,30+ days ago,Specialty Stores,Analyst II - Accounting Systems,Richmond, VA
106,CarMax,2018-07-10,30+ days ago,Specialty Stores,Automotive Emissions Technician,Costa Mesa, CA
107,CarMax,2018-07-22,18 days ago,Specialty Stores,"Manager, HR Business Partner",Richmond, VA
108,CarMax,2018-07-10,30+ days ago,Specialty Stores,Director of Internal Audit,Richmond, VA
109,CarMax,2018-07-22,18 days ago,Specialty Stores,"Manager, Paid Search (SEM)",Richmond, VA
110,CarMax,2018-07-10,30+ days ago,Specialty Stores,Integration Architect,Richmond, VA
111,CarMax,2018-07-25,15 days ago,Specialty Stores,Accounting Systems Senior Analyst,Richmond, VA
112,CarMax,2018-07-18,22 hours ago,Specialty Stores,Class A (CDL) Commercial Truck Driver,Hillside, IL
113,CarMax,2018-07-10,30+ days ago,Specialty Stores,Senior Data Scientist - Pricing & Inventory Models,Richmond, VA
114,CarMax,2018-07-10,30+ days ago,Specialty Stores,DevOps Engineer - Online Systems,Richmond, VA
115,CarMax,2018-07-22,18 days ago,Specialty Stores,Solutions Architect - EDW,Richmond, VA
116,CarMax,2018-07-10,30+ days ago,Specialty Stores,Solutions Architect - HR & Payroll Systems,Richmond, VA
117,CarMax,2018-08-03,6 days ago,Specialty Stores,Senior Software Developer - Connect Appraisal,Richmond, VA
