,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Cargill,,,Food Processing,Seasonal Production Worker,Forest City, MO
1,Cargill,,,Food Processing,General Production,Friona, TX
2,Cargill,2018-08-06,3 days ago,Food Processing,"General Production - Full Time - Sanger, California",Sanger, CA
3,Cargill,2018-08-01,8 days ago,Food Processing,"Fresno Grind - General Production - Full Time - Fresno, California",Fresno, CA
4,Cargill,2018-08-01,8 days ago,Food Processing,"Fresno Beef General Production - Full Time - Fresno, California",Fresno, CA
5,Cargill,2018-07-28,12 days ago,Food Processing,3rd Shift Production Worker - Cargill Cocoa and Chocolate,Milwaukee, WI
6,Cargill,2018-08-01,8 days ago,Food Processing,"General Operator - Full Time - Fresno, California",Fresno, CA
7,Cargill,2018-08-08,1 day ago,Food Processing,"Specialist - 2nd Shift - Full Time - Mason City, IA",Mason City, IA
8,Cargill,2018-08-07,2 days ago,Food Processing,Production Miner,Lansing, NY
9,Cargill,2018-08-07,2 days ago,Food Processing,Utility Worker,Barber, NC
10,Cargill,2018-07-22,18 hours ago,Food Processing,Jack Operator -3rd Shift-Full Time- Nebraska City- Nebraska,Nebraska City, NE
11,Cargill,2018-07-28,12 days ago,Food Processing,General Laborer,Lafayette, IN
12,Cargill,2018-07-10,30+ days ago,Food Processing,Loader - Unloader,Iowa Falls, IA
13,Cargill,2018-08-08,1 day ago,Food Processing,Operations Technician,Wahpeton, ND
14,Cargill,2018-07-10,30+ days ago,Food Processing,"Processing Team Member – 2nd Shift-Full Time- Mason City, Iowa",Mason City, IA
15,Cargill,2018-08-02,7 days ago,Food Processing,Trader Cargill Risk Management,Hopkins, MN
16,Cargill,2018-08-03,6 days ago,Food Processing,"General Production – Further Processing - Full Time - Columbus, Nebraska",Columbus, NE
17,Cargill,2018-07-22,18 hours ago,Food Processing,Brine Operator -3rd Shift-Full Time- Nebraska City- Nebraska,Nebraska City, NE
18,Cargill,2018-07-22,18 hours ago,Food Processing,Spice Room Coordinator -3rd Shift-Full Time- Nebraska City- Nebraska,Nebraska City, NE
19,Cargill,2018-07-10,30+ days ago,Food Processing,"Sanitation Team Member - 3rd Shift - Full Time - Mason City, Iowa",Mason City, IA
20,Cargill,2018-08-07,2 days ago,Food Processing,FSQ Associate,Cedar Rapids, IA
21,Cargill,2018-08-08,1 day ago,Food Processing,Elevator Operator,Cheyenne Wells, CO
22,Cargill,2018-08-08,1 day ago,Food Processing,Process Technician - 1st Shift,Wilson, NC
23,Cargill,2018-07-24,16 days ago,Food Processing,Packaging Tech Warehouse/Packaging Department,Breaux Bridge, LA
24,Cargill,2018-08-02,7 days ago,Food Processing,Bill of Lading Clerk,Springdale, AR
25,Cargill,2018-08-07,2 days ago,Food Processing,Seasonal Plant Operator,Alberta, MN
26,Cargill,2018-07-10,30+ days ago,Food Processing,"Cargill Second Shift Supervisor - Poinciana, FL",Poinciana, FL
27,Cargill,2018-08-06,3 days ago,Food Processing,"Produccion General - Tiempo Completo - Sanger, California",Sanger, CA
28,Cargill,2018-08-01,8 days ago,Food Processing,"FiveStar - General Production - Full Time - Nashville, Tennessee",Nashville, TN
29,Cargill,2018-08-04,5 days ago,Food Processing,Seasonal Production Worker,Holdrege, NE
30,Cargill,2018-07-27,13 hours ago,Food Processing,Forklift Operator,Hutchinson, KS
31,Cargill,2018-07-13,27 days ago,Food Processing,1st Shift Packaging Operator,Owatonna, MN
32,Cargill,2018-07-28,12 days ago,Food Processing,Supply Chain Clerk,Sterling, CO
33,Cargill,2018-07-10,30+ days ago,Food Processing,Processing relief operator,Hutchinson, KS
34,Cargill,2018-07-27,13 hours ago,Food Processing,Multi Duty Operator,Chicago, IL
35,Cargill,2018-07-12,28 days ago,Food Processing,Process Operator - 1st shift 6am-6pm,Owatonna, MN
36,Cargill,2018-08-01,8 days ago,Food Processing,"Hatchery Production - Full Time - Gentry, Arkansas",Springdale, AR
37,Cargill,2018-07-10,30+ days ago,Food Processing,Consumer Specialist,Chico, CA
38,Cargill,2018-07-10,30+ days ago,Food Processing,Production Worker,Newark, CA
39,Cargill,2018-07-10,30+ days ago,Food Processing,Utility Operator,Stockton, CA
40,Cargill,2018-07-26,14 days ago,Food Processing,Packaging Technician,Hersey, MI
41,Cargill,2018-08-01,8 days ago,Food Processing,"Fresno Grind - Produccion General - Tiempo Completo - Fresno, California",Fresno, CA
42,Cargill,2018-08-01,8 days ago,Food Processing,Operador General FP,Fresno, CA
43,Cargill,2018-08-08,1 hour ago,Food Processing,Seasonal Scale Operator,Albion, NE
44,Cargill,2018-08-03,6 days ago,Food Processing,Barge Unloader,Guntersville, AL
45,Cargill,2018-07-22,18 hours ago,Food Processing,Continuous Improvement Specialist,Fort Dodge, IA
46,Cargill,2018-08-01,8 days ago,Food Processing,"Skilled Production - Full Time - Wyalusing, Pennsylvania",Wyalusing, PA
47,Cargill,2018-07-12,28 days ago,Food Processing,Product Handler,West Fargo, ND
48,Cargill,2018-07-25,15 days ago,Food Processing,2nd Shift Dropline Packer,Mount Joy, PA
49,Cargill,2018-07-10,30+ days ago,Food Processing,Plant Operator,Alberta, MN
50,Cargill,2018-08-08,1 day ago,Food Processing,Process Tech,Mentone, IN
51,Cargill,2018-08-03,6 days ago,Food Processing,"General Production (Pack-off) - Part Time (6AM to 12:30PM) - Wyalusing, Pennsylvania",Wyalusing, PA
52,Cargill,2018-07-21,19 hours ago,Food Processing,"FSQR Lab Technician-2nd Shift-Full time-Dodge City, Kansas",Dodge City, KS
53,Cargill,2018-08-01,8 days ago,Food Processing,"Hatchery Production - Full Time - California, Missouri",California, MO
54,Cargill,2018-07-10,30+ days ago,Food Processing,Production Operator,Cedar Rapids, IA
55,Cargill,2018-07-17,23 days ago,Food Processing,"Warehouse I-2nd Shift-Full Time- Monticello, Minnesota",Monticello, MN
56,Cargill,2018-08-02,7 days ago,Food Processing,University Recruiting Specialist,Hopkins, MN
57,Cargill,2018-08-04,5 days ago,Food Processing,"Cattle Pens Receiver and Unloader - 2nd Shift - Full Time - Schuyler, NE",Schuyler, NE
58,Cargill,2018-07-16,24 days ago,Food Processing,Oil Loader,Sidney, OH
59,Cargill,2018-07-10,30+ days ago,Food Processing,Storeroom Assistant,Fort Dodge, IA
60,Cargill,2018-08-02,7 days ago,Food Processing,Animal Agriculture Management Associate 2019,Harrisonburg, VA
61,Cargill,2018-08-01,8 days ago,Food Processing,Driver,Norwalk, CA
62,Cargill,2018-07-13,27 days ago,Food Processing,1st Shift Mixer,Owatonna, MN
63,Cargill,2018-08-08,1 day ago,Food Processing,Seasonal Elevator Operator,Cheyenne Wells, CO
64,Cargill,2018-08-03,6 days ago,Food Processing,FSQR Associate,Gainesville, GA
65,Cargill,2018-07-10,30+ days ago,Food Processing,Mixer,Franklinton, LA
66,Cargill,2018-08-02,7 days ago,Food Processing,University Recruiting Consultant,Hopkins, MN
67,Cargill,2018-08-08,1 day ago,Food Processing,Plant Scheduler Cooked,Fort Worth, TX
68,Cargill,2018-08-07,2 days ago,Food Processing,Accounting Assistant Associate (2nd shift),Fort Morgan, CO
69,Cargill,2018-08-01,8 days ago,Food Processing,"Farm Labor - Full Time - California, Missouri",California, MO
70,Cargill,2018-07-21,19 days ago,Food Processing,"General Production (Seasonal)- Full Time - California, Missouri",California, MO
71,Cargill,2018-08-01,8 days ago,Food Processing,"Skilled Operator (including Rendering) – Full Time – Friona, TX",Friona, TX
72,Cargill,2018-07-10,30+ days ago,Food Processing,Extruder Operator,Franklinton, LA
73,Cargill,2018-07-10,30+ days ago,Food Processing,Mill Operations Technician,Byhalia, MS
74,Cargill,2018-08-01,8 days ago,Food Processing,Producción General FP,Albert Lea, MN
75,Cargill,2018-07-10,30+ days ago,Food Processing,Production Laborer,Lititz, PA
76,Cargill,2018-07-10,30+ days ago,Food Processing,"Fresno Beef - Maintenance Planner - 1st Shift - Full Time - Fresno, California",Fresno, CA
77,Cargill,2018-07-10,30+ days ago,Food Processing,Temporary Seasonal Production,Ord, NE
78,Cargill,2018-08-02,7 days ago,Food Processing,Production Operator 2nd shift,Buffalo, IA
79,Cargill,2018-07-22,18 hours ago,Food Processing,Equipment Operator Specialist -3rd Shift-Full Time- Nebraska City- Nebraska,Nebraska City, NE
80,Cargill,2018-08-01,8 days ago,Food Processing,"General Production - Further Processing - Part-Time- Waco, Texas",Waco, TX
81,Cargill,2018-07-31,9 days ago,Food Processing,"Protein Food Safety, Quality and Regulatory Associate",Fresno, CA
82,Cargill,2018-08-01,8 days ago,Food Processing,"Farm Labor - Full Time - Gentry, Arkansas",Springdale, AR
83,Cargill,2018-07-29,11 days ago,Food Processing,"Food Handler - 1st Shift - Full Time - Monticello, Minnesota",Monticello, MN
84,Cargill,2018-08-01,8 days ago,Food Processing,Management Associate 2019,Kansas City, KS
