,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Caterpillar,,,Heavy Equipment,Caterpillar Field Mechanic,Kalamazoo, MI
1,Caterpillar,,,Heavy Equipment,Maintenance Mechanic - Technician,Denver, CO
2,Caterpillar,,,Heavy Equipment,Field Service Technician,Mankato, MN
3,Caterpillar,,,Heavy Equipment,Field Service Technician,Eau Claire, WI
4,Caterpillar,2018-08-07,2 hours ago,Heavy Equipment,Car Repair Trainee,Douglas, WY
5,Caterpillar,2018-08-03,6 days ago,Heavy Equipment,HIGHWAY MAINTENANCE WORKER I/II,South Lake Tahoe, CA
6,Caterpillar,2018-08-07,2 days ago,Heavy Equipment,Supply Chain Associate,Saint Augustine, FL
7,Caterpillar,2018-08-05,4 hours ago,Heavy Equipment,Yard Person,Sterling, VA
8,Caterpillar,2018-07-13,27 days ago,Heavy Equipment,Assembly II - Mechanic (1st shift),N Little Rock, AR
9,Caterpillar,2018-08-08,1 day ago,Heavy Equipment,Material Handler 4- 1st Shift,Brooklyn Park, MN
10,Caterpillar,2018-08-08,1 day ago,Heavy Equipment,Materials Clerk,,
11,Caterpillar,2018-07-10,30+ days ago,Heavy Equipment,Assembler - All Shifts,East Peoria, IL
12,Caterpillar,2018-08-08,1 day ago,Heavy Equipment,Assembler,Houston, TX
13,Caterpillar,2018-08-07,2 hours ago,Heavy Equipment,2nd Shift Inventory Clerk,Riverside, MO
14,Caterpillar,,,Heavy Equipment,Technician - Commerical/EPG,Eau Claire, WI
15,Caterpillar,2018-08-08,1 day ago,Heavy Equipment,Materials Clerk,,
16,Caterpillar,,,Heavy Equipment,Foundry Specialist -- 2nd or 3rd Shift,Mapleton, IL
17,Caterpillar,,,Heavy Equipment,HEAVY EQUIPMENT SHOP MECHANIC/TECHNICIAN,Carrollton, TX
18,Caterpillar,2018-08-03,6 days ago,Heavy Equipment,Welder Trainee,East Peoria, IL
19,Caterpillar,2018-08-04,5 days ago,Heavy Equipment,Carman,Columbus, MS
20,Caterpillar,2018-08-08,1 day ago,Heavy Equipment,Warehouse Person,Cripple Creek, CO
