,Company Name,Date,Date Raw,Industry,Job Title,Location,State
0,Celanese,2018-08-03,6 hours ago,Diversified Chemicals,Personal Banker Registered 2,Rock Hill, SC
1,Celanese,,,Diversified Chemicals,Purchasing Operations Lead,Irving, TX
2,Celanese,,,Diversified Chemicals,Product Steward,Irving, TX
3,Celanese,2018-07-28,12 hours ago,Diversified Chemicals,Production Operator,Winona, MN
4,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Scaffold Builder (Celanese - Clear Lake),La Porte, TX
5,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Riggers (Celanese-Clear Lake),La Porte, TX
6,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Ironworker (Celanese Site-Clear Lake),La Porte, TX
7,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Pipefitter-Bolt up (Celanese-Clear Lake),La Porte, TX
8,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,"barista - Store# 09279, CELANESE ROAD",Rock Hill, SC
9,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Pipefitter Fabricator (Celanese-Clear Lake),La Porte, TX
10,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Insulation Technician (Celanese-Clear Lake),La Porte, TX
11,Celanese,2018-07-22,18 hours ago,Diversified Chemicals,Process Control Expert,Pasadena, TX
12,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Process Experts,Florence, KY
13,Celanese,,,Diversified Chemicals,Crew Member,Rock Hill, SC
14,Celanese,,,Diversified Chemicals,Veterinary Technician,Rock Hill, SC
15,Celanese,2018-08-02,7 days ago,Diversified Chemicals,Store Manager,Rock Hill, SC
16,Celanese,2018-07-20,20 days ago,Diversified Chemicals,E&I Mechanic,Narrows, VA
17,Celanese,2018-07-12,28 days ago,Diversified Chemicals,Wireless Retail Assistant Sales Manager - (Celanese) 2037 Celanese Rd,Rock Hill, SC
18,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Wireless Retail Assistant Sales Manager - (Celanese) 2037 Celanese Rd,Rock Hill, SC
19,Celanese,2018-07-28,12 days ago,Diversified Chemicals,IP Paralegal,Pasadena, TX
20,Celanese,2018-07-24,16 days ago,Diversified Chemicals,Instrument and Electrical Technician,Wilmington, NC
21,Celanese,2018-07-22,18 hours ago,Diversified Chemicals,Process Engineer,Pasadena, TX
22,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Quality Control Technician,Pasadena, TX
23,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Electrician,Pasadena, TX
24,Celanese,2018-07-13,27 days ago,Diversified Chemicals,Process Control Specialist,Bay City, TX
25,Celanese,2018-07-28,12 days ago,Diversified Chemicals,Wireless Retail Store Manager- (Celanese) 2037 Celanese Rd,Rock Hill, SC
26,Celanese,2018-07-12,28 days ago,Diversified Chemicals,Maintenance Mechanic,Enoree, SC
27,Celanese,2018-07-28,12 days ago,Diversified Chemicals,Wireless Retail Store Manager- (Celanese) 2037 Celanese Rd,Rock Hill, SC
28,Celanese,2018-07-18,22 days ago,Diversified Chemicals,Air Conditioning Operator Mechanic,Narrows, VA
29,Celanese,2018-08-07,2 days ago,Diversified Chemicals,Instrument Maintenance Engineer,Pasadena, TX
30,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Account Representive,Atlanta, GA
31,Celanese,2018-07-18,22 days ago,Diversified Chemicals,Specialist Human Resources Operations,Irving, TX
32,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,"shift supervisor - Store# 09279, CELANESE ROAD",Rock Hill, SC
33,Celanese,2018-07-19,21 hours ago,Diversified Chemicals,Clinical Massage Therapist,Rock Hill, SC
34,Celanese,2018-07-25,15 days ago,Diversified Chemicals,X-Ray Technician,Rock Hill, SC
35,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Procurement Operations Team Lead,Dallas, TX
36,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,"Manager, Materials Solutions Logistics",Irving, TX
37,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Sr. Specialist Human Resources Operations,Irving, TX
38,Celanese,2018-07-12,28 days ago,Diversified Chemicals,Master Electrician - Maintenance,Winona, MN
39,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Senior Coordinator Procurement Operations,Irving, TX
40,Celanese,2018-07-18,22 days ago,Diversified Chemicals,IT Relationship Manager,Irving, TX
41,Celanese,2018-08-01,8 days ago,Diversified Chemicals,"Analyst, Information Risk Management",Las Colinas, TX
42,Celanese,2018-07-14,26 days ago,Diversified Chemicals,Process Control Engineer,Bay City, TX
43,Celanese,2018-08-07,2 days ago,Diversified Chemicals,Chemicals/Utilities Process Control Engineer/Specialist,Bishop, TX
44,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Mechanical Maintenance Engineer,Pasadena, TX
45,Celanese,2018-07-11,29 days ago,Diversified Chemicals,Purchasing Operations Lead,Irving, TX
46,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Senior Financial Analyst,Las Colinas, TX
47,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Advanced Occupational Health Nurse,Florence, KY
48,Celanese,2018-07-12,28 days ago,Diversified Chemicals,Master Electrician - Maintenance,Winona, MN
49,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Senior Coordinator Procurement Operations,Irving, TX
50,Celanese,2018-07-18,22 days ago,Diversified Chemicals,IT Relationship Manager,Irving, TX
51,Celanese,2018-08-01,8 days ago,Diversified Chemicals,"Analyst, Information Risk Management",Las Colinas, TX
52,Celanese,2018-07-14,26 days ago,Diversified Chemicals,Process Control Engineer,Bay City, TX
53,Celanese,2018-08-07,2 days ago,Diversified Chemicals,Chemicals/Utilities Process Control Engineer/Specialist,Bishop, TX
54,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Mechanical Maintenance Engineer,Pasadena, TX
55,Celanese,2018-07-11,29 days ago,Diversified Chemicals,Purchasing Operations Lead,Irving, TX
56,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Senior Financial Analyst,Las Colinas, TX
57,Celanese,2018-07-10,30+ days ago,Diversified Chemicals,Advanced Occupational Health Nurse,Florence, KY
